"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ASCL2",-0.515217459667535,-0.537721441858636,-0.503092579813689
"CLOCK",-0.307278619135906,0.34780551222508,0.397973068312707
"E2F6",0.57066072084216,0.519786190390846,0.899870936530255
"E2F8",-0.39399852701527,-0.478596525875691,-0.710329981618265
"ESR2",-0.432294732916834,-0.477053980562849,-0.58713638596687
"FOXD2",0.428618034572255,0.305280743111111,0.42665374971968
"HINFP",-0.438655429810607,-0.394925251052841,-0.604957139464263
"HOXC6",-0.385464616799881,0.541219410474476,-0.582987101458489
"IRF3",0.371617141242205,0.426311924143186,0.644014493352754
"KLF3",0.340232106186975,-0.538410115147424,-0.556574543187879
"MEIS1",-0.345158541958851,0.368038842789821,-0.803552279561951
"PBX1",0.45836939266312,0.5879266448344,0.810267269844149
"RFX5",0.382621080487809,0.326728428695506,0.769511016097625
"RXRA",0.544216609552939,0.494473703315568,0.75308350891903
"SMAD3",-0.338883287187971,-0.474438271667402,-0.705164404742347
"TFDP1",-0.488360112725352,0.608249315146826,-0.605381735651764
