"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ARID3A",-0.530859196825583,-0.601782302086022,-0.351588035769349
"FOS",-0.509016473722356,0.509463881171873,0.341350601295097
"FOXD2",-0.610143358042518,-0.402023998286581,0.617391304347826
"HEY1",-0.302552629443386,-0.3123533488963,-0.463829787234043
"HOXA1",-0.323306805239578,-0.687238221225766,-0.353561517113784
"IRF2",0.476624495952227,0.614921268521384,0.391057662658033
"JUN",0.830256158407419,-0.437252938885599,-0.395991366019118
"MNT",-0.381790058680815,-0.75122748559806,-0.454949121184089
"MYB",-0.412779237569154,-0.390443999249299,0.315325316065372
"MYBL2",-0.352449091524722,-0.525638152421426,-0.43336416897934
"NFATC1",0.722813181216543,0.376494315576956,0.363058896083873
"RFX5",0.324057595065998,0.341332296216147,-0.501572617946346
"TEAD4",0.3988034374589,-0.593187587124681,-0.335923527597903
