"","P1_2020Oct","P3_2023Jan"
"AHR",-0.310499700578881,-0.417547568710359
"AR",0.316837447601304,0.370733917245545
"ARID3A",0.436847095615144,0.320144971307762
"BHLHE40",-0.35068866857409,-0.40289942615524
"E2F4",0.402006121498436,0.435064935064935
"EGR2",0.345507019761794,0.473572938689218
"EHF",-0.39026215982434,-0.30338266384778
"ESR1",0.384930800452459,0.409543944427665
"ESR2",0.327525118104997,0.405919661733615
"GATA3",0.429611085235212,0.35321655089097
"GLI2",0.400375939849624,0.388251283600121
"GRHL2",-0.312238006520727,0.385835095137421
"GTF2B",-0.366982167808903,-0.302325581395349
"HSF2",-0.412219708563444,-0.361220175173664
"IRF1",-0.32012276265886,-0.478405315614618
"IRF3",0.379724199880232,0.331923890063425
"JUND",-0.39651673431366,-0.467079432195711
"MXI1",0.35971288841573,-0.320598006644518
"MYB",0.411213320912902,0.369223799456358
"NR3C1",0.392699115044248,0.398822108124434
"NR5A2",-0.314317319848293,-0.449562065841136
"POU2F2",-0.314608423714153,0.36529749320447
"RELA",-0.372920686672433,0.316218665055874
"RFX2",0.383616674429436,0.37133796436122
"RUNX1",0.365726262559053,0.416792509815766
"RXRA",0.311156763590392,0.321806100875868
"TP63",0.352402022756005,0.416641498036847
"TP73",0.321179053829263,0.373603141045002
"USF1",-0.340283784682946,-0.389157354273633
"YY1",-0.316330095149378,-0.335397160978556
"ZBTB7B",0.363439017898729,0.440652370884929
"ZNF263",-0.331908310599508,-0.430081546360616
