"","P1_2020Oct","P3_2023Jan"
"BCL6",-0.318153085687501,0.476442162488674
"ETV7",0.34626615397216,0.403352461491996
"FOXP2",-0.309618092919322,0.360012080942314
"GMEB2",-0.357458973435692,-0.543944427665358
"GTF2I",-0.343026017828684,-0.320900030202356
"IRF2",0.305687504144503,0.427665357897916
"RELA",-0.340854835457832,0.313500453035337
"REST",-0.352900322327542,0.399426155240109
"SMAD3",-0.392202050722532,-0.327242524916944
"USF2",-0.321963053219495,0.301419510721836
"XBP1",-0.38734392618392,0.395197825430384
"ZEB1",0.308079132235002,0.459528843249773
"ZNF250",0.318598136479994,-0.52552099063727
