"","P1_2020Oct","P3_2023Jan"
"AHR",-0.304602767981902,-0.56070673512534
"AR",0.38371648146916,0.519782543038357
"ARID3A",0.352526781555659,0.374207188160677
"BCL6",-0.360719276066272,0.324675324675325
"BHLHE40",-0.324605762193093,-0.502114164904863
"CDX2",-0.446262226362366,-0.371942011476895
"ETV1",-0.444241133807971,-0.482633645424343
"FOXA1",0.326269212855147,0.37133796436122
"GATA3",0.344825004990352,0.479462398067049
"GTF2B",-0.310849025217912,-0.370884929024464
"MXI1",0.385962139862932,-0.468589549984899
"MYB",0.353583072726063,0.395499848988221
"RXRA",0.335176991150443,0.332678948958019
"STAT3",0.528944041519729,-0.315765629719118
"TAL1",-0.445929536229956,-0.53397765025672
