"","ND251_34","ND251_LMPP","ND251_MPP"
"BACH2",0.484392488467451,-0.319889121174055,0.305546218487395
"CDX2",0.567859620906292,0.529325873425702,0.53719087635054
"CEBPA",0.532705327654072,0.515092870287534,0.499159663865546
"CTCF",0.659586388524988,0.547784045871943,0.60499399759904
"DUX4",0.617162886776827,0.519971631337175,0.575606242496999
"E2F2",-0.651513662388718,-0.345849692441049,-0.535174069627851
"EGR1",-0.469692864174686,-0.372007268310999,-0.446530612244898
"EGR2",0.338483321971235,0.301472667349616,0.411572629051621
"ESR2",0.671486761853296,0.387925240229731,-0.350972388955582
"FOXD2",-0.532568982474537,-0.567405704326221,-0.366626650660264
"HIF1A",-0.306070718974766,-0.476440567187841,0.450372148859544
"HOXA6",-0.331326995902415,-0.539076442421349,-0.367298919567827
"IKZF1",-0.35090869187692,-0.387728235626776,-0.44
"IRF1",0.430897086443917,0.481949742966936,0.57483793517407
"IRF2",0.449361666200599,0.380858569236688,0.322064825930372
"JUNB",-0.697977188887052,-0.533423569167157,-0.366434573829532
"MAF",0.452098085500042,0.53329609560054,0.415798319327731
"MAFF",0.365315521543635,0.49242807014291,0.388715486194478
"MAX",0.531587558397415,0.42255864942915,0.482352941176471
"PAX5",0.425040960694759,0.424032707399493,-0.41608643457383
"POU2F1",-0.445530753814388,-0.62158660554116,-0.42031212484994
"RBPJ",0.37660245817811,0.344461389415522,-0.314861944777911
"RFX2",-0.548712568921835,-0.372030445323111,-0.381032412965186
"RXRG",0.394068494911078,0.388249718399303,-0.530372148859544
"SETDB1",-0.36213629526871,-0.355509871089459,-0.300840336134454
"SMAD3",-0.341843953105281,-0.613159443937126,-0.509243697478992
"SP1",-0.589143835768196,-0.369742874227626,-0.529891956782713
"STAT1",-0.630502231177147,-0.511702073415504,-0.4646818727491
"TBP",-0.54370763264793,0.414741043243669,-0.415030012004802
"VEZF1",-0.634943734873696,-0.605385874074658,-0.449603841536615
