"","ND251_34","ND251_LMPP","ND251_MPP"
"ASCL2",-0.317998613225389,-0.443278898257552,0.418487394957983
"BARX2",-0.470054414460892,-0.468157103058902,0.368451380552221
"BHLHE40",-0.566308047280945,0.302216649438421,-0.352124849939976
"CDX2",0.554214187875075,0.602034478123218,0.335414165666266
"E2F6",0.587727254599084,-0.310815320932087,-0.344633853541417
"EGR1",-0.370004387021599,-0.320899638902151,-0.427515006002401
"ELK1",-0.560776388541314,-0.457824791059236,-0.378919567827131
"FOXD2",-0.586627910366688,-0.509147966680727,-0.38516206482593
"FOXG1",-0.320044537248519,0.475990933152862,-0.398799519807923
"FOXK1",-0.382684908529084,-0.36443997385633,-0.319951980792317
"GRHL2",0.393974084153849,-0.461030171834368,0.304201680672269
"HSF1",0.525768236051149,0.518015491514896,-0.395822328931573
"IRF1",0.315700243047061,0.382033643750782,0.355582232893157
"IRF2",0.571912706433156,0.425657415948566,0.301224489795918
"LHX2",-0.528450359836059,-0.317877356522707,0.347226890756303
"MEF2A",-0.338373658092655,-0.390803825134079,0.325426170468187
"MNT",0.502248249447774,0.360184674432511,-0.389867947178872
"MYC",-0.520393913025023,-0.665240507854689,-0.410804321728691
"MZF1",-0.50544771992657,-0.449708201417506,-0.429915966386555
"PAX5",0.51353028829099,0.648228580964257,-0.436158463385354
"PBX3",-0.373630804961323,0.326962745270731,0.42703481392557
"POU2F2",0.56127582331288,0.351657851676393,0.312845138055222
"REST",0.45856844091876,0.436453268190478,0.393997599039616
"SETDB1",-0.397200049351078,-0.602650986645406,-0.402352941176471
"SP1",-0.532383892610562,-0.452443088846758,-0.303337334933974
"SPDEF",-0.355866236189686,-0.368804205237078,0.326770708283313
"TCF7L2",-0.497089196008907,-0.385679387756048,0.396110444177671
"VEZF1",-0.351239689274793,-0.501388303025527,-0.508763505402161
"ZEB1",0.508021439264939,0.316006971645243,-0.314093637454982
"ZNF384",-0.320870164917961,0.425173016395418,-0.373541416566627
