"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"BARX2",-0.76017901017901,-0.460525728566966,-0.315988203226239
"ETS2",0.722288522288522,0.425485658180798,0.30771258769382
"ETV5",-0.812311337311337,0.305421137527176,0.370838732740516
"FOSL1",0.424692874692875,-0.576637402852425,-0.401322668573216
"FOXM1",0.608292383292383,0.689076755350687,0.667170114839805
"FOXP3",-0.597525447525447,0.413678123545576,-0.357223289691228
"GATA2",-0.853088803088803,0.61740272491377,0.300049153224005
"HEY1",-0.799289224289224,-0.380997009862989,0.473108717994548
"HOXA1",-0.685363285363285,0.454889734713004,-0.320604137807766
"IRF3",0.716435591435591,-0.709861076576835,-0.437758612985388
"MAX",0.526044226044226,0.607469604524096,-0.445337146431923
"MITF",-0.833959283959284,-0.431019643096226,-0.392220385182537
"RFX5",0.455844155844156,0.489037226887006,-0.351016578041914
"RXRG",-0.87994032994033,-0.503637256214576,-0.474735242861611
"STAT2",0.438285363285363,0.506531759845456,0.475704901916976
"TCF7L2",0.381414531414531,0.306262711270075,-0.52947406050315
"TEAD4",-0.880159705159705,-0.519040605933095,-0.408945886768846
"TFAP4",0.690812565812566,0.577402469891424,-0.304106528441843
