"","P1_2020Oct","P2_2021Mar"
"ASCL2",-0.400339008475212,-0.470459045904591
"BCL6",0.343282082052051,0.414269426942694
"E2F7",-0.387524188104703,0.313135313531353
"EBF1",-0.349675241881047,-0.320672067206721
"ELK3",-0.435961899047476,-0.319267926792679
"ESRRA",0.317911947798695,-0.32022802280228
"ETV4",-0.395943898597465,-0.44003600360036
"GLI2",-0.338331958298958,-0.427482748274828
"LHX2",-0.31401635040876,0.367500750075007
"NKX2-1",-0.343409585239631,-0.445856585658566
"NR3C1",0.35105527638191,0.459321932193219
"PAX5",0.316392409810245,-0.323336333633363
"RBPJ",-0.354184354608865,0.373849384938494
"RUNX1",0.351598289957249,-0.330705070507051
"RUNX2",0.391122778069452,-0.419093909390939
"SP4",0.360289507237681,0.326720672067207
"SPDEF",-0.338054451361284,-0.462886288628863
"STAT5A",-0.336405910147754,-0.385118511851185
"TBP",0.332882322058052,0.342970297029703
"TBX21",0.318304957623941,-0.338097809780978
"TCF3",-0.348782719567989,0.396243624362436
"VEZF1",0.338676966924173,-0.346054605460546
