"","P1_2020Oct","P2_2021Mar"
"BHLHE40",0.356428410710268,0.316375637563756
"EPAS1",-0.377163429085727,0.328100810081008
"ETV6",-0.475472886822171,-0.305130513051305
"HIF1A",0.343543088577214,0.305946594659466
"IRF4",0.400259506487662,0.325616561656166
"NKX2-1",-0.536381909547739,0.318619861986199
"STAT1",-0.501890047251181,0.346078607860786
"STAT2",0.352979824495612,0.354695469546955
"TCF4",-0.340069001725043,-0.352895289528953
"TFAP2A",0.377650941273532,-0.313519351935194
"ZFX",0.546910672766819,0.305274527452745
