"","P1_2020Oct","P3_2023Jan"
"AHR",0.672859089047034,-0.873854827343199
"AR",-0.518277172825745,0.450739957716702
"ARID3A",-0.704621452456486,0.515715292459478
"ARNT",-0.781064525041203,0.308809020436927
"ASCL2",0.598759610163194,0.52262156448203
"ATF1",-0.345508588413501,-0.375052854122622
"ATF2",0.613745272323683,-0.576885130373502
"ATF3",0.672325588041956,0.375475687103594
"BATF",0.474939742966837,-0.330232558139535
"BCL6",0.74925452761344,-0.587455954897815
"BHLHE40",0.532986557680033,0.468076109936575
"CEBPA",0.676774605352158,-0.511627906976744
"CEBPD",-0.476740308858975,0.72107117688513
"E2F4",0.681976240151667,-0.390697674418605
"E2F6",-0.777053740699458,0.466666666666667
"EHF",-0.698962531081197,-0.335870331219168
"ELF1",0.666676193470329,-0.43354474982382
"ESR1",0.625634723293988,0.543622269203665
"ESR2",0.64041079577391,0.593939393939394
"ESRRA",-0.495060352301199,0.836645525017618
"ETV1",-0.307744338696924,-0.706272022551092
"ETV4",0.668905465527261,0.389288231148696
"ETV5",-0.631817618870693,0.780126849894292
"FOS",-0.651423780807301,0.557434813248767
"FOSL2",0.790172149342174,-0.784637068357999
"FOXD2",0.687416045042728,-0.814376321353066
"FOXH1",0.3107167014395,0.659760394644116
"FOXP3",-0.430878276029609,0.351797040169133
"GATA3",-0.710985357302771,0.474277660324172
"GMEB2",0.650623529299685,-0.830443974630021
"GRHL2",-0.830165671115684,0.572656800563777
"HNF4A",0.519448969676184,-0.444397463002114
"HNF4G",0.657902007297532,-0.651444679351656
"HOXA4",-0.65350062400564,-0.386187455954898
"HOXC6",0.62754961083007,-0.485130373502467
"IRF1",0.558013470900378,0.35461592670895
"IRF3",-0.575199824706813,0.703312191684285
"IRF4",-0.358465041393962,-0.588019732205779
"JUN",0.409452494593539,0.611980267794221
"KLF1",0.699476978478951,-0.475405214940099
"KLF3",-0.754313260358017,-0.402536997885835
"KMT2A",-0.375860984880963,0.368992248062015
"MAF",0.434917640782341,-0.641014799154334
"MAFF",-0.648032238703593,0.476391825229035
"MBD2",-0.675717130145665,0.90260747004933
"MEF2A",0.651338039574342,0.473291050035236
"MITF",0.655320243505102,0.540521494009866
"MXI1",0.679880343346004,-0.408738548273432
"MZF1",-0.652500309621119,-0.460324171952079
"NFAT5",-0.779025789057513,0.420859760394644
"NFATC1",-0.790600855506969,-0.566596194503171
"NFIC",-0.352739432393038,0.569274136715997
"NFYB",0.666009317213981,-0.629598308668076
"NKX2-1",-0.671372907675746,-0.892741367159972
"NR2C2",0.634018310516639,0.676532769556025
"NR2F2",0.634132632160584,0.646511627906977
"PAX5",-0.67102994274391,-0.325017618040874
"PBX1",0.31510855792773,0.789711064129669
"POU2F1",-0.593977154724818,0.672586328400282
"POU2F2",0.539093238827441,-0.86215644820296
"PPARG",-0.746043994779312,0.415785764622974
"PRDM1",-0.396667524078996,0.718111346018323
"RELA",0.635171053759753,0.655954897815363
"REST",-0.608515057113188,0.52262156448203
"RUNX3",-0.630502919965322,-0.420436927413672
"RXRA",-0.583230920193966,-0.463143058491896
"SETDB1",-0.345851553345337,0.413953488372093
"SIX5",-0.78847637829032,-0.353065539112051
"SNAI2",0.506330561033468,-0.68400281888654
"SOX17",0.428125029771261,0.432276250880902
"SP1",0.595453809292444,-0.835799859055673
"SP2",-0.652557470443092,0.486680761099366
"SP4",0.302780873988968,-0.505990133897111
"SPDEF",0.712147627349548,0.63016208597604
"SPI1",-0.583097544942696,0.678083157152925
"SRF",-0.701182276334467,0.500352360817477
"STAT1",0.585641201520478,-0.583932346723044
"STAT2",-0.54529518801147,-0.467794221282593
"STAT4",0.499747539702954,0.703594080338266
"STAT5B",-0.70056303409643,0.725863284002819
"TBX21",-0.698038431125973,-0.787596899224806
"TCF12",0.685453523488334,-0.402114164904863
"TCF21",0.302037783303324,-0.574348132487667
"TCF4",0.77892099421723,-0.463143058491896
"TCF7L2",-0.724275248411406,-0.365891472868217
"TEAD4",-0.679394476359237,0.455954897815363
"TFAP2C",-0.555317385464003,0.48231148696265
"TFAP4",-0.493078777139482,-0.581959126145173
"TFDP1",-0.709003782141054,0.642565186751233
"THAP1",-0.776863204626216,-0.638900634249472
"TP63",-0.773557403755466,0.320648343904158
"TP73",-0.648489525279374,0.778717406624383
"XBP1",0.772919107910105,-0.652431289640592
"ZEB1",-0.519325121228577,-0.63199436222692
"ZKSCAN1",-0.620766526622653,-0.647357293868922
"ZNF263",0.846265969304639,0.461169837914024
"ZNF384",0.302094944125297,-0.577448907681466
