"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AR",0.337352319450111,0.373397435897436,-0.563109354413702
"E2F3",-0.305375222949521,0.343727106227106,0.38129117259552
"E2F4",-0.420379862570812,-0.390384615384615,-0.433333333333333
"EBF1",0.358683825186318,-0.470421245421245,-0.371014492753623
"ETS2",-0.598653183666788,-0.355906593406593,0.601054018445323
"FOS",-0.31489173590556,0.31231684981685,-0.587615283267457
"GTF2I",0.422920287639585,-0.614880952380952,-0.599604743083004
"NR3C1",0.42554136112324,0.36771978021978,-0.489064558629776
"PPARG",0.574902225484131,-0.678891941391941,-0.344664031620553
"TCF7L2",0.461994444649764,0.572802197802198,-0.312384716732543
"ZBTB7A",0.339328205614713,-0.373534798534799,0.453754940711462
