"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",0.431886215955366,0.451106029078964,0.699715295677671
"BACH2",0.404157265654249,0.380833964368397,0.601137984308434
"BATF",0.333247197363495,0.463963088245824,0.544121297223769
"CEBPA",0.3963827458354,0.393755248078146,0.337706626781549
"CEBPB",0.378196278052667,0.432030254967096,0.424729570620568
"CEBPD",0.426801778553106,0.450781868717223,0.591544624644077
"CTCFL",-0.33287722790595,-0.406657438004873,-0.482960000557029
"CUX1",0.321996254946325,0.526217065936474,0.367978685599738
"ELK1",-0.336295289125052,-0.444537550744983,-0.582300676965699
"FOXP3",0.367038882574126,0.333871286204959,0.703705372355056
"GATA4",0.411428468204363,0.343507788310699,0.644847801791216
"GMEB1",-0.359607086977115,-0.513867076893702,-0.569274432215668
"IRF2",0.350520676801431,0.388778713903529,0.427248927707981
"KLF10",-0.517399829838863,-0.605477095054493,-0.791754557185013
"KMT2A",0.310646554753098,0.478869257490513,0.511876953260076
"MXI1",-0.335715695121743,-0.467929821668406,-0.447779727902309
"NFATC1",0.379423901724202,0.338945025093136,0.736926247573623
"PPARG",0.309227966296502,0.348993779332282,0.413650027823697
"RUNX3",0.395247626935007,0.585475055491307,0.574595108283457
"TBP",-0.32307886845623,-0.319323342366718,-0.308285682199169
"TFDP1",-0.313027609696565,-0.312569567547512,-0.416751647091545
"THAP1",-0.31792703755654,-0.328207375841591,-0.344962971009574
"TP63",0.467321200783392,0.507430736217218,0.417457421114254
