"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",0.559135213390244,0.452430793304961,0.409643494537242
"BCL6",0.570187449206742,0.336920668419137,0.466756329584183
"CEBPA",0.610755108903525,0.448027506331733,0.343824868629569
"CEBPB",0.58731294086166,0.376474526966418,0.366114027629955
"CEBPD",0.598382595763281,0.453879534170253,0.467130175680049
"CTCFL",-0.458041394098513,-0.380301962770485,-0.340862472473319
"FOXA1",0.465873679772303,0.312661907287854,0.306910237541268
"FOXH1",0.373765378918202,-0.320461175637916,0.355599284204569
"FOXP3",0.428401108627995,0.403305958524505,0.538103270258418
"HSF1",-0.323325018491029,0.320961302595307,-0.460040955107424
"IRF2",0.427525241296512,0.474034976015333,0.39961237127415
"KLF10",-0.60240799249163,-0.631683997439915,-0.342608359841081
"KMT2A",0.418870883984327,0.387621065846488,0.399043515808157
"NANOG",0.309458831208172,0.348648265864019,0.39060054109798
"NFATC1",0.455187393624476,0.403561988810718,0.433547824845007
"OTX2",0.472033733274204,-0.431987100413072,0.322715562986742
"RUNX3",0.491953970737525,0.358565642395448,0.341016200164796
"STAT2",0.310675239172475,0.387034691398614,0.419521248931395
"STAT5B",0.365627192273747,0.405062261195481,0.411667631696388
"TBP",-0.478831394769471,-0.344036466089901,-0.318488654848312
"TP63",0.547556682993296,0.525285513095814,0.315337404837139
"USF1",-0.304567839942131,-0.440094581493275,-0.32516973187082
