"","Celltype","Sample Names","Num of Samples","Protein","Num of TFs","Correlated TFs"
"1","Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD11b","49","AHR,ARID3A,BACH2,BATF,BCL11A,BHLHE40,CEBPD,E2F2,E2F4,EBF1,ESR2,ETV4,FOSL2,FOXD2,FOXP1,FOXP2,FOXP3,GATA1,GATA4,GLIS1,GTF2I,HSF1,HSF2,IRF1,IRF3,JUND,MAFF,MAFK,MEF2A,MYB,MYBL2,MYC,MZF1,NFIC,NFYA,NFYB,NR5A2,PBX1,POU2F2,RELA,REST,RXRA,RXRG,SPI1,SREBF1,STAT1,TCF21,ZEB1,ZNF76"
"2","Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD14","8","AR,CEBPA,ELF1,EPAS1,FOXA2,FOXO3,HINFP,XBP1"
"3","Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD39","28","ARID3A,ARNTL,BARX2,E2F6,E2F8,ELK4,ETS2,ETV6,ETV7,FOSL1,FOXM1,FOXO3,GATA1,GATA2,HES1,HINFP,HOXB13,NFE2,PBX1,POU2F1,POU2F2,RUNX2,SPDEF,STAT5B,TCF21,VEZF1,ZBTB33,ZFX"
"4","Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD62L","8","ARID3A,ELK1,ETV4,MYBL2,MZF1,PAX6,RUNX2,ZNF263"
"5","Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD69","51","ARID3A,BCL6,CDX2,CEBPD,CLOCK,EBF1,EGR1,ELK1,ETS2,FOXA1,FOXD2,FOXO3,FOXP1,GATA2,GMEB2,HNF4G,HSF2,IRF1,IRF3,JUNB,KLF5,KLF9,MAX,MITF,MNT,MYBL2,MZF1,NANOG,NFE2,NR3C1,RARA,RUNX2,RXRA,SP2,SP4,SRF,STAT2,STAT3,STAT5A,STAT5B,TBX21,TCF3,TFAP2A,USF2,VDR,VEZF1,YY1,ZBTB7B,ZEB1,ZFX,ZNF384"
"6","Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","HLA.DR","16","ASCL2,CLOCK,E2F6,E2F8,ESR2,FOXD2,HINFP,HOXC6,IRF3,KLF3,MEIS1,PBX1,RFX5,RXRA,SMAD3,TFDP1"
"7","Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD81","55","ATF3,CLOCK,CTCF,E2F6,EGR1,ELK1,ELK3,ELK4,EPAS1,ESR2,ESRRA,ETV6,FOSL1,FOSL2,FOXH1,FOXO3,GATA1,GATA3,GTF2I,HES1,HEY1,HNF4G,HOXA4,IRF2,IRF3,IRF4,JUND,KLF1,KLF3,KLF4,KLF9,KMT2A,MAFF,MAFK,MAX,MXI1,MYC,MZF1,NFIC,NFYB,POU2F2,PPARG,PRDM1,RARG,RFX2,RFX5,SP1,SREBF1,STAT1,TBP,TCF4,TFAP2C,THAP1,YY1,ZNF263"
"8","Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD123","7","BACH1,ELK3,FOS,HEY1,PAX5,SPDEF,TP63"
"9","Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD95","43","BARX2,BCL11A,CDX2,E2F2,E2F4,E2F8,ESRRA,FOSL2,FOXA2,FOXO3,GATA1,GATA3,GLI2,GMEB2,HOXA4,JUN,KLF4,KMT2A,LHX2,MAF,MAFF,MAFK,MEF2A,MNT,MYC,NFIC,NKX2-1,NRF1,POU2F2,RARA,REST,RXRA,SOX17,SP1,SPIB,SREBF1,TCF21,TP73,VDR,VEZF1,YY1,ZBTB7A,ZNF76"
"10","Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD206","8","BCL6,EGR1,GMEB2,GRHL2,HSF1,MITF,VDR,ZBTB7A"
