Cell.Type,Sample Name,AHR,AR,ARID3A,ARNT,ARNTL,ASCL1,ASCL2,ATF1,ATF2,ATF3,BACH1,BACH2,BARX2,BATF,BCL11A,BCL6,BHLHE40,CEBPA,CEBPB,CEBPD,CLOCK,CTCF,CTCFL,DUX4,E2F1,E2F2,E2F3,E2F4,E2F6,E2F7,E2F8,EBF1,EGR1,EGR2,EHF,ELF1,ELK1,ELK3,ELK4,EPAS1,ESR1,ESR2,ESRRA,ETS2,ETV1,ETV5,ETV6,ETV7,FOS,FOSL1,FOSL2,FOXA1,FOXA2,FOXD2,FOXG1,FOXH1,FOXK1,FOXM1,FOXO3,FOXP1,FOXP2,FOXP3,GATA1,GATA2,GATA3,GATA4,GLI2,GLIS1,GMEB1,GMEB2,GRHL2,GTF2B,GTF2I,HEY1,HIF1A,HINFP,HNF1B,HNF4A,HNF4G,HOXA1,HOXA4,HOXA6,HOXB13,HOXC6,HSF1,HSF2,IRF1,IRF2,IRF3,IRF4,JUN,JUNB,JUND,KLF1,KLF10,KLF3,KLF4,KLF9,KMT2A,LHX2,MAF,MAFF,MAFK,MECOM,MEF2A,MEF2C,MEIS1,MITF,MNT,MXI1,MYB,MYBL2,MYC,MYOD1,NANOG,NFAT5,NFATC1,NFE2,NFIC,NFYA,NFYB,NKX2-1,NR2C2,NR2F2,NRF1,ONECUT1,OTX2,PAX5,PBX1,PBX3,PGR,POU2F1,POU2F2,PPARG,PRDM1,PRDM14,RARG,RBPJ,RELA,REST,RFX2,RFX5,RUNX1,RUNX2,RUNX3,RXRA,RXRG,SETDB1,SIX5,SMAD3,SOX17,SP1,SP4,SPI1,SPIB,SREBF1,SRF,STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B,TBP,TCF12,TCF21,TCF3,TCF4,TCF7L2,TEAD4,TFAP2A,TFAP2C,TFAP4,TFDP1,THAP1,TP63,TP73,USF1,USF2,VDR,VEZF1,XBP1,YY1,ZBTB33,ZBTB7A,ZBTB7B,ZEB1,ZFP42,ZFX,ZKSCAN1,ZNF143,ZNF263,ZNF384,ZNF76
BMCP,ND251_34,-0.061650776,-0.215402607,-0.005710418,0.095275672,0.051127587,0.002978366,-0.228088743,-0.094740419,0.134948664,-0.308646999,0.201996642,-0.083371291,0.050081539,-0.130895618,-0.134869193,-0.164911029,-0.132749185,-0.296437314,0.428081221,0.070699076,-0.334426216,-0.256601225,-0.12532977,0.070394398,0.10109596,-0.027407276,-0.056782438,-0.162132262,-0.331082189,-0.190638061,0.047957169,-0.0228537,0.046819432,0.073399582,0.374011017,-0.19153613,0.111822714,-0.226628535,0.13957491,0.070394055,0.042475088,-0.087146678,-0.207949774,0.068083676,0.064022261,-0.018889548,0.431358136,0.03978863,0.132786213,0.046117131,-0.098909383,0.070744366,-0.220026093,0.202976515,0.031610215,0.18861275,0.066979427,0.104337103,-0.106786209,-0.31830081,0.064341226,0.021770015,0.020400702,0.116148784,0.056833764,0.089258301,-0.274176016,-0.081122142,-5.36E-05,0.005197652,-0.064246179,0.265072822,0.06092294,-0.0528951,-0.134195218,0.025771165,-0.014281556,-0.001028257,-0.105607167,0.03195215,0.238295026,0.179499886,-0.003987078,-0.070701084,-0.134980982,0.072211372,0.046167057,0.194127872,0.170378085,-0.182503426,-0.093561844,0.124502854,0.517078646,-0.085934698,-0.08946879,0.339695831,0.358476597,0.334166486,0.115304649,0.004998223,0.123653294,-0.149924394,0.010876785,-0.021825434,-0.018329608,0.258901667,-0.257236013,-0.169651334,-0.081873563,-0.018336926,0.030015992,-0.033683666,-0.140313483,-0.480795914,0.160309026,0.106492492,0.101567537,-0.00569588,-0.183042219,-0.105008542,-0.097137994,-0.120412736,-0.083879283,0.145351533,-0.121329827,-0.232843447,-0.072763298,-0.120047539,-0.188582404,-0.183411192,0.173283091,0.048960757,-0.235896263,0.186554001,0.108061316,0.241830588,-0.089410654,0.042026962,0.013969208,0.046679356,-0.090512155,0.056896346,0.100589671,-0.243029469,0.344193306,-0.03080479,0.032645323,0.001161685,0.374531467,-0.215092341,-0.170398008,0.03753595,0.160175096,0.03356738,0.17934969,0.054510973,-0.039278403,0.196711621,0.010151006,-0.04321396,0.020117525,0.09474141,0.002505992,-0.000642652,0.320977733,-0.010586515,0.364950512,-0.001972633,0.151400364,0.167119714,-0.018105511,-0.050745531,0.150372003,0.064621782,-0.096169789,0.119039554,-0.010516807,0.076912931,0.150250207,0.06063206,0.034767086,0.233831959,0.208756222,-0.036474116,0.126053895,-0.030560908,-0.060063933,0.079477113,0.092707012,-0.065276069,-0.106579864,-0.143708244,0.043925476,-0.115522439
ERP,ND251_34,-0.196744219,-0.150060819,-0.024560213,0.013317209,-0.130447031,-0.062239365,0.071691257,0.122357156,0.180585685,0.040926664,0.193995791,-0.094299971,-0.193950884,0.252122283,-0.077253803,-0.02687881,-0.04692658,-0.09912465,0.001636576,-0.057827404,-0.12064663,-0.043873405,-0.055112864,-0.068411745,0.017080478,-0.198729677,0.002480045,-0.112200068,-0.111628912,-0.080816652,0.088763227,0.083750441,-0.010989851,0.04168122,0.251715601,0.066763062,0.078994795,0.013138757,-0.027536897,0.00185123,-0.245011014,0.023388418,-0.047448013,0.211170269,0.047522306,-0.047379063,0.186519156,-0.058472766,-0.013316695,0.049730739,-0.219638126,0.050873452,-0.125636228,-0.008828105,0.01884871,-0.005540839,0.022969428,0.248466159,-0.089966669,-0.03167026,-0.072773183,0.042120852,0.097183659,0.118461752,-0.02381001,-0.208087294,-0.016443667,-0.188092408,-0.007904912,0.001307696,-0.062717696,0.385494809,0.017521692,-0.181975794,-0.030803852,-0.030709293,0.149207639,0.021299027,-0.090749569,0.087604579,0.191651384,0.105120801,0.14300489,0.042173663,-0.037150117,0.032187453,-0.016356282,0.010182004,0.033947594,-0.037974769,0.139183694,0.039425824,0.519506429,-0.128183636,0.043721541,0.136630773,0.12942539,0.014178816,-0.049364849,0.090970275,-0.007703433,-0.056409621,-0.112236203,0.145259713,-0.139270863,0.077077186,0.009207357,-0.045559924,-0.154697517,0.066750943,0.000144287,-0.096436624,0.005723434,-0.1178192,-0.00173287,-0.039542017,-0.081576829,-0.033534224,-0.088675418,-0.038942034,-0.054006064,0.005473782,-0.018946513,0.043102622,-0.07575542,-0.031652137,-0.042124169,-0.12478481,-0.052031982,0.030818024,0.019029853,-0.030591663,-0.047744804,0.011504512,0.142832818,0.025370077,-0.094015108,-0.04915367,0.162119114,-0.076658078,-0.090042023,0.09941671,-0.115967619,-0.117287767,0.165875712,-0.035849803,0.080204846,0.085667035,0.029082537,-0.07018875,0.018378867,-0.030704555,0.012293111,0.037589493,0.035277246,-0.017507128,0.007212474,0.078273895,0.010309345,-0.110197284,0.136414215,0.146318617,-0.006172703,0.053777402,0.021531325,-0.011584614,0.156268044,-0.048357709,0.02174374,0.113881898,0.041245436,0.042554576,0.003279526,-0.1818565,-0.076023831,-0.049536477,0.111851695,0.042499544,-0.060864105,0.073259539,0.064421973,0.021852788,0.138370835,-0.113123456,0.014883968,0.009246786,0.210267569,0.211577261,0.252968402,-0.135298909,0.05968468,0.027429794,-0.011717327,-0.027329143
HSC.CACNB2,ND251_34,-0.045606776,-0.039645274,-0.090696904,0.02122432,0.08537714,0.191037386,-0.043619783,0.070479032,0.267934614,-0.168415687,0.133107695,-0.065292906,0.002296903,-0.020524083,-0.09233794,-0.057079572,0.006140405,-0.101149173,0.048831931,-0.07988804,-0.248093075,0.148588461,-0.189502865,-0.136143688,-0.279008225,-0.091093152,0.082736459,-0.074212366,-0.010206842,-0.034522369,0.068264008,-0.093470881,0.220610345,0.020507687,0.27239348,-0.081748561,-0.066965969,-0.031344138,0.102309454,-0.010456057,-0.138859809,0.114903021,-0.059921263,0.128303063,0.004182857,-0.022894452,0.390016428,0.069762414,0.039986696,-0.026242735,-0.050767603,0.011623675,-0.300109001,-0.076458977,0.02492343,0.007473672,0.139321225,-0.052479742,-0.086885249,-0.025830568,-0.096730887,0.142653573,0.042741702,-0.090096203,0.068662321,-0.027758567,0.052332589,-0.111148809,-0.025787262,-0.08540064,-0.216524474,0.378371098,-0.052516766,-0.216482243,0.04234233,0.105059641,-0.017400059,0.055876976,-0.213463569,0.122393545,0.163814718,0.126898007,0.008971042,-0.003600165,-0.163553836,0.112169036,0.117716761,0.067903415,-0.004562781,-0.028792937,0.051325872,0.082248138,0.588862767,0.014281546,-0.019486714,0.07553004,0.063592843,0.144061783,-0.090941481,0.075749144,0.042279019,-0.10941698,-0.036805981,0.145512943,-0.00672558,0.04846834,0.050385518,-0.049218063,0.003580984,-0.10174654,-0.016498479,-0.10789997,0.077405606,-0.206207142,-0.046445896,-0.092523292,0.071567487,-0.093917936,-0.024912355,0.117677772,-0.078619916,-0.009551403,-0.084997079,0.109363831,-0.161147278,-0.053369852,0.056163128,-0.003242818,-0.150786862,0.021956549,0.174028173,-0.162276281,-0.061653499,-0.053601486,-0.007092503,0.05726613,-0.057612031,0.07090116,0.078711558,0.123026692,-0.080690416,0.198250105,-0.036919437,0.030558617,0.056157128,0.07657393,-0.039222797,0.001237046,0.132878668,-0.182601169,-0.024343615,-0.157858363,0.071518025,0.066362705,0.021738123,-0.007104401,-0.076792542,0.041900683,0.172960596,-0.032801753,-0.024998448,0.059928658,0.033156992,0.104971796,-0.00523938,-0.018967512,0.312287685,0.058838733,0.019476299,0.114460242,-0.21534142,-0.058815429,0.242335111,-0.064751977,-0.088162734,0.002303162,-0.030629163,0.053169877,-0.019745192,-0.039017148,-0.188675382,0.064321364,0.113109752,0.15996353,0.055480243,0.01835291,0.159125558,0.190264267,0.181714253,-0.127730088,-0.022951997,-0.196342899,0.157142055,-0.186325325
HSC.CACNB2,ND251_HSC,-0.009928544,-0.162591098,0.003760496,-0.026184517,0.000207836,0.087585953,-0.061812664,0.067580685,0.17931215,-0.147878087,0.0887361,-0.041312558,0.001018532,0.02871166,-0.047781341,-0.081818234,-0.017589285,-0.088514212,0.063927167,-0.05427965,-0.211611372,0.088710692,-0.132063286,-0.084768775,-0.206154343,-0.110902541,0.167555273,-0.029965082,0.088916577,-0.109592453,0.17699535,0.003238386,0.074437378,0.054847683,0.116582558,-0.061234767,0.036544959,-0.057075715,-0.000564428,-0.027114325,-0.047252609,-0.018276264,-0.108487351,0.04323081,0.10268163,-0.054429918,0.482198185,0.081032155,0.017092327,-0.022249174,-0.112094501,0.097930445,-0.179445096,-0.117674929,-0.055020976,0.029894556,0.090167219,0.013115378,-0.060889323,-0.013427715,-0.00061111,0.079906956,0.01379661,0.05020076,-0.147953933,-0.073506532,-0.105527228,-0.019280445,0.029406348,-0.037384502,-0.002897069,0.380325809,0.001011852,-0.094588888,0.039537783,-0.000377275,0.065201075,-0.007113971,-0.004689687,0.087025194,0.185513406,0.062254379,0.016296765,0.093224785,-0.036747718,0.13574657,0.069301343,0.121782921,0.130654488,-0.067948942,0.140820456,-0.005473386,0.521624838,0.083177246,-0.083826916,0.188214374,-0.023502249,0.055807614,-0.083700779,0.043900338,0.022860129,-0.09379213,-0.088765675,0.012143531,-0.02651102,0.030798999,-0.039870071,-0.038093003,0.007950983,-0.111605837,-0.024684196,-0.113428543,-0.03557759,-0.124720132,0.094515164,-0.103007124,-0.033572419,-0.088870877,-0.023951828,0.101278446,0.004410576,-0.096419584,0.006297122,0.042304141,-0.072020052,-0.056616112,-0.033283426,-0.018254962,-0.10339213,0.069676271,0.067995181,-0.126500274,-0.109673367,-0.060433444,0.062189636,0.101910313,0.008912985,0.05224512,0.093020142,0.03807211,-0.061705361,0.173603878,-0.115302178,-0.017287076,0.161762071,-0.01032673,0.039224854,-0.015083962,0.076609312,0.084601528,-0.089327533,-0.053462949,0.029190146,-0.06087895,-0.007054732,-0.041909139,-0.000592767,0.086485351,0.020305972,0.075892861,-0.103730208,0.109494661,0.004440163,0.019937564,0.029541171,-0.06495426,0.233563781,0.03709006,0.068188851,0.038101514,-0.113393331,0.061526405,0.145919511,-0.071187424,-0.019971896,-0.031387531,0.028046105,-0.038899438,0.062650159,-0.056840252,0.020502036,0.092310159,0.115844527,0.070801165,0.098162095,-0.094568621,0.056170775,0.044446557,0.194861893,-0.151154917,-0.026419028,-0.023927464,0.060358565,-0.090430119
HSC.CACNB2,ND251_LMPP,-0.058263031,-0.018731399,0.196104252,0.011376306,0.130327704,0.029219218,0.327506578,-0.041731119,0.367063333,-0.268033435,0.076682548,-0.267002335,0.406399135,0.149769194,-0.249624801,0.051612426,0.205696631,-0.441872031,0.342896559,-0.099086704,-0.388849461,-0.004436839,-0.029378354,-0.173210949,-0.238503543,-0.022787657,0.169018373,0.100355722,0.145934299,-0.167836672,0.113477035,-0.311791666,-0.071690266,0.297958244,0.136744003,0.116739324,-0.210635476,0.112697051,0.113968167,0.183180607,0.090620991,0.179236916,-0.450727216,0.031442499,0.260392514,-0.200599351,0.554124767,0.256477302,-0.398690615,0.113170505,0.165070655,0.272692239,0.151424333,-0.281239136,-0.253288592,0.01747015,0.173701101,0.147060514,-0.138687473,-0.099851432,0.047524561,-0.441198263,0.367068644,0.305781366,-0.24747523,-0.292576901,-0.005803502,0.130004032,-0.074485018,-0.347705557,-0.216668231,0.053773358,-0.120839958,0.401502321,0.278954953,-0.106769014,0.137185155,-0.485266658,-0.015128276,0.273921695,0.039045072,0.178822585,-0.154800038,0.120002804,0.255512386,-0.042451804,0.329909395,0.135628029,-0.167063801,-0.336652372,-0.3234856,0.000115226,0.586785266,-0.095856887,-0.352980962,0.300854098,-0.170400395,-0.445768229,-0.072808852,0.078242924,-0.209147898,-0.180143595,0.226672224,-0.023908455,0.040434277,0.22214902,-0.024241734,-0.243985335,-0.082456897,0.04428586,-0.064785756,0.116591835,0.318072432,-0.188132294,0.157541633,-0.21245944,-0.320093132,-0.17445002,-0.211523278,0.144889129,0.170704681,-0.458860345,0.156725599,-0.430322899,-0.054227798,-0.113196738,0.10361555,0.373834285,-0.27635888,0.194384317,0.154309509,-0.017058621,-0.056911907,0.473925369,-0.172607981,0.155118188,-0.112043473,0.026813987,0.155808633,0.150495763,0.165693603,0.058111279,0.008530785,0.191147313,0.087127066,-0.097731662,0.650779103,0.064518081,-0.151699853,-0.188725597,-0.006366926,0.008575421,-0.034688779,0.611323932,0.125472746,0.106997173,-0.165268513,0.348439239,0.11255218,-0.042827869,-0.488964976,0.447040886,0.37592729,-0.27144013,-0.227738126,-0.106870443,0.209248806,-0.129108429,0.060411876,-0.036902319,-0.072854342,-0.318433215,-0.003846831,-0.114637141,0.006436797,0.216354816,-0.204691863,0.085918556,-0.073756818,0.313159281,0.504290963,0.228324971,0.006996986,-0.424792115,0.016355515,-0.036043042,-0.090704553,0.006715112,0.196754592,0.230404164,0.101330649,-0.089260316,0.005628984,-0.185677284
HSC.CACNB2,ND251_MPP,0.079719162,-0.11910346,-0.069563023,0.127141813,0.07055474,0.090109403,-0.170154868,0.010470862,0.268478032,-0.064682994,0.159366687,-0.069147735,-0.025706438,0.105308696,-0.048701158,-0.159031132,0.06506924,-0.043867821,-0.017641468,-0.035581382,-0.091455109,0.074574015,-0.171159625,-0.052615322,-0.551474449,-0.216514754,0.150347742,-0.020738884,-0.103847197,-0.094834253,0.095243621,-0.044189136,0.115902528,-0.081887591,0.185377719,0.161767872,0.041924886,-0.125385042,-0.043517818,0.016644698,-0.09407943,0.019308363,-0.071765882,0.117170984,0.046726625,-0.031275222,0.440763621,0.016823096,0.014687206,-0.046990639,-0.09940662,-0.012916393,-0.085477685,0.003534552,-0.104589447,0.140825099,0.019131099,-0.082078047,-0.094578874,0.105082251,-0.095863215,0.09832903,-0.051588375,0.065098931,-0.136053429,0.058585396,-0.008244078,-0.042481753,0.110479353,0.015688474,-0.093248526,0.376199787,-0.024338064,-0.07266019,-0.105048918,0.033447028,-0.042612398,-0.069038031,-0.034769725,0.070640013,0.204375769,0.207556903,-0.03546656,0.167000111,-0.027565228,0.118165592,-0.022259729,0.15279024,0.069767458,-0.071043421,0.180183152,0.020343459,0.574598183,-0.038078819,-0.036193621,0.13401178,0.00434989,-0.150382437,-0.104479411,-0.016993049,0.055266988,-0.072529041,-0.050117131,0.04903848,-0.088551306,0.06244021,0.05534327,-0.085238921,-0.107624734,-0.184101609,0.099528225,-0.136517504,0.130449949,-0.172778796,0.07414027,-0.099436816,0.035657322,-0.04314618,-0.025486344,0.013289119,0.082757502,0.000497382,-0.033547962,-0.02619593,-0.068616606,-0.078597114,-0.026288162,-0.16066553,-0.114979849,0.09644052,0.132465977,-0.056451709,-0.094350622,0.073530561,0.072024969,0.057527168,0.085006972,0.027248876,0.194976755,0.149929897,-0.03159049,0.110722179,-0.103132412,-0.088716409,0.200008158,-5.87E-05,0.112727538,-0.06699354,0.090264786,0.060665521,-0.086946053,-0.040544881,0.190276985,-0.109865435,-0.170508329,-0.031791822,-0.083750011,0.110192323,0.060892628,0.049895732,-0.148424177,-0.001662533,0.039943981,-0.096821717,0.090312345,-0.180238078,0.330567895,0.058360854,0.067129501,-0.031829885,-0.211655359,0.016671198,0.137609333,-0.080314747,-0.090358716,0.079894391,-0.035021592,-0.068656718,0.02926902,0.025797204,-0.116078795,0.102185826,0.167763767,0.017602371,0.161196603,-0.0674706,0.061520673,0.107945189,0.126649456,-0.119053256,-0.062485925,0.12449372,0.164305187,-0.095285414
HSC.HIST1H2AC,ND251_34,-0.165105509,-0.163754761,0.01985595,-0.245130122,-0.074700071,0.068762859,0.019091515,-0.032882866,0.202978918,0.106688329,0.109152539,-0.096242524,0.088891848,0.058108595,-0.059693333,0.135555297,0.036878581,0.04644465,0.291902457,-0.139481977,-0.135225187,-0.041924054,-0.075040703,0.032657601,0.060542596,-0.102090462,0.255878311,-0.181857154,-0.143544876,-0.149828453,0.165439377,0.1313827,-0.00175614,0.03933053,0.170960169,-0.023488255,-0.127067227,-0.046988639,-0.087562725,0.099422905,0.019189768,0.01756755,-0.12529673,-0.142115545,0.166318978,-0.065111193,0.608761141,-0.127166232,-0.035107897,-0.030453158,-0.069884946,0.115781216,-0.260546351,0.113335973,0.016561501,-0.030607934,0.040933115,0.194042825,0.035732757,0.166354597,-0.021090547,0.095679807,0.05191255,0.084044262,-0.097153407,-0.02945358,-0.24517195,-0.093325787,0.015548587,0.154387377,-0.180885819,0.236331393,-0.018466746,-0.068715675,-0.086756734,-0.015151499,-0.173672376,0.039174144,-0.15648109,0.020454438,0.056341871,0.047275849,-0.046436193,-0.006304941,0.041234478,0.143912132,0.004643946,0.028231588,0.046487626,-0.005604691,-0.002477608,0.031838203,0.294070818,-0.108733979,-0.050944064,0.131996732,0.025253206,0.151701279,-0.012759137,0.243023337,0.376731808,-0.172874464,-0.016260681,0.212522624,-0.090906281,0.111451976,-0.081716546,0.02924607,0.077926346,-0.153670683,0.014934156,0.08548353,0.15575184,-0.207687555,0.015750315,-0.026112196,0.087490402,-0.154983176,0.126840279,-0.166059715,0.109276982,-0.037650871,-0.088353509,-0.077715096,-0.066062781,-0.063471221,-0.060821628,-0.103312451,-0.245485379,0.097868365,-0.084672614,-0.030127718,-0.202651465,-0.184253035,-0.014434401,0.021042257,-0.161305031,0.101742657,-0.042697459,0.237771834,-0.203706668,0.129135914,-0.033088899,-0.142847813,0.012646917,0.052721211,-0.05782275,0.037168709,0.018453003,-0.111477028,-0.114780961,0.124369803,0.405015434,0.21737805,0.038949355,0.055362578,0.080377984,0.053503085,0.120415824,0.157505499,-0.129086882,-0.073242548,0.090848971,-0.083369637,0.263764806,-0.053974809,-0.040159871,0.121413108,-0.036091612,0.074785858,0.139605767,-0.16607056,0.37535511,-0.247506961,-0.115012935,0.048981289,0.019880589,0.181703307,-0.310273978,0.116442972,-0.206888806,0.224564292,0.362355265,0.04717207,-0.118187329,0.199694928,0.02396959,0.19998198,0.184970525,-0.037692133,-0.114988114,-0.102529017,0.071240567,-0.199521328
HSC.HIST1H2AC,ND251_HSC,0.008355165,-0.073578556,-0.1036711,-0.005683105,-0.01114758,0.095453947,-0.013031111,0.057656375,0.147359026,-0.115104065,0.138186937,-0.063959203,0.073120036,-0.006365308,-0.037305174,-0.072107009,0.030787168,-0.022949948,0.143133152,-0.063681031,-0.184989445,0.041610045,-0.041243811,-0.011643148,-0.110612892,-0.110753163,0.203898644,-0.076087552,0.096739995,-0.072908253,0.117119894,0.050203704,0.1172595,0.025992722,0.210981344,-0.176720545,-0.055068682,-0.062221633,0.047421666,-0.022253861,0.00174399,-0.05297445,-0.072437969,0.026340401,0.091891418,-0.045672645,0.419799044,0.106817795,0.106848395,-0.074004521,-0.141368454,0.137844715,-0.023065102,-0.008382051,-0.026458708,-0.005863445,0.017366781,0.012017968,0.031895762,-0.031978339,0.024730248,0.054468595,-0.031745822,-0.009499038,-0.041793024,-0.069759147,-0.127523425,-0.059725674,-0.002564943,0.031499664,-0.171737534,0.396495229,0.021041163,0.000636662,0.012725138,0.035973172,-0.002270267,0.067162666,-0.132816775,0.050128435,0.236706798,0.051950531,-0.002338272,0.023213525,-0.005108898,0.106672237,0.02476465,0.035319324,0.056739361,-0.033156038,0.074806124,-0.044216778,0.474626481,-0.142514159,0.017806843,0.165887455,0.150359769,-0.065430032,-0.047894423,0.108681814,0.120284691,-0.047120771,-0.042394443,0.100783488,0.004009584,0.116130547,-0.063870917,-0.012334489,0.019345726,-0.03932144,-0.036069551,-0.073180346,-0.049043607,-0.084655397,-0.006995765,-0.028504265,-0.00186507,-0.096276635,-0.034409864,0.031980289,-0.025373704,-0.094735168,0.033183809,0.042624925,-0.104072861,0.008796856,0.043358705,-0.044313893,-0.205782604,0.057932224,0.037537569,0.00231028,-0.057707901,-0.000419585,0.033253558,0.068877528,-0.025977046,0.079010664,0.075582616,0.043694281,-0.079303685,0.096612597,-0.145933026,0.044209054,-0.078497651,-0.004117886,0.070459682,-0.016640566,0.093746404,0.086426279,-0.05159563,-0.01820305,0.112241647,0.09507718,0.011393061,0.044678012,0.027191048,0.115644284,0.112619874,0.157681677,-0.114372524,0.038367074,0.014729385,-0.022075393,0.049088764,-0.074835893,0.259354008,0.049609862,0.014537722,-0.002233804,-0.124302213,-0.049075106,0.025137107,-0.121589473,-0.066614698,0.029541808,-0.015199522,-0.058650789,0.067559759,-0.040949695,-0.115450682,0.115327733,0.036008383,0.033841724,0.18441804,-0.029742698,0.065739767,0.017288336,0.135025252,-0.058427605,-0.017035369,-0.045848857,0.071993579,-0.087652066
HSC.HIST1H2AC,ND251_MPP,-0.003077722,-0.171182353,-0.176494632,0.077569842,-0.028249071,0.141463848,0.006808386,0.094624254,0.053676572,-0.188680975,0.119129229,-0.16828872,0.149013834,0.153574131,-0.034320106,-0.073595007,0.079386851,0.073959662,0.176805749,-0.069005769,-0.064988275,0.063497279,-0.034128922,-0.050118005,-0.102874124,-0.137036708,0.088796064,-0.000890952,0.060293032,-0.054164019,0.117640777,-0.169783648,0.038647811,0.097836559,0.225866619,0.041602257,0.05154555,-0.146240164,-0.114482105,0.023372968,0.012070192,-0.028983272,-0.050840824,0.060082413,0.049926183,-0.012562572,0.406570394,0.148110163,0.024405808,-0.157965492,-0.061629875,0.132654296,0.213578297,-0.058860143,0.034498687,0.005476728,0.041843536,-0.008741299,-0.083696342,0.110673296,-0.119551633,0.082871788,-0.01994599,0.04118131,-0.019833747,-0.102064556,-0.174996319,-0.054117862,-0.063742964,-0.049110191,-0.108432296,0.231063899,0.064498983,-0.094897228,0.038853613,-0.000673112,-0.019066834,-0.062164877,0.068783472,0.070171241,0.245605586,0.023924851,0.003808205,0.048088136,-0.030312872,0.189097284,-0.039208941,0.087150645,0.174459373,-0.151914351,0.066521033,0.045632793,0.474042629,-0.125418336,0.004517434,0.0917952,0.116197802,-0.010520112,-0.021667201,0.13594569,0.0810838,-0.111868347,0.07265493,0.163337865,-0.122360777,0.093429937,-0.052424001,-0.012784439,0.032789169,-0.034266079,0.04783893,0.062510635,0.013382089,-0.191546784,-0.090453456,-0.063374305,-0.000233144,-0.100894239,0.188752382,0.190848178,0.039606273,-0.205605088,0.004791023,-0.003688767,-0.020902102,0.087755965,-0.018123459,0.075857217,-0.020197279,0.214946922,-0.012568263,0.004640438,-0.176392614,0.073077771,-0.149949944,-0.064390393,0.010531957,0.011827869,0.15251988,0.090802741,-0.146478097,0.065525207,-0.197565897,-0.182145776,0.14131819,0.029650323,0.055356084,-0.068107657,0.090445058,-0.09141682,-0.05121718,-0.21133678,0.006060103,0.250938154,0.028994307,0.088775225,0.117919307,0.164369308,0.176964009,0.161133088,-0.048375793,0.151623419,-0.154432083,0.005499906,0.182850802,-0.045293427,0.107780469,0.093134744,0.087263346,-0.029124772,-0.067129708,-0.099108639,-0.068665547,-0.14814562,0.03407453,0.068176633,-0.040160595,-0.013173687,0.039053612,-0.104561386,-0.166278749,0.159287848,0.135767491,0.092734811,0.073259149,0.015529749,0.022176774,0.028388273,0.200984708,-0.137788382,0.030577621,-0.438680244,0.061907789,-0.15752505
HSC.MYADM-CD97,ND251_34,0.048183268,-0.145659578,-0.104573122,-0.041381002,0.023412356,-0.009656001,-0.036337475,0.081129432,0.162265284,0.161740638,0.121405105,-0.219540773,-0.053325712,0.048834486,-0.028961212,-0.028917548,-0.198806638,0.084884382,-0.499870083,-0.248155693,-0.154639383,0.326583385,-0.042990403,-0.102271447,-0.339219323,-0.132152188,0.176992644,-0.107646391,0.230183467,-0.28055353,0.07594355,-0.053896686,-0.147002464,-0.071517214,0.112513856,-0.120916037,-0.09964188,-0.001701618,-0.045555977,-0.015675496,-0.198933956,-0.184017685,-0.143505928,0.170916916,0.063870983,-0.02289895,0.368570071,0.088321477,-0.073701286,0.079591293,-0.07086497,0.441574067,-0.058914121,0.019959248,0.090739618,0.037309047,0.040509736,0.019485058,0.089722419,0.059704934,-0.017524254,0.109264408,-0.121235083,-0.075542884,0.092386414,0.060326571,0.020250857,-0.237690061,0.06730935,-0.117258038,-0.179834448,0.468310699,-0.143274348,-0.002154893,0.064280466,0.019971018,0.19044875,-0.12619027,0.022951654,0.1082467,0.14559987,0.056923383,-0.153381637,0.1270182,-0.011965591,0.225146992,0.081751165,-0.015962033,0.202940503,-0.15393205,-0.028277559,-0.001195846,0.430212835,0.074940849,-0.043612024,0.214563697,0.192557748,-0.043869106,0.02935458,0.031672541,0.073667953,-0.186175126,0.134138865,0.041367557,-0.24911826,0.137025164,0.075654505,-0.021896383,0.076607158,0.118148022,0.054518522,-0.148590885,0.030653529,0.062383021,-0.033905036,0.094572935,0.153212085,-0.029334147,0.097747465,0.167188107,-0.03236572,-0.168842073,0.09237469,0.080114423,-0.167921747,-0.040777998,0.12139709,-0.150170872,-0.15844523,-0.048329789,0.083688633,0.121026761,-0.13174826,0.039764782,-0.011336534,-0.022409476,0.070631478,0.179975868,0.037851137,0.09401432,-0.167486856,0.262584295,-0.249199382,-0.044247598,0.042108989,0.031270637,0.056174301,0.007607861,0.211461184,-0.045276493,-0.171875696,0.037017241,-0.05139062,0.066610977,-0.001541913,0.029993576,-0.050233048,0.097795756,-0.170553026,0.023251723,-0.093879375,0.140803794,0.031264539,-0.259700895,0.258714788,-0.211178765,0.282396686,0.096188776,-0.00952472,0.124915396,0.099004908,-0.272988104,0.022842647,0.092610368,-0.039946669,0.070643141,-0.097125957,-0.230143567,-0.007926672,-0.045946083,-0.030993198,0.100201795,0.152732081,0.06385134,0.093066386,-0.143101734,0.117303307,0.049932618,0.160354446,-0.22229048,-0.125941189,0.033647742,0.207239759,-0.160012282
