"","ND251_34","ND251_LMPP"
"AHR",125,112
"AR",28,74
"ARID3A",152,60
"ARNT",57,145
"ARNTL",92,92
"ASCL1",166,171
"ASCL2",89,83
"ATF1",144,159
"ATF2",180,190
"ATF3",44,81
"BACH1",67,183
"BACH2",73,67
"BARX2",66,120
"BATF",181,98
"BCL11A",95,73
"BCL6",127,111
"BHLHE40",174,88
"CEBPA",13,34
"CEBPB",185,91
"CEBPD",142,87
"CLOCK",47,6
"CTCF",19,174
"CTCFL",129,2
"DUX4",124,70
"E2F1",10,45
"E2F2",149,12
"E2F3",71,163
"E2F4",115,78
"E2F6",51,72
"E2F7",116,61
"E2F8",188,181
"EBF1",6,141
"EGR1",3,77
"EGR2",133,96
"EHF",138,188
"ELF1",70,47
"ELK1",90,68
"ELK3",42,51
"ELK4",108,150
"EPAS1",84,62
"ESR1",59,54
"ESR2",155,95
"ESRRA",83,23
"ETS2",34,162
"ETV1",163,89
"ETV5",79,28
"ETV6",167,193
"ETV7",172,147
"FOS",107,85
"FOSL1",178,86
"FOSL2",150,36
"FOXA1",111,133
"FOXA2",131,1
"FOXD2",169,44
"FOXG1",2,49
"FOXH1",9,104
"FOXK1",121,119
"FOXM1",132,101
"FOXO3",39,9
"FOXP1",61,140
"FOXP2",30,108
"FOXP3",119,122
"GATA1",77,152
"GATA2",153,137
"GATA3",26,32
"GATA4",102,50
"GLI2",183,55
"GLIS1",82,39
"GMEB1",192,103
"GMEB2",62,97
"GRHL2",68,37
"GTF2B",187,192
"GTF2I",160,76
"HEY1",122,18
"HIF1A",5,138
"HINFP",103,144
"HNF1B",65,149
"HNF4A",15,69
"HNF4G",186,105
"HOXA1",48,173
"HOXA4",154,154
"HOXA6",106,175
"HOXB13",91,66
"HOXC6",110,161
"HSF1",87,48
"HSF2",32,132
"IRF1",114,172
"IRF2",81,143
"IRF3",134,146
"IRF4",38,11
"JUN",190,131
"JUNB",41,71
"JUND",170,194
"KLF1",11,64
"KLF10",139,42
"KLF3",126,189
"KLF4",165,186
"KLF9",58,130
"KMT2A",40,113
"LHX2",136,157
"MAF",145,121
"MAFF",162,15
"MAFK",85,135
"MECOM",120,164
"MEF2A",25,20
"MEF2C",53,153
"MEIS1",1,82
"MITF",14,19
"MNT",98,124
"MXI1",189,57
"MYB",97,110
"MYBL2",27,21
"MYC",54,168
"MYOD1",148,7
"NANOG",35,41
"NFAT5",177,46
"NFATC1",80,40
"NFE2",179,58
"NFIC",101,3
"NFYA",36,128
"NFYB",105,80
"NKX2-1",78,4
"NR2C2",20,16
"NR2F2",184,117
"NRF1",50,30
"ONECUT1",49,53
"OTX2",151,136
"PAX5",16,106
"PBX1",140,25
"PBX3",117,129
"PGR",63,166
"POU2F1",88,59
"POU2F2",141,27
"PPARG",135,93
"PRDM1",157,118
"PRDM14",18,134
"RARG",60,99
"RBPJ",156,182
"RELA",93,165
"REST",175,177
"RFX2",43,63
"RFX5",128,185
"RUNX1",147,8
"RUNX2",164,52
"RUNX3",7,167
"RXRA",75,43
"RXRG",143,94
"SETDB1",24,13
"SIX5",176,125
"SMAD3",109,116
"SOX17",137,56
"SP1",17,26
"SP4",113,107
"SPI1",56,115
"SPIB",159,65
"SREBF1",64,75
"SRF",168,35
"STAT1",194,123
"STAT2",112,169
"STAT3",22,151
"STAT4",94,22
"STAT5A",161,178
"STAT5B",52,156
"TBP",29,84
"TCF12",96,179
"TCF21",74,29
"TCF3",173,191
"TCF4",55,148
"TCF7L2",23,79
"TEAD4",104,155
"TFAP2A",45,10
"TFAP2C",76,160
"TFAP4",158,170
"TFDP1",8,17
"THAP1",33,100
"TP63",100,109
"TP73",118,114
"USF1",193,102
"USF2",69,139
"VDR",21,127
"VEZF1",46,5
"XBP1",182,126
"YY1",12,187
"ZBTB33",99,90
"ZBTB7A",191,180
"ZBTB7B",72,38
"ZEB1",37,142
"ZFP42",146,158
"ZFX",171,184
"ZKSCAN1",123,14
"ZNF143",130,33
"ZNF263",4,24
"ZNF384",31,176
"ZNF76",86,31
