"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",125,135,66
"AR",63,39,23
"ARID3A",152,23,11
"ARNT",114,129,84
"ARNTL",181,128,124
"ASCL1",146,161,185
"ASCL2",163,76,174
"ATF1",94,165,94
"ATF2",117,189,183
"ATF3",161,89,1
"BACH1",77,174,153
"BACH2",69,26,114
"BARX2",18,137,157
"BATF",149,110,126
"BCL11A",12,47,64
"BCL6",138,12,100
"BHLHE40",126,166,55
"CEBPA",38,77,145
"CEBPB",188,82,16
"CEBPD",33,124,149
"CLOCK",44,1,3
"CTCF",28,187,158
"CTCFL",176,9,60
"DUX4",100,86,67
"E2F1",162,8,46
"E2F2",124,2,62
"E2F3",159,178,168
"E2F4",7,44,56
"E2F6",76,98,72
"E2F7",61,5,53
"E2F8",141,179,170
"EBF1",79,32,6
"EGR1",193,184,148
"EGR2",34,101,123
"EHF",174,188,177
"ELF1",171,28,28
"ELK1",15,134,146
"ELK3",109,66,99
"ELK4",17,150,77
"EPAS1",97,55,113
"ESR1",139,116,73
"ESR2",164,57,107
"ESRRA",85,14,19
"ETS2",191,119,97
"ETV1",55,37,14
"ETV5",14,53,112
"ETV6",153,194,193
"ETV7",45,164,139
"FOS",135,58,175
"FOSL1",136,85,166
"FOSL2",58,48,7
"FOXA1",194,156,187
"FOXA2",105,11,106
"FOXD2",66,20,26
"FOXG1",71,30,18
"FOXH1",108,87,50
"FOXK1",156,73,54
"FOXM1",31,154,63
"FOXO3",10,35,34
"FOXP1",35,127,31
"FOXP2",29,54,41
"FOXP3",144,113,85
"GATA1",75,83,45
"GATA2",157,111,152
"GATA3",57,130,65
"GATA4",73,64,134
"GLI2",26,84,70
"GLIS1",64,59,35
"GMEB1",140,65,93
"GMEB2",178,62,58
"GRHL2",134,50,15
"GTF2B",40,192,192
"GTF2I",103,126,169
"HEY1",36,60,109
"HIF1A",49,105,92
"HINFP",180,107,144
"HNF1B",102,90,119
"HNF4A",82,92,32
"HNF4G",24,100,155
"HOXA1",182,153,160
"HOXA4",143,190,190
"HOXA6",132,148,173
"HOXB13",67,102,137
"HOXC6",23,173,138
"HSF1",133,41,42
"HSF2",59,176,132
"IRF1",48,108,150
"IRF2",129,151,96
"IRF3",88,172,182
"IRF4",46,94,44
"JUN",121,143,78
"JUNB",70,43,162
"JUND",128,193,194
"KLF1",1,51,179
"KLF10",80,91,21
"KLF3",170,186,101
"KLF4",5,175,188
"KLF9",16,159,147
"KMT2A",107,36,25
"LHX2",86,167,159
"MAF",123,141,127
"MAFF",93,4,51
"MAFK",99,93,108
"MECOM",50,106,125
"MEF2A",147,33,111
"MEF2C",177,169,81
"MEIS1",187,22,38
"MITF",183,70,20
"MNT",47,118,27
"MXI1",92,96,30
"MYB",53,56,91
"MYBL2",186,40,57
"MYC",113,117,142
"MYOD1",185,27,37
"NANOG",9,68,117
"NFAT5",52,13,40
"NFATC1",116,88,129
"NFE2",148,25,130
"NFIC",150,61,98
"NFYA",189,149,59
"NFYB",78,133,115
"NKX2-1",165,7,4
"NR2C2",32,103,104
"NR2F2",115,152,186
"NRF1",21,24,17
"ONECUT1",56,74,83
"OTX2",145,162,89
"PAX5",68,80,141
"PBX1",120,3,36
"PBX3",169,75,10
"PGR",172,181,131
"POU2F1",122,72,128
"POU2F2",74,19,13
"PPARG",127,79,102
"PRDM1",173,112,184
"PRDM14",155,158,133
"RARG",65,52,68
"RBPJ",89,157,181
"RELA",25,177,88
"REST",98,147,116
"RFX2",30,15,22
"RFX5",112,182,121
"RUNX1",96,42,8
"RUNX2",95,45,103
"RUNX3",119,131,178
"RXRA",151,97,154
"RXRG",19,122,48
"SETDB1",51,78,71
"SIX5",118,168,191
"SMAD3",4,139,39
"SOX17",62,34,49
"SP1",37,16,5
"SP4",22,104,172
"SPI1",130,121,163
"SPIB",11,67,29
"SREBF1",158,69,110
"SRF",90,144,82
"STAT1",83,155,118
"STAT2",166,170,165
"STAT3",179,145,90
"STAT4",106,38,87
"STAT5A",27,180,52
"STAT5B",72,99,95
"TBP",84,115,9
"TCF12",110,109,171
"TCF21",39,49,80
"TCF3",8,191,161
"TCF4",41,125,76
"TCF7L2",154,120,86
"TEAD4",101,136,122
"TFAP2A",43,21,2
"TFAP2C",20,17,43
"TFAP4",3,95,69
"TFDP1",54,6,12
"THAP1",142,63,24
"TP63",91,114,33
"TP73",131,146,136
"USF1",168,138,156
"USF2",2,81,151
"VDR",81,71,140
"VEZF1",6,29,143
"XBP1",87,160,120
"YY1",190,183,79
"ZBTB33",137,123,176
"ZBTB7A",192,142,189
"ZBTB7B",160,140,75
"ZEB1",184,132,47
"ZFP42",175,171,61
"ZFX",104,185,167
"ZKSCAN1",167,18,105
"ZNF143",13,46,74
"ZNF263",60,31,180
"ZNF384",42,163,164
"ZNF76",111,10,135
