"","ND251_34","ND251_LMPP","ND251_MPP"
"AHR",156,36,59
"AR",2,115,2
"ARID3A",19,96,121
"ARNT",112,167,113
"ARNTL",116,26,143
"ASCL1",100,77,156
"ASCL2",31,7,168
"ATF1",173,138,172
"ATF2",184,145,185
"ATF3",95,93,85
"BACH1",139,137,130
"BACH2",14,23,30
"BARX2",145,20,181
"BATF",164,106,151
"BCL11A",72,123,104
"BCL6",90,73,66
"BHLHE40",94,174,119
"CEBPA",22,152,53
"CEBPB",151,10,83
"CEBPD",108,68,71
"CLOCK",13,53,48
"CTCF",133,147,61
"CTCFL",37,52,90
"DUX4",38,144,40
"E2F1",4,28,44
"E2F2",27,8,43
"E2F3",185,129,186
"E2F4",83,94,23
"E2F6",158,3,67
"E2F7",58,62,110
"E2F8",149,193,116
"EBF1",111,83,52
"EGR1",189,60,42
"EGR2",75,89,177
"EHF",190,161,183
"ELF1",126,30,111
"ELK1",46,38,124
"ELK3",23,61,94
"ELK4",128,54,146
"EPAS1",69,37,46
"ESR1",1,148,25
"ESR2",144,117,62
"ESRRA",8,125,13
"ETS2",109,155,170
"ETV1",18,184,106
"ETV5",10,150,45
"ETV6",193,190,193
"ETV7",135,87,182
"FOS",105,12,167
"FOSL1",84,172,96
"FOSL2",39,180,16
"FOXA1",178,178,92
"FOXA2",59,98,17
"FOXD2",35,19,68
"FOXG1",97,121,82
"FOXH1",115,57,22
"FOXK1",103,27,79
"FOXM1",179,158,187
"FOXO3",48,82,31
"FOXP1",5,2,57
"FOXP2",66,88,123
"FOXP3",125,100,137
"GATA1",29,24,69
"GATA2",57,173,178
"GATA3",113,66,9
"GATA4",122,122,26
"GLI2",64,41,28
"GLIS1",74,153,149
"GMEB1",117,76,112
"GMEB2",118,84,76
"GRHL2",70,18,37
"GTF2B",192,21,192
"GTF2I",154,91,86
"HEY1",25,44,135
"HIF1A",187,25,169
"HINFP",157,157,189
"HNF1B",88,97,191
"HNF4A",73,139,155
"HNF4G",63,128,72
"HOXA1",181,99,139
"HOXA4",168,109,188
"HOXA6",80,58,165
"HOXB13",81,85,190
"HOXC6",102,177,134
"HSF1",107,135,1
"HSF2",182,181,174
"IRF1",170,192,158
"IRF2",163,191,98
"IRF3",146,183,162
"IRF4",86,142,163
"JUN",124,5,150
"JUNB",119,11,184
"JUND",194,188,194
"KLF1",121,110,5
"KLF10",21,29,171
"KLF3",188,182,175
"KLF4",175,170,120
"KLF9",171,127,105
"KMT2A",7,42,10
"LHX2",127,146,93
"MAF",52,112,141
"MAFF",98,81,11
"MAFK",166,151,56
"MECOM",162,107,41
"MEF2A",56,32,77
"MEF2C",143,166,125
"MEIS1",61,134,15
"MITF",47,13,38
"MNT",40,130,27
"MXI1",65,80,47
"MYB",136,9,24
"MYBL2",50,16,19
"MYC",147,95,29
"MYOD1",67,71,3
"NANOG",169,136,50
"NFAT5",33,6,4
"NFATC1",92,49,154
"NFE2",51,35,36
"NFIC",89,72,138
"NFYA",87,116,108
"NFYB",104,187,101
"NKX2-1",36,69,39
"NR2C2",110,50,58
"NR2F2",155,111,65
"NRF1",41,63,55
"ONECUT1",26,51,160
"OTX2",137,133,21
"PAX5",53,113,6
"PBX1",6,56,18
"PBX3",78,189,179
"PGR",160,119,95
"POU2F1",44,90,136
"POU2F2",62,120,88
"PPARG",42,118,166
"PRDM1",114,39,91
"PRDM14",167,108,173
"RARG",32,17,33
"RBPJ",174,186,148
"RELA",183,65,89
"REST",153,165,180
"RFX2",9,132,81
"RFX5",172,160,126
"RUNX1",24,59,70
"RUNX2",99,47,35
"RUNX3",132,43,132
"RXRA",71,45,78
"RXRG",177,163,129
"SETDB1",45,74,84
"SIX5",180,92,157
"SMAD3",101,34,131
"SOX17",79,126,8
"SP1",93,1,118
"SP4",77,70,144
"SPI1",165,175,140
"SPIB",54,31,145
"SREBF1",150,164,99
"SRF",28,162,115
"STAT1",140,101,164
"STAT2",82,40,142
"STAT3",176,131,159
"STAT4",34,4,100
"STAT5A",161,114,152
"STAT5B",148,75,32
"TBP",17,149,74
"TCF12",131,102,109
"TCF21",96,104,51
"TCF3",191,79,128
"TCF4",138,176,34
"TCF7L2",130,64,176
"TEAD4",123,105,63
"TFAP2A",20,55,114
"TFAP2C",85,14,117
"TFAP4",15,67,161
"TFDP1",3,86,64
"THAP1",12,22,133
"TP63",141,103,20
"TP73",49,168,73
"USF1",55,143,102
"USF2",142,46,75
"VDR",30,156,97
"VEZF1",16,15,7
"XBP1",120,141,103
"YY1",106,140,80
"ZBTB33",159,78,153
"ZBTB7A",186,194,60
"ZBTB7B",76,124,147
"ZEB1",134,169,122
"ZFP42",129,179,107
"ZFX",60,154,127
"ZKSCAN1",43,33,14
"ZNF143",91,159,49
"ZNF263",68,171,54
"ZNF384",152,185,87
"ZNF76",11,48,12
