"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",62,79,175
"AR",7,14,14
"ARID3A",15,32,84
"ARNT",42,75,79
"ARNTL",68,46,70
"ASCL1",150,184,185
"ASCL2",61,93,146
"ATF1",170,161,81
"ATF2",140,178,183
"ATF3",25,20,13
"BACH1",173,147,124
"BACH2",11,33,28
"BARX2",84,122,92
"BATF",94,111,147
"BCL11A",113,2,112
"BCL6",65,51,151
"BHLHE40",37,90,19
"CEBPA",122,99,58
"CEBPB",137,138,35
"CEBPD",100,60,159
"CLOCK",57,5,21
"CTCF",174,137,157
"CTCFL",67,71,43
"DUX4",74,56,36
"E2F1",8,77,166
"E2F2",1,15,3
"E2F3",127,170,128
"E2F4",53,69,25
"E2F6",29,61,158
"E2F7",21,30,23
"E2F8",146,185,143
"EBF1",91,128,98
"EGR1",40,135,174
"EGR2",106,102,63
"EHF",192,177,184
"ELF1",6,22,24
"ELK1",47,131,114
"ELK3",177,31,83
"ELK4",118,48,171
"EPAS1",92,94,108
"ESR1",87,10,52
"ESR2",51,103,78
"ESRRA",83,13,57
"ETS2",142,172,167
"ETV1",23,153,126
"ETV5",154,55,88
"ETV6",187,193,193
"ETV7",70,145,93
"FOS",43,155,172
"FOSL1",18,171,105
"FOSL2",80,6,8
"FOXA1",189,176,189
"FOXA2",4,1,2
"FOXD2",35,35,127
"FOXG1",130,34,87
"FOXH1",132,139,133
"FOXK1",82,104,99
"FOXM1",166,112,69
"FOXO3",20,41,31
"FOXP1",129,119,125
"FOXP2",66,57,138
"FOXP3",139,120,55
"GATA1",60,98,139
"GATA2",120,140,54
"GATA3",54,96,16
"GATA4",96,29,72
"GLI2",111,26,65
"GLIS1",14,16,56
"GMEB1",90,45,152
"GMEB2",147,106,74
"GRHL2",45,50,46
"GTF2B",183,192,192
"GTF2I",148,81,122
"HEY1",75,65,22
"HIF1A",176,126,121
"HINFP",50,107,59
"HNF1B",184,83,71
"HNF4A",117,66,86
"HNF4G",86,87,42
"HOXA1",152,158,106
"HOXA4",175,189,190
"HOXA6",169,180,165
"HOXB13",99,73,85
"HOXC6",126,173,155
"HSF1",33,72,53
"HSF2",161,154,141
"IRF1",144,169,9
"IRF2",124,148,150
"IRF3",180,179,123
"IRF4",3,68,95
"JUN",178,146,76
"JUNB",133,67,39
"JUND",194,194,194
"KLF1",164,127,6
"KLF10",48,63,33
"KLF3",160,188,187
"KLF4",190,190,181
"KLF9",16,121,27
"KMT2A",138,58,144
"LHX2",143,100,162
"MAF",149,156,182
"MAFF",36,19,60
"MAFK",104,89,97
"MECOM",107,167,134
"MEF2A",34,39,37
"MEF2C",167,186,136
"MEIS1",32,28,113
"MITF",112,78,91
"MNT",76,116,62
"MXI1",185,97,80
"MYB",156,125,51
"MYBL2",135,42,82
"MYC",64,117,68
"MYOD1",30,3,11
"NANOG",73,95,103
"NFAT5",59,54,77
"NFATC1",141,113,94
"NFE2",26,132,49
"NFIC",78,76,115
"NFYA",56,88,145
"NFYB",39,85,132
"NKX2-1",49,11,41
"NR2C2",24,80,140
"NR2F2",165,149,186
"NRF1",110,23,168
"ONECUT1",114,40,17
"OTX2",58,133,148
"PAX5",9,25,119
"PBX1",72,7,20
"PBX3",46,82,111
"PGR",89,174,173
"POU2F1",168,74,153
"POU2F2",13,37,30
"PPARG",125,91,101
"PRDM1",103,130,131
"PRDM14",22,129,96
"RARG",81,105,89
"RBPJ",179,165,120
"RELA",71,152,178
"REST",151,134,164
"RFX2",52,27,4
"RFX5",55,150,135
"RUNX1",17,12,47
"RUNX2",10,53,34
"RUNX3",121,175,29
"RXRA",31,101,109
"RXRG",98,157,102
"SETDB1",101,141,67
"SIX5",163,187,176
"SMAD3",105,108,149
"SOX17",77,36,100
"SP1",116,92,40
"SP4",157,160,169
"SPI1",38,43,18
"SPIB",136,62,75
"SREBF1",88,49,177
"SRF",108,142,38
"STAT1",145,64,170
"STAT2",123,114,110
"STAT3",128,163,104
"STAT4",5,17,10
"STAT5A",186,151,118
"STAT5B",162,109,90
"TBP",19,59,15
"TCF12",188,162,154
"TCF21",63,70,26
"TCF3",193,191,191
"TCF4",119,166,12
"TCF7L2",95,44,142
"TEAD4",102,136,44
"TFAP2A",28,4,1
"TFAP2C",79,47,64
"TFAP4",115,124,61
"TFDP1",27,24,50
"THAP1",69,115,66
"TP63",109,86,117
"TP73",182,123,129
"USF1",97,52,116
"USF2",172,118,73
"VDR",131,144,48
"VEZF1",2,9,5
"XBP1",159,182,180
"YY1",181,181,156
"ZBTB33",134,110,179
"ZBTB7A",85,143,163
"ZBTB7B",171,84,130
"ZEB1",191,159,161
"ZFP42",155,164,137
"ZFX",93,183,160
"ZKSCAN1",41,38,45
"ZNF143",44,18,32
"ZNF263",153,21,188
"ZNF384",158,168,107
"ZNF76",12,8,7
