"","ND251_34","ND251_HSC","ND251_MPP"
"BATF",0.325354329116654,0.403779953474386,0.371306926816086
"CEBPA",0.353641350865015,0.522847056575673,0.36260716668055
"ETV4",-0.30000303277418,-0.610530542713836,-0.38249986389971
"ETV5",-0.502071047789782,-0.628537150828008,0.485271652900314
"FOXA1",0.439310481941515,0.491404653044347,0.518507015887987
"GLI2",-0.398467438114558,-0.356989902418472,-0.498817567235183
"HEY1",-0.45874550980934,-0.392386520244483,-0.401483640745082
"HOXA1",-0.325377243410456,-0.420016250615373,-0.459324706433313
"KLF10",-0.449340877078293,-0.496706282722972,-0.495534024744673
"MYB",0.453143975899555,0.396142769946545,0.414632978510584
"ONECUT1",0.328635790779019,0.6255484425669,0.476327978087525
"PAX6",-0.403133192702471,-0.479751807147031,-0.321924330206197
"REST",0.411143086285795,0.48824507172874,0.551281851567384
"SMAD3",-0.460995154300811,-0.405946898715485,-0.57936016137887
"SPIB",0.394426771982558,0.81831628234686,0.523238796650424
"TP63",0.443490318710869,0.632744549960948,0.672784484042159
"ZNF250",0.359414068028495,-0.542968939162903,-0.34132772228457
