"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AR",0.662421309486757,0.43332354742792,-0.32888019456983,0.395331227078822
"BCL6",0.333632534758678,0.565961644256208,-0.543550239061156,0.762661906957446
"E2F2",-0.821646362477894,-0.498394647755698,-0.414885107400675,-0.667393285123933
"EGR2",-0.872705755272647,-0.753229939183422,0.397449216195741,-0.595220750553612
"ETV5",-0.312333985407118,-0.343824889840456,-0.536944446133108,-0.40102451238552
"ETV7",0.888583464526843,0.516263157587325,0.475706194096263,0.466559276045155
"FOXD2",-0.588405558804273,-0.588122999091438,-0.50873920888545,-0.697706555478879
"FOXG1",0.905985677003774,0.562317776067024,-0.396145068235697,0.712776840221743
"FOXM1",-0.835311567502604,-0.385132192582454,0.345161793325657,-0.448782008430693
"FOXP2",-0.807412266791341,0.371283382789778,-0.345522256581694,-0.541658730873933
"HOXA4",-0.661540038523871,-0.396127477285367,0.438380021426187,-0.559207556080875
"HSF2",-0.797373239272256,-0.499519941429271,0.319483849019203,-0.404756227872614
"IRF3",-0.77347828458719,-0.536983096492392,0.33105107440394,-0.831283870743356
"JUN",0.842682395905044,0.691681504534561,-0.42397364163154,0.65369065665344
"KLF3",-0.761363151927248,-0.35779566921697,0.349147139886785,-0.612046924346594
"MAX",0.935397105837004,0.335938327950409,0.314149802859644,0.771667806031589
"MEF2A",-0.771101173318792,-0.581050769671772,-0.313765038709942,-0.816124864561922
"MEF2C",0.819819761206963,0.514693018242952,0.315425599777079,0.849056488130694
"PAX6",-0.708743950475211,-0.663104116705861,0.370013507247488,-0.599861034758871
"REST",0.67488503781617,0.470679891974744,0.306681328206474,0.334844652086676
"RFX5",-0.739893989973166,-0.434121522176514,-0.320808247723968,-0.632301722836351
"SOX17",-0.511238889081745,0.398315988674366,-0.523591105063962,-0.476447463935487
"SP1",-0.883016034081392,-0.477141633432936,0.356129596666648,0.399134256246366
"SP2",0.89350693476534,0.316723180561489,-0.361880808167462,0.672414551423856
"SPIB",0.84150639735839,0.425681905126549,-0.484077851963999,0.542064371409799
"STAT4",0.827455653348678,0.33975285128049,-0.447914072040918,0.753029665120592
"ZBTB33",-0.526532147804746,-0.45532289176455,0.348746175141306,-0.67303141017072
