"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"ARID3A",0.314139338880159,0.795171766731575,-0.341944541944542,0.566184539352122
"ATF3",0.304595903621955,0.453345651314566,-0.326798876798877,-0.585775001885069
"CDX2",0.762642488312443,0.647099474723259,-0.376377676377676,0.398840081225806
"E2F2",-0.520226983464505,-0.47537579536133,-0.407230607230607,-0.333970547905497
"FOS",-0.81108636402895,-0.648175247103216,0.445928395928396,-0.639024187864025
"HEY1",0.51270101078432,0.340789063651825,-0.626588276588277,0.314540142616316
"HOXA6",0.640766644955162,-0.428628860940319,0.428588978588979,0.30018995525185
"JUNB",-0.690555648648645,-0.435775341839419,0.391549666549667,-0.605584818915767
"KMT2A",0.633112674080715,0.720275635734301,-0.412285012285012,0.455459588102911
"MAF",0.476677547660129,0.450487247994184,0.537636012636013,0.632012955115172
"MEF2C",0.807342072765618,0.78961321560334,0.521744471744472,0.47742576967489
"NR2C2",0.859084769327434,-0.514299386405105,-0.403044928044928,0.310277692768654
"POU2F2",0.512480340062313,0.733546914473697,-0.443787293787294,0.310577302598265
"PPARG",-0.360729764041761,-0.664166355973255,-0.339197964197964,-0.81823157300709
"RUNX2",0.509012460670102,0.617767272321028,-0.353799578799579,0.314688461321272
"STAT5A",0.436220713388083,0.660677071194363,0.384819234819235,0.370353015395238
"TBP",-0.794454397948012,-0.727053888544555,-0.397270972270972,-0.363524107847891
"TEAD4",0.727002790383593,0.445662048722488,0.512723762723763,0.445158189027778
"VEZF1",-0.801594082170962,-0.320608881881358,0.341128466128466,-0.448561659962565
