"","ND251_34","ND251_LMPP"
"AHR",-0.620698314321588,-0.385879460621623
"ARID3A",-0.584716693826303,0.362931175672308
"ARNTL",-0.625488205593995,-0.44094490041594
"BARX2",0.491969652445703,0.403453327969852
"BCL11A",-0.751828600432773,-0.434753502575962
"CEBPD",0.486306200411402,0.387706926582995
"CLOCK",-0.623789169983704,-0.420213134486827
"CTCFL",0.611276146715465,-0.315576382844533
"E2F1",-0.437536398365079,-0.38018382282647
"E2F3",-0.489084497635776,0.480830270678131
"E2F6",0.439128576389817,0.399428127853776
"E2F8",0.575011353618465,0.408845059301294
"EGR2",-0.361595383752304,-0.372406484908186
"EHF",0.499788956268533,0.45102082358887
"ELK1",-0.35591590308017,-0.495798450719586
"ELK3",-0.576416530868485,-0.425433243546137
"EPAS1",0.52685865412871,0.359962884341235
"ESR1",-0.423123981513638,-0.521295866578214
"ESRRA",-0.352020944086768,-0.376736152689755
"ETV1",0.42128335960249,0.431718282826452
"FOXM1",-0.539051104640291,-0.348395229219154
"GTF2I",0.34721235273689,-0.395086966257339
"HES1",0.363251676328373,0.40868024339167
"HEY1",0.564699596612615,-0.342329477477329
"HNF1B",0.585082681056822,0.338314629263099
"HNF4G",0.543274650709267,-0.360779738378315
"HOXC6",0.554099324125771,0.33016585288878
"HSF1",-0.429073277589293,-0.486405923471429
"HSF2",-0.490222530921914,-0.300338495201651
"IRF2",0.379582186840488,0.405387184193346
"IRF3",-0.314919990382817,-0.310126260007142
"JUN",0.328814147944327,-0.409662465090261
"JUNB",-0.617767745037801,-0.477794264148721
"KLF1",-0.570953436807095,-0.39295805202409
"KMT2A",0.41711324232629,0.331667619101398
"LHX2",0.455491144177597,0.424071146769834
"MAFK",-0.542871263323805,-0.384007583815522
"MAX",0.670891993695403,0.389175614812716
"MEF2A",-0.588972297170945,-0.429881267289735
"MITF",-0.636545294259076,-0.547643090388853
"MNT",-0.512128335960249,0.344391153274644
"MYC",0.364790425560335,0.325611455344166
"NFYB",0.411981406780114,-0.345370867702918
"NR2C2",-0.557825982421927,-0.403812542225649
"ONECUT1",-0.48329548793845,-0.369539857063123
"POU2F1",0.577960622979724,-0.338303641779659
"PRDM1",0.429503379371143,0.385440066757034
"RUNX1",-0.425669863489435,-0.367991581824428
"SMAD3",0.621721475703257,0.51326353240993
"SREBF1",0.584372078112895,0.408689276880857
"STAT1",0.592666898191435,0.458847446058609
"STAT3",0.408861165281971,0.482327447900191
"TCF3",0.688633024336815,0.358798542757394
"TFDP1",-0.57663291747923,-0.343716400040208
"TP73",0.423230839099191,0.417826179308632
"USF2",0.399839713621671,0.470066173287151
"VEZF1",0.38778350653167,-0.458203795474347
"ZBTB33",0.503822830123153,0.377545939425312
"ZFX",0.412569123500655,0.486578530056735
"ZKSCAN1",-0.383447759997863,-0.413170635583508
