"","ND251_34","ND251_LMPP"
"BARX2",0.310275574623469,0.351958669731006
"HES1",0.383062274573499,0.34009228109586
"MAX",0.356881903718025,0.417165403100917
"NFATC1",0.345294177638305,0.333795833052319
"ONECUT1",-0.423641381343612,-0.405516819328708
"POU2F2",-0.309941249000857,-0.421661850402011
"PRDM14",-0.364138107031188,-0.368529599376717
"SRF",0.404798789253219,0.372349458337444
"STAT5B",-0.408142045479335,-0.373972943052486
"TFDP1",-0.35887448442879,-0.336427277825413
"USF2",0.324623493043471,0.33502082157713
"VDR",-0.405622567587334,-0.305426811899896
"ZNF76",0.36857260208951,-0.35524894154166
