"","ND251_34","ND251_LMPP"
"ARID3A",-0.400957556935818,-0.382261348737006
"ATF2",0.32849666436623,0.36751479368551
"CEBPB",-0.380998389694042,0.386146371707485
"CLOCK",-0.413146997929607,-0.461596839175695
"CTCF",0.369956291695422,0.324259244760389
"E2F1",-0.454566367609846,-0.523660426043488
"E2F2",-0.462229698642742,-0.419231816594999
"E2F6",0.340096618357488,-0.470570784889184
"ETV4",0.409391534391534,-0.425491195696704
"ETV6",0.322061191626409,0.406212593428602
"FOSL2",0.406947319990798,-0.30658446813216
"HES1",0.438756613756614,0.540420119304933
"HSF2",-0.399145962732919,0.492360004185413
"JUN",0.376938118242466,0.447046518776877
"KLF1",-0.480733839429492,-0.300755474982837
"KLF4",0.311292270531401,0.315378951353416
"KLF5",-0.510182309638831,-0.482453895060846
"MAFK",-0.36685070163331,0.405361087607443
"MYBL2",-0.401371635610766,-0.360134711034947
"NFAT5",0.376084080975385,-0.322383694961776
"PBX1",-0.334434667586841,-0.421803470892323
"PBX3",0.423027375201288,0.479501826565818
"POU2F2",-0.329436968023925,-0.316398977352764
"RBPJ",-0.379393834828617,0.398180144794055
"RELA",-0.332459167241776,0.363657132484166
"SETDB1",-0.344165516448125,-0.492768608294101
"SP4",-0.365157004830918,0.537730198419848
"STAT3",0.402194041867955,0.374503438394678
"TBP",-0.319884403036577,-0.417059975993918
"TBX21",-0.407600069013113,0.332282539717097
"TCF3",0.42696399815965,0.386077898996386
"TCF7L2",0.361881757533931,0.401658639994492
"TEAD4",0.373343685300207,0.536549613808903
"TFDP1",-0.375218541522889,-0.502433896866672
"YY1",0.435182309638831,0.311445845232849
"ZNF263",0.419648608235565,-0.430826540975901
