"","ND251_34","ND251_LMPP"
"AHR",-0.485688405797101,0.665219242291941
"AR",0.525250172532781,0.461760649511935
"ARNT",-0.690939153439153,0.697137209358405
"ARNTL",0.665527950310559,0.541311891590584
"ASCL1",-0.574936737980216,0.510011775199896
"ASCL2",-0.354925810904072,-0.908134005049294
"ATF1",0.728787094547964,0.477166407886425
"BARX2",-0.645163331032896,0.534031306026142
"BATF",0.802723142397055,0.720316696231356
"BCL11A",-0.750678628939498,-0.6998908080092
"BCL6",0.749304117782379,0.450655766887979
"BHLHE40",-0.769806763285024,-0.425575311598339
"CEBPA",0.791988727858293,0.572567350421683
"CEBPB",-0.708925695882218,0.702351065565691
"CEBPD",0.426854727398206,0.674802994510344
"CTCF",0.471302047389004,0.399849199792217
"DUX4",0.748182654704394,0.432466765584387
"E2F1",-0.410366344605475,-0.305759140943964
"E2F2",-0.758626639061422,-0.661156911916459
"E2F4",-0.796267540832758,-0.430739537265285
"EGR1",-0.672095698182655,-0.371023690580694
"EGR2",-0.500491718426501,0.510789458007412
"ELF1",0.596043248217161,-0.596200248480306
"ELK3",0.351173222912353,-0.339588416406586
"ELK4",-0.326860478490913,0.60861338620567
"ESR1",-0.448082010582011,-0.527836989268225
"ESR2",0.485334713595583,-0.407575591690542
"ESRRA",-0.801774212100299,-0.548498881109284
"ETV5",-0.717011732229124,-0.80406840988188
"ETV7",0.372923855532551,0.737312886881009
"FOS",-0.404451345755694,-0.874055698030133
"FOSL1",-0.713543823326432,-0.40338415695236
"FOXA1",0.832459167241776,0.675917965847654
"FOXG1",-0.359670462387854,0.763115503646317
"FOXM1",-0.338440303657695,0.42913940731391
"FOXP1",-0.447092822636301,0.665013994133633
"FOXP3",-0.759598573729009,-0.323825196439615
"GATA1",-0.640550954681389,0.38653556087948
"GATA2",-0.499160340464688,0.698569924150952
"GATA4",0.740243271221532,0.705951134957138
"GLIS1",0.691796066252588,0.525681824116083
"GMEB2",0.691341729928686,0.300251207938789
"GRHL2",-0.561835748792271,-0.595024048534857
"HES1",0.793668046928916,0.523084807124827
"HIF1A",0.543742811134115,0.461887097362808
"HOXA1",0.662083045778698,0.420410268326515
"HOXA6",0.497101449275362,0.408746035547468
"HOXB13",0.667621348056131,0.50147024860546
"HOXC6",-0.404189671037497,0.629604791820621
"HSF1",0.829695767195767,0.501273887089364
"IKZF1",0.708350586611456,-0.387231634329511
"IRF1",0.743739935587762,0.408818923004021
"IRF2",-0.403951000690131,0.72642508797344
"IRF3",0.537315965033356,-0.456700753184141
"JUN",0.520542903151599,0.615406794019319
"KLF5",-0.726489533011272,-0.455969028735246
"KMT2A",0.796060501495284,0.80224628119789
"MAF",0.612344720496894,0.85331986504541
"MAFF",0.726121463077985,0.333045285330727
"MAFK",-0.67040775247297,0.889930170224851
"MAX",0.672785829307568,0.56542065610406
"MEF2A",-0.746368184955141,-0.751433610695804
"MEIS1",-0.512479871175523,0.476887166252107
"MNT",0.702240050609616,0.408542442546219
"MYBL2",-0.680420404876927,-0.369231228938407
"NFATC1",0.669786634460548,0.62027709143714
"NKX2-1",-0.723194156889809,-0.595467821416887
"NR2C2",0.304201173222912,0.63213603878882
"NRF1",-0.74182769726248,-0.492314740643286
"OTX2",0.779442719116632,0.720701783669439
"PAX5",-0.688759489302968,-0.627367232325829
"PAX6",-0.680095468138946,-0.892611024805023
"PBX1",-0.737267080745342,-0.596254353788093
"PGR",-0.566833448355187,-0.576473488462107
"POU2F1",0.614291465378422,0.519147610424755
"PPARG",-0.667293535771797,-0.785859143757993
"RARA",0.680187485622268,0.727709504870667
"RARG",0.747736945019554,0.767840035303324
"REST",-0.602038762364849,0.380618097946002
"RFX2",-0.82389003910743,-0.782018488030069
"RFX5",0.703974005060962,0.554028755447165
"RUNX2",0.539998849781459,0.595714411423158
"RXRA",0.492730618817575,0.770718404353885
"SETDB1",-0.721695997239476,-0.582239990652236
"SIX5",-0.62344432942259,-0.434974844812565
"SMAD3",-0.802271681619508,-0.663475482114878
"SOX17",0.524269611226133,-0.354465125287999
"SP1",-0.725511847250978,-0.623557329946432
"SP4",-0.753347135955832,0.551718816800115
"SPIB",-0.317569588221762,0.80646346790827
"SRF",-0.596046123763515,-0.671745347755344
"STAT2",0.793921095008052,0.62601763490711
"STAT3",0.781156544743501,0.348361049204262
"STAT4",0.412120427881297,0.55988400202884
"STAT5B",-0.726069703243616,-0.442116567557481
"TAL1",0.689576144467449,-0.766186439766002
"TBP",-0.821690246146768,-0.863844878307157
"TCF21",-0.658278697952611,-0.589020890566253
"TCF3",0.480092592592593,0.308912333417875
"TCF4",0.738819875776398,0.894881978671671
"TCF7L2",0.803651943869335,0.88736501612169
"TFAP2C",-0.645396250287555,-0.562136740484891
"TFDP1",-0.777240050609616,-0.683803281453931
"THAP1",0.62586841499885,-0.429321236396139
"TP73",0.607620197837589,0.511642881674953
"USF1",-0.751308373590982,-0.599129839866235
"USF2",-0.615237520128824,-0.67476361805872
"VDR",0.810254198297677,0.606005223129104
"ZBTB7A",0.343308603634691,0.33440592769018
"ZBTB7B",-0.496888658845181,-0.411385892077365
"ZFP42",-0.542328042328042,-0.481489017048333
"ZFX",0.577228548424201,0.359043347913443
"ZNF143",-0.509472049689441,0.343026960961363
"ZNF250",0.721164021164021,0.717375325843827
