"","ND251_34","ND251_MPP"
"AHR",0.345243612469198,-0.303012919045798
"AR",0.399095018931104,-0.348171060295481
"ATF1",0.539273808465001,0.406029930944371
"ATF3",-0.348563038022695,-0.377634246730164
"DUX4",0.38781834589527,0.339652572884085
"E2F2",-0.387955860854565,-0.34207333539322
"E2F4",-0.467075234568142,-0.37662839223567
"E2F6",-0.638639414302968,-0.385869757173799
"E2F8",0.326675362556213,0.322353062181622
"EGR1",0.386903343738568,0.315296599261152
"ELK1",-0.578069670345588,-0.368474066748469
"ELK4",-0.569574606416834,-0.329432469180558
"ETV7",0.407061576491835,-0.310260165455097
"FOXG1",0.483434062589329,-0.371361312501428
"FOXO3",-0.526576615145957,-0.414167940642439
"GATA3",0.512422490209711,-0.356607829706195
"GATA4",0.377045118536986,-0.320966984908005
"GATA6",-0.381574089069807,-0.386841033319736
"GLI2",0.566460863451424,-0.41350471771972
"GMEB2",-0.549741142357141,-0.369557815230568
"GRHL2",-0.355116057859013,-0.367806162306709
"HES1",0.532011819782198,-0.409360043763418
"HOXA1",-0.518306523522511,-0.356078655823731
"IRF2",0.696791853796187,0.397893728961576
"IRF4",-0.601679678431168,0.350497798434574
"JUNB",-0.574839041258967,-0.389730851590583
"KLF5",-0.472008651485999,-0.326617902851915
"MAF",0.300457926727483,0.350776093883294
"MEIS1",-0.3046320302311,-0.360388156331607
"MNT",-0.360889773119607,-0.388593937738784
"NFATC1",0.463984766798717,0.390071814502106
"NFE2",0.574497501670753,-0.342679777515693
"NKX2-1",-0.570348777695909,-0.308485962441997
"NR2C2",-0.590958166645334,-0.390231449666228
"NRF1",0.419605121633544,-0.376623618013281
"POU2F2",0.507619860762995,0.390416624602543
"PPARG",0.699779528097314,0.34489758922166
"PRDM1",-0.302553236391292,0.375375321089651
"PRDM14",0.595805497221874,0.399574533352229
"RBPJ",0.600415452683192,0.369566668400239
"RELA",-0.423245968078451,0.310664259346159
"RXRA",0.638995811756018,0.351683265664543
"RXRG",-0.635825474992149,0.38326066781454
"SP4",0.415130513031073,0.362559500484719
"SPDEF",-0.363099577617366,-0.350335706631747
"SRF",0.33587904460932,0.353113492907332
"STAT1",0.446275658572069,0.403428512787104
"T",-0.396141364676711,-0.340737688740557
"TBX21",0.516590280714965,0.383799714603495
"TCF21",-0.675294882783961,-0.378267433768345
"TCF7L2",0.454879191290881,0.37351082501624
"USF1",-0.579133155499145,-0.33390626319576
"VEZF1",0.718612094961971,-0.318161063166502
"XBP1",-0.602894866848422,0.333424066734562
"ZBTB33",-0.459278362751295,0.370783793823325
"ZBTB7B",-0.499364180630761,-0.409099755939919
"ZKSCAN1",-0.351157138324856,-0.391061330031631
"ZNF143",-0.472975496750472,-0.343785937032011
"ZNF76",-0.456066959614235,-0.369034667065681
