"","ND251_34","ND251_MPP"
"ASCL1",-0.753851448251715,-0.669107388761677
"ASCL2",-0.300075208643359,0.711678885228265
"ATF1",0.615334801533541,0.756515974823884
"ATF2",0.651830144354976,0.730824723717222
"ATF3",-0.619094109863904,-0.694174604822688
"BACH2",-0.588478936515914,-0.427511905528121
"BARX2",0.566242931323315,0.343288480956354
"BATF",0.639295768261787,0.490420485270432
"BCL6",0.601366194208451,0.432820307079519
"CEBPB",-0.370030717110571,-0.331203864703753
"CEBPD",0.552073233146473,0.669720619812259
"CLOCK",-0.661252523123148,-0.43741188906109
"CTCFL",0.779782601483886,-0.365836256373292
"CUX1",0.30748862411158,-0.400842498730568
"DUX4",0.758483999824126,0.751223663342396
"E2F2",-0.742189167403324,-0.58477766307963
"E2F4",-0.727829954013675,-0.65550673551862
"E2F6",-0.682750366083533,-0.721520119139979
"E2F7",-0.616266847745877,-0.686929019133998
"E2F8",0.622813270179304,0.545933081221024
"EBF1",-0.601139464751433,-0.701504790893366
"EGR1",0.780040199311423,0.535995469181624
"EHF",0.513104147582609,0.380700049657855
"ELF2",-0.406258130129213,-0.79163723567802
"ELK1",-0.818267774317759,-0.780315808072794
"ELK3",-0.774675703825239,-0.450732496260292
"ELK4",-0.684959654903734,-0.723501191609172
"ESR1",0.336486364999741,-0.606088241953951
"ETS2",-0.373878644450927,0.542918094245187
"ETV5",-0.811029109542147,-0.399674809435197
"ETV7",0.396903291865959,-0.67624549092861
"FOSL2",0.487638124569855,-0.318971238355617
"FOXG1",0.614158933460678,-0.661226453972414
"FOXH1",0.772812599953756,0.535568433161939
"FOXM1",-0.742300363692581,0.340441234118551
"FOXO3",-0.818818270888292,-0.805503096860117
"FOXP2",-0.35170517321968,0.30934494830288
"FOXP3",-0.422096187199479,0.324605382676795
"GATA1",-0.780916025547286,-0.410927587621112
"GATA3",0.580974606043198,-0.673222992162211
"GATA6",-0.694651047694324,-0.708791227739377
"GLIS1",0.681267631967788,-0.415836473200349
"GMEB1",-0.542469438923875,-0.685157465341709
"GMEB2",-0.648858107028109,-0.663212302456594
"GRHL2",-0.766683602076217,-0.647152766584743
"GTF2I",0.656864941408515,0.717706563910599
"HEY1",-0.831157455560047,-0.497284476635435
"HNF1B",0.730056367126199,0.562715209612856
"HNF4A",0.547804979368291,0.596277866663345
"HNF4G",0.54073385841366,0.686778087786576
"HOXA6",0.316714631572253,0.419886881677849
"HOXB13",-0.714330654342441,-0.550400950503695
"HSF1",0.603294446923912,0.54972818155754
"IKZF1",-0.768958454294959,-0.42566548886013
"IRF1",0.673401905582783,0.352550402797714
"IRF2",0.737724446651205,0.73161642934729
"IRF3",0.627941820341652,0.77966230547836
"JUNB",-0.693380342293025,-0.695761006888325
"JUND",0.659405363657924,0.458861551983519
"KLF1",-0.359717141698902,-0.628725277845171
"KLF5",-0.727767547607573,-0.562165202799511
"KLF9",-0.642712399412809,-0.356290138455637
"KMT2A",0.472397121736402,0.463047914596391
"MAF",0.676039078489377,0.759018884891811
"MAX",-0.541783701899444,-0.509317646396496
"MBD2",0.38460415954273,0.350242984760733
"MECOM",-0.748751311021322,-0.620170762650895
"MEIS1",-0.704795612399637,-0.617304689967607
"MNT",-0.50302645371715,-0.765116673619398
"MXI1",0.791188751390117,-0.445372972800897
"MYOD1",-0.402073201818145,-0.34154616286746
"MZF1",-0.501770193947923,-0.577053409403404
"NANOG",-0.54708786375234,0.666338830248474
"NFAT5",-0.623087992299164,-0.771341165851388
"NFATC1",0.628697999752939,0.796581083541729
"NFE2",0.596982439151321,-0.569301218357954
"NR2F2",-0.771940504708958,-0.323662513853918
"NR5A2",-0.507315754111596,0.515281451674506
"NRF1",0.400009517315911,-0.715558307732304
"PAX5",-0.695737914091444,-0.428915242475595
"PBX1",0.494173672918212,-0.318752677708591
"POU2F2",0.543600503215149,0.779522502709551
"PPARG",0.713790043303789,0.69100794459419
"PRDM14",0.484288364258687,0.742909618184288
"RARA",0.703612154789393,0.381994929332943
"RARG",0.708293910799523,-0.609931635684735
"RBPJ",0.771710745814751,0.654962640762663
"RFX5",0.723527898094221,0.64039679198589
"RXRA",0.638141170026874,0.642659347940342
"RXRG",-0.392716609670203,0.700002734179791
"SP1",0.711954874032073,0.432596298065881
"SP4",0.856793127055407,0.702654326694878
"SPDEF",-0.735956530885094,-0.606192920146517
"SPI1",0.535918041835696,-0.643072218206836
"SPIB",-0.392754971911665,0.786019135057674
"SRF",0.779956810066683,0.632260664978336
"STAT1",0.685032967283717,0.777140407273178
"STAT2",0.60032779880636,0.802484609018926
"STAT3",0.396515555794528,0.790250661152079
"STAT5B",0.625373080826725,0.712260770782424
"T",-0.677396840348856,-0.584808359408967
"TBX21",0.725187647008264,0.72137994541855
"TFAP2C",0.647258181526353,-0.437996742236212
"TFAP4",0.527032670670362,0.67877274476225
"TFDP1",-0.370669035470785,-0.798841761548541
"USF1",-0.797361755828933,-0.585486159400036
"XBP1",-0.565560829623512,0.564964898148289
"YY1",-0.513578238558344,0.587358496382377
"ZBTB7A",0.586779964362472,-0.427229842429392
"ZBTB7B",-0.612516659615895,-0.817689539607015
"ZFP42",-0.522032472978407,-0.473749294896635
"ZKSCAN1",-0.636297231331715,-0.726111840228783
"ZNF143",-0.823847168511515,-0.74980655477889
"ZNF384",0.497550124165459,0.343350638704808
"ZNF76",-0.673041179335556,-0.658813592653087
