"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",0.413293325267996,0.406732070818758,0.327333152468801,0.304033735399364
"E2F7",-0.366367453675605,-0.329587337327275,-0.438754747693977,-0.396897056445427
"FOXM1",0.436981070779445,0.373058314234785,0.394329896907216,0.446697737290139
"HES1",0.392649493722122,0.459581440231595,0.433464460119371,0.483412765216382
"MNT",-0.413350319997946,-0.461544905043357,-0.319275637547477,-0.451303514933387
"NANOG",0.53005296545832,0.336767721442644,0.526098752034726,0.365858249955426
"PBX3",0.333094107643714,0.382664549073218,0.485363537710255,-0.389146290391465
"STAT1",0.391582052641812,0.362403334539557,0.333260987520347,0.557900742626601
"STAT2",0.526711513118876,0.304789379866779,0.311774281063483,0.513846026263523
"TP63",0.383069100479885,0.305235012665353,0.364080303852415,0.475574426444307
