"","ND251_34","ND251_HSC","ND251_MPP"
"ATF1",0.465871433900829,0.472932581652345,0.347174409611684
"DUX4",0.525978550272342,0.401242196999972,0.409560273865837
"E2F2",-0.565425760589414,-0.464623393719987,-0.507911713040402
"EGR1",-0.400414989062524,-0.313756830630288,-0.477608560105997
"ETV5",-0.527675508358315,-0.4966808212357,-0.532996097052105
"FOS",-0.528340621287442,-0.350321352170949,-0.342178366517383
"FOSL1",-0.55210132062214,-0.610044023772837,-0.435743598505968
"FOSL2",-0.421443763329883,-0.595511562651599,-0.666759444114702
"GRHL2",-0.376564249736432,-0.302194969749684,-0.509932133071938
"HES1",-0.331721047891335,-0.566147342866119,-0.374166801561179
"IKZF1",-0.558596030074343,-0.408927828794539,-0.307115985299496
"JUNB",-0.596841995177767,-0.472669486182733,-0.575900345929483
"MAF",0.593457773092485,0.510044045143601,0.604720408640443
"MYOD1",-0.364215297778107,-0.370292394786389,-0.405760595214542
"NFATC1",0.510385529718989,0.364078546104217,0.407307085858858
"NKX2-1",-0.593622572565784,-0.471247646544668,-0.538949741302302
"REST",0.368510764009865,0.434267335429093,0.484420133455638
"RFX2",-0.560907001751261,-0.32396451171011,-0.52994268482047
"RXRA",0.300824514932139,-0.435679921526556,-0.558770691319388
"RXRG",-0.387923911935302,-0.418260398479256,-0.366135631935826
"SP1",-0.438548239870152,-0.313087904361559,-0.569119948200507
"SPDEF",-0.533560640496521,-0.492268079131663,-0.341065336906539
"STAT2",0.632074085167809,0.371046333952373,0.464419623854146
"STAT3",0.525241963992383,0.304585930771549,0.4589698855495
"STAT5A",0.560724785783277,0.381889346460681,0.455923967457448
"TBP",-0.463488003033756,-0.37712146500858,-0.412729695378214
"TCF21",-0.389365866250029,-0.567744764697208,-0.372181903751267
"TFAP2A",-0.391269686287033,-0.391327786907843,-0.406121962625227
"TFDP1",-0.38942731690109,-0.306145569092747,-0.521673950970341
"XBP1",0.451117691223459,0.318099882674508,0.513361451345048
"ZBTB7A",-0.540313311237936,-0.409658644794403,-0.476068214656139
"ZNF143",-0.420557329473006,-0.314388080242943,-0.365396559890166
