"","P1_2020Oct","P3_2023Jan"
"AHR",0.338129496402878,0.827338129496403
"AR",0.726618705035971,0.0215827338129496
"ARID3A",0.474820143884892,0.805755395683453
"ARNT",0.0359712230215827,0.158273381294964
"ASCL2",0.525179856115108,0.194244604316547
"ATF1",0.23021582733813,0.510791366906475
"ATF2",0.964028776978417,0.97841726618705
"ATF3",0.805755395683453,0.143884892086331
"BACH2",0.39568345323741,0.0287769784172662
"BATF",0.719424460431655,0.834532374100719
"BCL11A",0.0143884892086331,0.0719424460431655
"BCL6",0.352517985611511,0.697841726618705
"BHLHE40",0.0719424460431655,0.266187050359712
"CEBPA",0.18705035971223,0.302158273381295
"CEBPD",0.460431654676259,0.870503597122302
"CLOCK",0.287769784172662,0.0935251798561151
"E2F2",0.798561151079137,0.129496402877698
"E2F3",0.402877697841727,0.338129496402878
"E2F6",0.741007194244604,0.748201438848921
"E2F7",0.0431654676258993,0.345323741007194
"E2F8",0.568345323741007,0.647482014388489
"EBF1",0.266187050359712,0.79136690647482
"EGR1",0.892086330935252,0.985611510791367
"EHF",0.942446043165468,0.971223021582734
"ELF1",0.100719424460432,0.359712230215827
"ELK1",0.661870503597122,0.58273381294964
"ELK3",0.41726618705036,0.100719424460432
"ELK4",0.244604316546763,0.762589928057554
"ESR1",0.755395683453237,0.23021582733813
"ESR2",0.58273381294964,0.215827338129496
"ETS2",0.784172661870504,0.928057553956835
"ETV1",0.834532374100719,0.568345323741007
"ETV6",0.949640287769784,0.856115107913669
"FOS",0.503597122302158,0.755395683453237
"FOSL1",0.366906474820144,0.589928057553957
"FOSL2",0.316546762589928,0.294964028776978
"FOXA1",1,0.532374100719424
"FOXD2",0.920863309352518,0.237410071942446
"FOXM1",0.172661870503597,0.431654676258993
"FOXP1",0.712230215827338,0.251798561151079
"FOXP2",0.496402877697842,0.474820143884892
"GATA1",0.0575539568345324,0.330935251798561
"GATA2",0.158273381294964,0.410071942446043
"GATA3",0.165467625899281,0.280575539568345
"GATA4",0.62589928057554,0.316546762589928
"GMEB2",0.0503597122302158,0.079136690647482
"GRHL2",0.690647482014389,0.546762589928058
"GTF2B",0.697841726618705,0.992805755395683
"GTF2I",0.546762589928058,0.151079136690647
"HEY1",0.302158273381295,0.00719424460431655
"HIF1A",0.971223021582734,0.705035971223022
"HINFP",0.633093525179856,0.136690647482014
"HNF1B",0.575539568345324,0.453237410071942
"HNF4A",0.97841726618705,0.179856115107914
"HNF4G",0.251798561151079,0.798561151079137
"HOXA1",0.510791366906475,0.517985611510791
"HOXB13",0.597122302158273,0.438848920863309
"HSF1",0.640287769784173,0.863309352517986
"IRF2",0.539568345323741,0.107913669064748
"IRF4",0.237410071942446,0.690647482014389
"JUN",0.00719424460431655,0.287769784172662
"JUNB",0.410071942446043,0.37410071942446
"JUND",0.561151079136691,1
"KLF1",0.107913669064748,0.201438848920863
"KLF10",0.143884892086331,0.892086330935252
"KLF3",0.79136690647482,0.949640287769784
"KLF9",0.928057553956835,0.633093525179856
"MAFF",0.381294964028777,0.115107913669065
"MAFK",0.913669064748201,0.352517985611511
"MECOM",0.0287769784172662,0.640287769784173
"MEF2A",0.820143884892086,0.726618705035971
"MITF",0.446043165467626,0.258992805755396
"MNT",0.618705035971223,0.402877697841727
"MXI1",0.467625899280576,0.597122302158273
"MYB",0.20863309352518,0.273381294964029
"MYC",0.453237410071942,0.244604316546763
"NANOG",0.856115107913669,0.0575539568345324
"NFAT5",0.762589928057554,0.503597122302158
"NFATC1",0.309352517985612,0.784172661870504
"NFE2",0.654676258992806,0.172661870503597
"NFIC",0.517985611510791,0.956834532374101
"NFYA",0.223021582733813,0.446043165467626
"NFYB",0.553956834532374,0.935251798561151
"NKX2-1",0.60431654676259,0.0359712230215827
"NR2F2",0.985611510791367,0.848920863309353
"PAX5",0.345323741007194,0.733812949640288
"PBX1",0.935251798561151,0.223021582733813
"PBX3",0.194244604316547,0.165467625899281
"PGR",0.0647482014388489,0.611510791366906
"POU2F1",0.906474820143885,0.561151079136691
"POU2F2",0.611510791366906,0.496402877697842
"PPARG",0.705035971223022,0.776978417266187
"RARG",0.330935251798561,0.553956834532374
"RBPJ",0.776978417266187,0.920863309352518
"RELA",0.37410071942446,0.62589928057554
"RFX2",0.870503597122302,0.39568345323741
"RFX5",0.323741007194245,0.467625899280576
"RUNX1",0.0935251798561151,0.20863309352518
"RUNX2",0.151079136690647,0.388489208633094
"RUNX3",0.827338129496403,0.60431654676259
"RXRA",0.258992805755396,0.460431654676259
"RXRG",0.669064748201439,0.964028776978417
"SETDB1",0.179856115107914,0.0143884892086331
"SIX5",0.079136690647482,0.539568345323741
"SMAD3",0.899280575539568,0.913669064748201
"SP1",0.884892086330935,0.841726618705036
"SP4",0.589928057553957,0.41726618705036
"SPI1",0.956834532374101,0.575539568345324
"SPIB",0.532374100719424,0.712230215827338
"SRF",0.280575539568345,0.884892086330935
"STAT1",0.683453237410072,0.820143884892086
"STAT2",0.482014388489209,0.877697841726619
"STAT4",0.122302158273381,0.309352517985612
"STAT5A",0.841726618705036,0.906474820143885
"STAT5B",0.992805755395683,0.661870503597122
"TBP",0.863309352517986,0.366906474820144
"TCF12",0.359712230215827,0.942446043165468
"TCF21",0.215827338129496,0.18705035971223
"TCF3",0.431654676258993,0.76978417266187
"TEAD4",0.489208633093525,0.741007194244604
"TFAP2A",0.273381294964029,0.381294964028777
"TFAP2C",0.0215827338129496,0.489208633093525
