"","P1_2020Oct","P3_2023Jan"
"AHR",0.158273381294964,0.079136690647482
"AR",0.0287769784172662,0.388489208633094
"ARID3A",0.453237410071942,0.251798561151079
"ARNT",0.647482014388489,0.510791366906475
"ASCL2",0.172661870503597,0.359712230215827
"ATF1",0.733812949640288,0.0575539568345324
"ATF2",0.848920863309353,1
"ATF3",0.151079136690647,0.280575539568345
"BACH2",0.0431654676258993,0.201438848920863
"BATF",0.402877697841727,0.633093525179856
"BCL11A",0.561151079136691,0.215827338129496
"BCL6",0.0647482014388489,0.482014388489209
"BHLHE40",0.165467625899281,0.892086330935252
"CEBPA",0.482014388489209,0.143884892086331
"CEBPD",0.237410071942446,0.79136690647482
"CLOCK",0.539568345323741,0.62589928057554
"E2F2",0.489208633093525,0.0287769784172662
"E2F3",0.683453237410072,0.928057553956835
"E2F6",0.446043165467626,0.539568345323741
"E2F7",0.611510791366906,0.496402877697842
"E2F8",0.913669064748201,0.97841726618705
"EBF1",0.618705035971223,0.410071942446043
"EGR1",0.942446043165468,0.755395683453237
"EHF",0.58273381294964,0.237410071942446
"ELF1",0.194244604316547,0.0143884892086331
"ELK1",0.992805755395683,0.712230215827338
"ELK3",0.553956834532374,0.0863309352517986
"ELK4",0.517985611510791,0.60431654676259
"ESR1",0.510791366906475,0.287769784172662
"ESR2",0.640287769784173,0.669064748201439
"ETS2",0.302158273381295,0.402877697841727
"ETV1",0.633093525179856,0.223021582733813
"ETV6",0.985611510791367,0.935251798561151
"FOS",0.60431654676259,0.273381294964029
"FOSL1",0.719424460431655,0.381294964028777
"FOSL2",0.669064748201439,0.0935251798561151
"FOXA1",0.690647482014389,0.877697841726619
"FOXD2",0.762589928057554,0.151079136690647
"FOXM1",0.352517985611511,0.798561151079137
"FOXP1",0.705035971223022,0.244604316546763
"FOXP2",0.877697841726619,0.503597122302158
"GATA1",0.39568345323741,0.733812949640288
"GATA2",0.223021582733813,0.971223021582734
"GATA3",0.0143884892086331,0.41726618705036
"GATA4",0.00719424460431655,0.805755395683453
"GMEB2",0.0575539568345324,0.37410071942446
"GRHL2",0.20863309352518,0.647482014388489
"GTF2B",1,0.913669064748201
"GTF2I",0.107913669064748,0.776978417266187
"HEY1",0.201438848920863,0.345323741007194
"HIF1A",0.294964028776978,0.172661870503597
"HINFP",0.841726618705036,0.654676258992806
"HNF1B",0.928057553956835,0.863309352517986
"HNF4A",0.41726618705036,0.58273381294964
"HNF4G",0.971223021582734,0.697841726618705
"HOXA1",0.503597122302158,0.611510791366906
"HOXB13",0.798561151079137,0.39568345323741
"HSF1",0.0503597122302158,0.00719424460431655
"IRF2",0.251798561151079,0.848920863309353
"IRF4",0.956834532374101,0.136690647482014
"JUN",0.654676258992806,0.597122302158273
"JUNB",0.827338129496403,0.899280575539568
"JUND",0.97841726618705,0.992805755395683
"KLF1",0.0215827338129496,0.0431654676258993
"KLF10",0.935251798561151,0.820143884892086
"KLF3",0.661870503597122,0.949640287769784
"KLF9",0.776978417266187,0.309352517985612
"MAFF",0.388489208633094,0.165467625899281
"MAFK",0.424460431654676,0.841726618705036
"MECOM",0.712230215827338,0.575539568345324
"MEF2A",0.949640287769784,0.20863309352518
"MITF",0.0359712230215827,0.942446043165468
"MNT",0.697841726618705,0.302158273381295
"MXI1",0.258992805755396,0.474820143884892
"MYB",0.129496402877698,0.330935251798561
"MYC",0.431654676258993,0.726618705035971
"NANOG",0.37410071942446,0.762589928057554
"NFAT5",0.76978417266187,0.956834532374101
"NFATC1",0.496402877697842,0.446043165467626
"NFE2",0.18705035971223,0.194244604316547
"NFIC",0.568345323741007,0.741007194244604
"NFYA",0.438848920863309,0.294964028776978
"NFYB",0.100719424460432,0.467625899280576
"NKX2-1",0.0863309352517986,0.115107913669065
"NR2F2",0.834532374100719,0.460431654676259
"PAX5",0.755395683453237,0.0215827338129496
"PBX1",0.345323741007194,0.489208633093525
"PBX3",0.863309352517986,0.179856115107914
"PGR",0.892086330935252,0.690647482014389
"POU2F1",0.316546762589928,0.122302158273381
"POU2F2",0.280575539568345,0.676258992805755
"PPARG",0.805755395683453,0.856115107913669
"RARG",0.676258992805755,0.453237410071942
"RBPJ",0.287769784172662,0.366906474820144
"RELA",0.920863309352518,0.834532374100719
"RFX2",0.266187050359712,0.18705035971223
"RFX5",0.330935251798561,0.719424460431655
"RUNX1",0.575539568345324,0.0359712230215827
"RUNX2",0.460431654676259,0.424460431654676
"RUNX3",0.323741007194245,0.158273381294964
"RXRA",0.748201438848921,0.76978417266187
"RXRG",0.532374100719424,0.525179856115108
"SETDB1",0.273381294964029,0.323741007194245
"SIX5",0.359712230215827,0.258992805755396
"SMAD3",0.784172661870504,0.561151079136691
"SP1",0.964028776978417,0.964028776978417
"SP4",0.81294964028777,0.920863309352518
"SPI1",0.906474820143885,0.827338129496403
"SPIB",0.467625899280576,0.0719424460431655
"SRF",0.525179856115108,0.884892086330935
"STAT1",0.820143884892086,0.985611510791367
"STAT2",0.597122302158273,0.683453237410072
"STAT4",0.115107913669065,0.100719424460432
"STAT5A",0.136690647482014,0.640287769784173
"STAT5B",0.309352517985612,0.129496402877698
"TBP",0.0935251798561151,0.618705035971223
"TCF12",0.62589928057554,0.431654676258993
"TCF21",0.366906474820144,0.906474820143885
"TCF3",0.870503597122302,0.532374100719424
"TEAD4",0.741007194244604,0.338129496402878
"TFAP2A",0.410071942446043,0.107913669064748
"TFAP2C",0.856115107913669,0.553956834532374
"TFAP4",0.338129496402878,0.438848920863309
"TFDP1",0.079136690647482,0.0647482014388489
"THAP1",0.122302158273381,0.661870503597122
"TP63",0.179856115107914,0.748201438848921
"USF1",0.546762589928058,0.352517985611511
"USF2",0.143884892086331,0.23021582733813
"VEZF1",0.726618705035971,0.784172661870504
"XBP1",0.589928057553957,0.81294964028777
"YY1",0.381294964028777,0.517985611510791
"ZBTB7A",0.474820143884892,0.705035971223022
"ZBTB7B",0.215827338129496,0.316546762589928
"ZEB1",0.884892086330935,0.589928057553957
"ZFX",0.23021582733813,0.870503597122302
"ZKSCAN1",0.0719424460431655,0.0503597122302158
"ZNF143",0.899280575539568,0.266187050359712
"ZNF263",0.79136690647482,0.568345323741007
"ZNF384",0.244604316546763,0.546762589928058
