"","P1_2020Oct","P3_2023Jan"
"ATF1",0.551472186232116,-0.350363605577461
"ATF3",-0.372581352732075,-0.388506185245702
"ETS2",0.49912896373268,0.380628699429287
"FOSL1",-0.327682107350322,-0.402765369440564
"FOXP2",-0.416421376073368,-0.405722501842603
"GLIS1",-0.445167485338095,-0.325594546489493
"GMEB2",0.34851347414605,0.313155893057951
"GTF2B",0.510574446336548,0.362521798864384
"HSF2",0.422247097295903,0.364612949065493
"IRF2",-0.365519872462337,-0.460495876051435
"IRF4",-0.52699238796369,-0.32987525396
"JUN",-0.586132285222749,-0.423908128062137
"JUND",0.43348662005857,0.309381981989124
"KLF1",-0.397531916351818,-0.32660321893944
"KMT2A",-0.381143397559133,-0.428110109878014
"MAF",0.40680010920585,-0.450674850636341
"MAX",0.376082670032487,0.331941802394038
"MECOM",0.424571501218025,0.333368704884207
"MEF2A",0.305085370487159,0.382872380586242
"NFYA",0.405829155668761,0.326076741124102
"RXRA",0.3255636632694,-0.36787022302581
"RXRG",-0.402151301361605,0.455826460661193
"SOX17",-0.600814279616914,-0.476806847620091
"SP1",0.51204558805941,0.406667209698164
"STAT4",-0.344894465507809,-0.301927646566345
"TCF3",0.382938190461025,0.438905365269154
"TCF4",-0.635945143958863,0.388171601213525
"USF2",0.556179839745275,-0.357237339297344
"VEZF1",0.362224515003126,-0.30740892026996
