"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"BARX2",0.449866287593043,0.566545683196692,0.466061312120547
"BCL11A",-0.454988249511061,-0.493871695863177,-0.410929291576568
"E2F8",0.555855547241512,0.64161852029766,0.454597043092508
"EGR1",-0.320204372747801,-0.669195326498856,-0.301948665603263
"EHF",0.478768535469475,0.664650413934375,0.32739482543585
"GRHL2",-0.447160104763932,-0.426629210408861,-0.393091317749332
"GTF2B",0.37192547155073,0.417551474152952,0.327428218692173
"HOXA4",0.380682762101284,0.685517463846286,0.3395441908574
"LHX2",-0.337820870878759,-0.6172479278856,-0.430159291687279
"MEIS1",0.310349514183477,0.7682613385169,-0.414143417784609
"NFYB",0.504800895457114,0.444243058233405,0.361926320739
"TFAP2A",0.372269225600564,-0.602244341191762,-0.469274918139393
