"","P1_2020Oct","P3_2023Jan"
"ARNTL",-0.392022967862984,-0.575224228305183
"BACH2",-0.42457773786418,-0.487338380896913
"BARX2",-0.67524126628785,-0.48527664531159
"BHLHE40",-0.595366785770605,0.39914967967385
"E2F7",0.431180958168137,0.392125800815376
"ESR1",0.330148578290851,0.431624927198602
"ESR2",0.507047645408489,-0.578008153756552
"FOXD2",0.549713620790954,0.576983110075713
"FOXO3",0.425109026984575,0.635457192778101
"FOXP1",0.312886928698153,-0.503086779266162
"GATA4",-0.534876390754235,-0.484158415841584
"GFI1B",-0.316896665241763,0.464205008736168
"HEY1",0.661930277930568,-0.631764705882353
"HOXA1",0.465716305607177,0.344053581828771
"HOXA4",0.308863589287526,0.388771112405358
"HOXB13",-0.411147432930482,0.336097845078626
"KLF1",-0.372062898107227,-0.581129877693652
"KLF9",0.535446156555624,0.444088526499709
"LHX2",0.478997367657019,0.356866627839254
"MEF2A",0.458479580353518,0.440768782760629
"NFE2",0.573877753762008,0.308235294117647
"NR2F2",0.522820752696057,0.307361677344205
"PGR",-0.300043490312953,-0.385835760046593
"POU2F2",0.582121479828354,-0.4255329062318
"RELA",0.531268910421019,0.320104834012813
"RFX5",-0.724811279662044,-0.336994758299359
"RXRA",-0.563443188799051,0.526301688992429
"RXRG",0.489751017014887,0.426464764123471
"SP4",0.434235773447072,0.592207338380897
"SREBF1",-0.342814790751472,-0.626651135701805
"STAT1",0.663723135803561,0.700232964472918
"STAT4",-0.443327541108665,-0.354036109493302
"TAL1",0.316999269724414,-0.39316249271986
"TBX21",-0.341297876752276,0.436645311589982
"TCF7L2",-0.377168248425813,0.347548048922539
"TFAP2C",-0.568250442003268,0.608829353523587
"TFDP1",-0.419413312237401,-0.414758299359348
"USF1",-0.347681119263882,0.317483983692487
"ZBTB7A",-0.501221343137941,0.609726266744322
"ZFX",-0.496878142025715,-0.394292370413512
"ZNF143",-0.520474452462097,-0.48658124635993
"ZNF263",0.648887849033559,-0.340640652300524
"ZNF76",0.310258854790245,0.615713453698311
