"","P1_2020Oct","P3_2023Jan"
"ASCL2",0.358336330159556,0.582617430155862
"BACH1",-0.479774737597679,0.386545992551503
"CEBPD",-0.348887171928874,0.419080129804086
"EBF1",0.348678119755629,-0.34242089186043
"ELK1",-0.337849217181529,-0.457897219200897
"ELK3",0.323905437226076,-0.507799747151031
"ELK4",-0.543744702610703,0.424063160815026
"ESR1",0.329466225034397,-0.657579548842169
"FOXD2",-0.530971614825423,-0.402975551319456
"FOXP1",0.354573391041143,0.41106394948214
"GLI2",-0.480694567159958,-0.460027645502676
"GMEB2",-0.383318064862355,-0.443814740256938
"HINFP",0.326288632001071,0.391998439527241
"IRF3",-0.350622304966809,-0.447931157179018
"KLF3",-0.676241970013496,-0.653427022999719
"NFE2",0.36598763970033,0.610493516680828
"PBX1",-0.339124435438325,-0.53141498107244
"PGR",-0.417665336926537,-0.452516990065898
"RXRA",-0.355597746690045,-0.400700689336201
"SP4",0.514101104444537,-0.508594143399152
"STAT1",-0.481363534114342,-0.544522519166433
"STAT5A",-0.400314006547188,0.627031402209888
"TCF12",0.392265497877248,0.516790868322943
"TCF4",-0.313369207694519,0.732288905085892
"TEAD4",-0.348009152801245,-0.608651961742002
"USF1",0.468235057634545,0.382826773753483
"XBP1",-0.406439235223271,0.494981080419991
"ZNF143",0.343514531076473,0.452264227623314
"ZNF384",0.403575220449812,-0.351195359510128
