"","P1_2020Oct","P2_2021Mar"
"AHR",0.483511066345148,-0.317660653148853
"E2F8",-0.441163785389997,0.393434460684275
"EGR2",-0.361899959095524,0.32721489848359
"HINFP",-0.440388609227063,0.313849757553653
"KLF9",-0.338378277752683,-0.373923875518929
"KMT2A",-0.340363118944319,-0.377818790859535
"MITF",0.375112472842641,0.427210398337479
"NFYA",0.444512876595392,-0.39966392466509
"RUNX2",0.320435913710337,-0.3405920422343
"RUNX3",-0.42192846052603,0.333744432983712
"STAT5B",-0.411200562728064,-0.416797951317524
"TBP",-0.434369550172958,0.455777111775512
