"","P1_2020Oct","P3_2023Jan"
"CTCF",0.32531187307642,-0.340263540216115
"E2F6",0.44564758971358,-0.305937601238123
"EGR1",-0.619045547500748,-0.344378321544707
"EGR2",-0.368865126544958,-0.434650848762327
"ETV7",0.369763778128042,-0.362497797219735
"GLI2",-0.348008050267798,-0.433640200716708
"GMEB2",-0.40192714525284,-0.354881842304534
"HNF1B",0.382700181149647,0.397942667962519
"LHX2",-0.345061309030244,-0.334452313953805
"MAFF",0.452648712512025,0.424580462879194
"MEIS1",0.417016132299042,-0.375058708643858
"NANOG",0.576516338859445,-0.412958010354574
"NFATC1",0.470224665567227,0.359032718206184
"NR2F2",0.469388710606218,0.375094803216916
"PPARG",-0.385688720135252,-0.357047516688003
"REST",0.375218384248622,-0.449305245423804
"RUNX3",0.612023525828277,-0.309113923667212
"SMAD3",0.331539737535933,-0.338314433270992
"STAT4",0.595994089450941,0.30250861679763
"STAT5A",-0.512398593350101,0.431835472063816
"TAL1",-0.357851419933672,-0.373073507125678
"TBX21",-0.355782431405176,-0.387439147202692
"THAP1",-0.304517493421336,0.337303785225373
"ZNF143",0.356764678484361,0.439487521552075
"ZNF263",0.387757708663748,-0.437935454910589
