"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ATF2",0.515990229894394,0.348418404348531,-0.459379623330057
"ELK3",-0.530426354966506,0.419591422639626,-0.465832594467554
"FOSL2",-0.482854759627731,-0.327408345968432,0.382123773829434
"GTF2I",-0.603754399877927,-0.359745281114931,-0.459199819180715
"HINFP",-0.313264053811454,0.4966732157571,-0.450249568191246
"HNF4G",0.393591357983117,0.329864593608069,0.503831204695169
"HOXB13",-0.494269063728711,-0.352695201587262,-0.395748932701796
"JUN",-0.411948423783157,-0.332941742160683,0.41926331978797
"KLF3",0.307592137872443,0.449509665782001,-0.474822801934656
"MYB",-0.402106219222521,-0.337861148122497,-0.469468633932026
"PPARG",0.534481901633045,0.312094887770604,0.460917947718872
"RELA",-0.350439648707195,-0.314522572217483,0.408095484289949
"SIX5",0.555217155410399,0.388456280252013,-0.433008348093227
"SPIB",0.407857341548101,-0.343180511313951,0.46073814356953
"STAT4",-0.532246454843876,-0.301193020885628,0.467530744766896
"TFAP2C",-0.313095659137048,-0.306259714688644,0.452686913326771
"TFAP4",-0.353699388295072,-0.329629035527225,-0.426115855701783
