"","P1_2020Oct","P3_2023Jan"
"ARNTL",0.792113675067311,-0.477099947639952
"ASCL2",-0.471807329763514,-0.305005561578899
"ATF3",0.616263796134326,0.302407725503354
"BACH1",0.581479661172516,-0.354423265944252
"BATF",0.785361460633547,0.467992816643044
"BCL11A",0.830317762794274,-0.471615082416303
"BCL6",-0.794481334673955,-0.463017715479502
"CEBPA",0.641284989014419,0.442264436340154
"CEBPD",0.815790271133753,0.413928416806718
"E2F1",-0.545847845610796,0.61579988618651
"E2F2",0.576247425745487,0.422888500478595
"E2F3",-0.750781938230336,-0.636920783638435
"E2F4",-0.52363276782006,0.608574960949996
"E2F6",0.689982777960953,-0.487834402367201
"E2F7",-0.46958582198444,0.353741946671609
"E2F8",-0.521908176254726,-0.64334185016478
"EGR2",-0.63087897889139,-0.360707088300568
"EHF",-0.644324947027888,-0.418202592387613
"ELF1",-0.612814613003659,0.467899686670525
"ELK1",-0.338633784481154,0.408090638002995
"ELK3",0.574815137835295,0.406174121200093
"ELK4",0.578205860234934,-0.499892283019727
"EPAS1",0.366928778298828,0.339595994003645
"ESR1",0.610943869610755,0.518841781638697
"ESR2",0.76872938265601,-0.382568123955148
"ESRRA",0.409809724508052,0.442955558767799
"ETS2",-0.509280658352624,-0.450268712399331
"ETV5",0.41872498598986,0.412575581416435
"ETV6",0.765864806835625,0.310186528997484
"ETV7",-0.787524507681593,-0.612324667738282
"FOXD2",0.71836546287517,-0.383646471005374
"FOXH1",-0.643477266427978,-0.351747004628691
"FOXM1",-0.496945444105663,0.583645537779774
"FOXP1",-0.647832590889583,-0.601501984616014
"GATA4",0.532898793688038,0.534605254882
"GLI2",0.833386951173257,0.42620686844679
"GLIS1",0.802695067383424,0.445533788533339
"GMEB1",-0.698342662497993,-0.34386526800704
"GMEB2",-0.827862412091087,-0.388077497066302
"GRHL2",0.692642741222739,0.40515459307988
"GTF2B",-0.496770061912578,-0.409374851308264
"HES1",0.685598223133834,0.42491775356402
"HINFP",0.615737649555072,-0.558622984637031
"HNF1B",0.721230038695554,0.394434843085134
"HOXA4",0.493291648416397,-0.316411532423788
"HOXC6",0.607465456114574,-0.511675675332196
"HSF1",0.458565974185615,-0.476840164032398
"HSF2",-0.771857031766021,-0.578817483941262
"IRF2",-0.737102127169725,0.612687384473358
"IRF3",-0.523457385626975,-0.564240192453208
"JUN",0.499663868098476,0.523238496657118
"JUND",-0.642658816193583,-0.300682370222993
"KLF3",-0.484785612051786,-0.442396778932682
"KLF4",-0.733974478059713,-0.362309904143404
"KLF9",0.643769570083119,-0.551476484640534
"KMT2A",0.540440227990683,-0.47756559750255
"MAF",-0.76922629886975,0.625887332683623
"MAFK",0.794218261384328,0.544550555631583
"MAX",-0.579813530338211,-0.351438205246126
"MEF2C",-0.7207038921163,-0.360530631510531
"MEIS1",0.729502232136052,0.590551860478721
"NANOG",0.597994817687997,0.606918227754649
"NFAT5",-0.431674037912618,-0.386847201113544
"NKX2-1",0.618602225375456,0.319244644219382
"NR2F2",0.628599010381288,0.515670460995533
"NR5A2",-0.725117677308933,-0.475555950727129
"NRF1",0.58603959819272,0.617133115266789
"PBX3",-0.611382325093467,-0.489613675000074
"PGR",0.65326943887521,-0.324881458345563
"POU2F2",-0.547397054983045,-0.440053824887191
"PPARG",0.66063549098477,0.605305608756811
"PRDM1",-0.510128338952534,-0.301059791690572
"RARA",-0.431586346816076,0.488623556344866
"RARG",-0.51810822873789,-0.6400970058591
"RBPJ",-0.619274523782281,-0.362515770398447
"RELA",-0.592236435681714,-0.560613025102448
"REST",-0.771915492497049,0.55747111392429
"RFX2",-0.696939604953315,0.482967135908682
"RFX5",-0.652334067178758,-0.521047491514159
"RUNX1",0.652889444123527,0.508886677734112
"RUNX2",0.548361657045011,0.542928133478743
"RUNX3",-0.751103472250991,-0.569524092999315
"RXRA",0.765514042449456,-0.522615996314488
"RXRG",0.579638148145126,0.331248607519396
"SETDB1",0.545614002686683,0.406419200075145
"SIX5",-0.70129492941492,-0.513856877320153
"SMAD3",0.819005611340307,0.48811379228476
"SNAI2",-0.400076012791848,0.42415310747386
"SPDEF",0.724971525481362,0.524958950359979
"SPI1",-0.418491143065747,-0.319769113011992
"SPIB",-0.513723673910771,0.33942934036861
"SREBF1",-0.604571649928676,0.356570156889701
"STAT2",-0.562626075415904,-0.60348712350393
"STAT6",-0.350121318128206,0.336694260123037
"TBP",-0.509309888718138,-0.577552876945997
"TCF12",-0.74514047768611,-0.582420143404517
"TCF21",0.717342400082175,0.540438132108222
"TCF7L2",0.44585076518697,0.30945129237233
"TFAP2C",0.735962142914674,0.586988413635474
"THAP1",-0.612054623500292,0.590713612536254
"VEZF1",-0.405279017853362,0.413350030661597
"ZBTB7A",-0.491070140637323,-0.365843941521644
"ZEB1",-0.772617021269388,-0.31732812741648
"ZFX",0.349332098259324,0.588076563840702
"ZNF384",-0.489667083092645,-0.341630148666571
