"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"BCL6",-0.423904768962264,-0.482391070080273,-0.406371809322397
"CDX2",-0.444667833214101,-0.383678192090293,-0.370435741064889
"CTCF",-0.344079680056755,-0.336992621640471,-0.34881074568115
"ETV6",0.471544783706864,0.538576653919022,0.369066346862827
"HNF4G",-0.308942600532142,-0.373370220262607,-0.321486346219757
"NANOG",0.305534115926537,-0.484694935745329,-0.300777068901587
"NFATC1",0.431055480089748,0.300006765869646,0.377416557525963
"RBPJ",0.3304976791823,0.549305967137176,0.332421116803157
"RUNX2",0.424179798867794,0.551020753951317,0.395095718739903
"RXRA",-0.446880425890467,-0.539799052466853,-0.353119888074114
"SIX5",0.396745283521872,0.472330382061752,0.32642439809691
"STAT2",-0.414712487135409,-0.314310797560591,0.386447224549119
"TCF4",-0.40996983186033,0.540482569905287,0.338764144615569
"TP63",-0.348992825978416,0.381782083188115,0.305878597187161
"YY1",0.551342841177562,0.573867990849489,0.436795340869194
"ZKSCAN1",-0.32676568077089,0.519064043546141,0.344961143433136
"ZNF76",0.370771395483949,0.394965419425481,0.330895462321454
