"","P1_2020Oct","P3_2023Jan"
"BACH2",-0.320773326759106,-0.381365514103097
"BATF",-0.437753732464525,0.531526582366288
"ETV1",0.312137048551698,0.453403424306683
"ETV4",-0.338677919737305,-0.578693082031909
"FOXK1",0.374472723557882,0.371188461654238
"GMEB1",0.330409746465644,-0.425681739629261
"GMEB2",-0.382992389853226,-0.435188482208924
"HOXA1",0.44692603676105,0.473093048116677
"MAFF",0.421934937886765,-0.325071142653447
"MAFK",-0.651382868300752,-0.416215798519898
"MEF2C",-0.330976869064645,-0.399632915234098
"NFIC",0.419464708882891,0.44889194744791
"RBPJ",0.33091934052136,-0.429167350949089
"RFX2",0.344005529293104,-0.317866768754942
"SETDB1",-0.405319295243239,-0.424096311069072
"SP4",0.326427449668682,0.479551337986858
"TP73",0.487995974776997,0.425436930807468
"VEZF1",-0.32891128339563,0.54939179757577
