"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ARNTL",0.545412666085626,0.649332350151137,0.378635085172583
"CEBPD",-0.518906150248657,0.400086235362242,-0.312044474625095
"ELF1",-0.33439583948838,-0.670054852069606,-0.371010856637743
"ELK3",0.41864404058615,-0.31629457821351,0.348361589920031
"GATA3",0.410815657751554,0.700113997553692,0.411214772569188
"GATA4",0.305663967194505,0.541445702905458,0.380541843632394
"PGR",-0.520465292577932,0.739728388442155,0.398414319947495
"POU2F1",0.403808424456425,0.483213856855594,-0.34090936404182
"SPDEF",0.338450520737664,0.556716887733243,0.370074096058904
"VEZF1",0.380588858631345,-0.402810573131986,-0.351365922339278
"XBP1",0.312181972198715,0.529669326249282,0.379038376844763
