"","P1_2020Oct","P2_2021Mar"
"ARID3A",-0.54631196489939,-0.356054592365714
"BACH2",0.51928646467808,-0.399532451561139
"BARX2",-0.411974689793689,-0.362188261806336
"CDX2",-0.553994676198515,-0.460208313151075
"CLOCK",-0.373578508014519,-0.554372777944493
"E2F2",-0.492685724000602,-0.465423216331142
"EGR2",-0.548810339600241,-0.401743018469478
"ESRRA",-0.456691634109605,-0.406920784506636
"ETV4",-0.505385496690866,-0.406890095406289
"ETV7",-0.578701622566644,0.523474633251224
"GLI2",-0.376818220545562,-0.386623653445318
"GMEB1",0.510943763075089,0.33565976709115
"HIF1A",0.549472470628483,0.484261468011222
"HNF4A",-0.432327253426087,0.413920758814124
"HOXA1",-0.405630976700248,0.334722937753835
"HOXA4",0.627124061210613,0.569309398476979
"IRF3",0.511008831139294,0.44790622728097
"IRF4",0.309241028234571,-0.361434231490439
"MEF2A",0.327553182829939,0.524598370843994
"MYC",0.48254760184103,0.30092440620041
"NR2C2",-0.63848443742089,0.308346707195305
"RARA",-0.492757164453649,0.312239375961765
"RARG",-0.505576220297572,-0.315892122617163
"SOX17",-0.615465626469052,-0.38912454705224
"SPDEF",-0.51451001075006,-0.323603336517606
"STAT3",0.331185942313461,0.372981240829839
"TCF21",-0.475427751700199,-0.47675903874372
"USF1",0.382874379592452,0.468624753844784
"USF2",0.659960731998363,0.341409167027421
"VDR",-0.508263426802192,0.493224290357855
"ZNF263",-0.470931433959843,-0.455120085349378
