"","P1_2020Oct","P3_2023Jan"
"AHR",0.543383375906686,0.568589817423549
"ARID3A",-0.574018690288123,-0.352639026965542
"ATF2",0.542704719173311,0.33155775665841
"CEBPA",0.732811875283181,0.359968357502431
"CEBPD",-0.540194105613647,0.55105987222192
"CTCF",0.384040603863741,0.346065297514931
"EHF",0.585018758322338,0.425856772225797
"ELF1",0.395011527130265,0.428576936136395
"ELK3",-0.687412654297154,0.300200311577909
"ESR1",-0.639556945748602,-0.471268397511054
"ETV1",0.366312258031156,0.580452754478101
"ETV6",0.661461320437477,0.657524065278369
"ETV7",-0.679310408879068,-0.303902756900667
"FOS",0.488166531747047,-0.352261226422404
"FOXO3",0.523290140352891,0.548717508854461
"FOXP2",0.653500635319604,-0.407646786046518
"FOXP3",0.443083739667378,0.300049191360653
"GATA3",-0.580330614262336,-0.321734942536807
"GATA6",-0.623872897192626,-0.449658206443527
"GLI2",-0.585909755506034,-0.388605638672334
"GLIS1",-0.557168851024508,-0.310854286894416
"GTF2B",0.333969892970676,0.314254491782663
"HNF4G",0.365841778209859,-0.375911540422878
"HOXA1",-0.301319426080321,-0.330348794920367
"HSF2",0.369563981397818,0.473157400226746
"IRF1",0.729993159893642,0.51864458562063
"IRF3",-0.583782187464594,-0.332993398722337
"JUNB",-0.534789832976095,0.313196650261875
"JUND",0.583690589623279,0.568740937640805
"KMT2A",-0.490077595799925,0.408175706806912
"MEF2C",0.599553670323643,0.658430786581902
"MEIS1",0.464013846407727,0.434848425152495
"MYB",-0.635064487985953,-0.312894409827365
"NR5A2",0.533032819838154,0.478748848265197
"PAX5",-0.384348705693616,-0.354301349355352
"POU2F1",-0.341360173349455,0.36691988749618
"POU2F2",0.657701645405344,-0.325437387859565
"PRDM1",-0.541022649723718,-0.372738015860514
"RELA",0.675146870637502,-0.431826020807387
"RFX2",-0.606752427943309,-0.355132510550257
"RUNX1",-0.62473474960863,-0.439910952430552
"RXRG",0.576529303847787,0.410064709522605
"SMAD3",0.558392931267528,0.37553373987974
"STAT5B",0.412889760339546,0.440742113625457
"TFAP2A",-0.519438867479444,-0.335335762089796
"TP73",-0.535455999094745,-0.671351565157241
"VDR",0.55776007345481,-0.629264584651604
"ZBTB7B",-0.367965182713057,-0.360875078805963
"ZEB1",-0.55703978133902,-0.425327851465403
"ZNF250",-0.640069060952315,0.67800085471648
"ZNF263",0.598850032360818,0.314481172108547
