"","P1_2020Oct","P2_2021Mar"
"AR",-0.301859626511659,-0.405441349364583
"ATF3",0.442356576031462,0.324077166146329
"E2F2",0.49114764340107,0.414045489212605
"ETV1",0.350161882172163,0.320670604448413
"FOS",0.391754427490794,0.308732511677563
"FOXA2",-0.380022946472285,-0.357943108993995
"GATA2",-0.376936149335374,0.394223293613364
"KLF10",-0.334916363060551,0.393146263449547
"MECOM",0.378051931516218,0.333933807364633
"MEF2C",-0.385597352199462,-0.346670596661459
"NFATC1",-0.359968901730711,-0.364592862645877
"RXRA",-0.388046666784868,-0.328070648776213
"RXRG",0.451249044650395,0.399318009332094
"TCF21",0.317383715737062,-0.309283128221986
"TFAP2C",0.34448460823585,0.429807644138131
