"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",0.438202247191011,0.578651685393258,0.539325842696629
"AR",0.196629213483146,0.202247191011236,0.49438202247191
"ARID3A",0.421348314606742,0.286516853932584,0.050561797752809
"ARNT",0.275280898876405,0.151685393258427,0.47752808988764
"ARNTL",0.353932584269663,0.230337078651685,0.106741573033708
"ASCL2",0.269662921348315,0.842696629213483,0.0730337078651685
"ATF1",0.696629213483146,0.629213483146067,0.179775280898876
"ATF2",0.898876404494382,0.926966292134832,1
"ATF3",0.140449438202247,0.528089887640449,0.685393258426966
"BACH1",0.157303370786517,0.303370786516854,0.0112359550561798
"BACH2",0.0449438202247191,0.657303370786517,0.0617977528089888
"BARX2",0.651685393258427,0.258426966292135,0.780898876404494
"BATF",0.258426966292135,0.471910112359551,0.48314606741573
"BCL11A",0.606741573033708,0.0955056179775281,0.101123595505618
"BCL6",0.0337078651685393,0.219101123595506,0.786516853932584
"BHLHE40",0.308988764044944,0.696629213483146,0.966292134831461
"CEBPA",0.455056179775281,0.207865168539326,0.0561797752808989
"CEBPD",0.134831460674157,0.112359550561798,0.550561797752809
"CLOCK",0.370786516853933,0.426966292134831,0.646067415730337
"CTCF",0.657303370786517,0.859550561797753,0.971910112359551
"E2F2",0.466292134831461,0.623595505617977,0.0224719101123595
"E2F3",0.426966292134831,0.98314606741573,0.651685393258427
"E2F4",0.247191011235955,0.955056179775281,0.415730337078652
"E2F6",0.617977528089888,0.786516853932584,0.752808988764045
"E2F7",0.471910112359551,0.904494382022472,0.808988764044944
"E2F8",0.893258426966292,0.876404494382023,0.955056179775281
"EBF1",0.595505617977528,0.280898876404494,0.269662921348315
"EGR1",0.904494382022472,0.50561797752809,0.926966292134832
"EGR2",0.550561797752809,0.831460674157303,0.421348314606742
"EHF",0.842696629213483,0.971910112359551,0.426966292134831
"ELF1",0.0842696629213483,0.331460674157303,0.0449438202247191
"ELK1",0.943820224719101,0.589887640449438,0.612359550561798
"ELK3",0.584269662921348,0.679775280898876,0.337078651685393
"ELK4",0.735955056179775,0.455056179775281,0.713483146067416
"EPAS1",0.589887640449438,0.769662921348315,0.662921348314607
"ESR1",0.320224719101124,0.0280898876404494,0.471910112359551
"ESR2",0.235955056179775,0.887640449438202,0.668539325842697
"ESRRA",0.0730337078651685,0.00561797752808989,0.00561797752808989
"ETS2",0.191011235955056,0.882022471910112,0.359550561797753
"ETV1",0.387640449438202,0.808988764044944,0.50561797752809
"ETV5",0.241573033707865,0.117977528089888,0.230337078651685
"ETV6",0.966292134831461,0.932584269662921,0.960674157303371
"ETV7",0.48876404494382,0.134831460674157,0.219101123595506
"FOS",0.528089887640449,0.48314606741573,0.674157303370786
"FOSL1",0.859550561797753,0.432584269662921,0.0393258426966292
"FOSL2",0.578651685393258,0.382022471910112,0.174157303370787
"FOXD2",0.837078651685393,0.915730337078652,0.0786516853932584
"FOXH1",0.365168539325843,0.320224719101124,0.876404494382023
"FOXK1",0.825842696629214,0.561797752808989,0.707865168539326
"FOXM1",0.314606741573034,0.342696629213483,0.561797752808989
"FOXO3",0.544943820224719,0.162921348314607,0.146067415730337
"FOXP1",0.803370786516854,0.707865168539326,0.353932584269663
"FOXP2",0.775280898876405,0.460674157303371,0.702247191011236
"GATA1",0.230337078651685,0.398876404494382,0.747191011235955
"GATA2",0.174157303370787,0.584269662921348,0.943820224719101
"GATA3",0.0224719101123595,0.797752808988764,0.280898876404494
"GATA4",0.0561797752808989,0.612359550561798,0.98314606741573
"GLI2",0.741573033707865,0.252808988764045,0.168539325842697
"GLIS1",0.0280898876404494,0.651685393258427,0.342696629213483
"GMEB1",0.404494382022472,0.646067415730337,0.393258426966292
"GMEB2",0.112359550561798,0.308988764044944,0.185393258426966
"GRHL2",0.415730337078652,0.466292134831461,0.297752808988764
"GTF2B",1,0.99438202247191,0.97752808988764
"GTF2I",0.0898876404494382,0.387640449438202,0.921348314606742
"HEY1",0.123595505617978,0.691011235955056,0.134831460674157
"HIF1A",0.185393258426966,0.825842696629214,0.370786516853933
"HINFP",0.971910112359551,0.814606741573034,0.831460674157303
"HNF1B",0.98876404494382,0.803370786516854,0.724719101123595
"HNF4A",0.674157303370786,0.606741573033708,0.5
"HNF4G",0.882022471910112,0.0561797752808989,0.735955056179775
"HOXA1",0.769662921348315,0.747191011235955,0.224719101123595
"HOXA4",0.960674157303371,0.97752808988764,0.365168539325843
"HOXB13",0.382022471910112,0.898876404494382,0.820224719101124
"HOXC6",0.325842696629214,0.966292134831461,0.870786516853933
"HSF1",0.331460674157303,0.893258426966292,0.0280898876404494
"HSF2",0.634831460674157,0.359550561797753,0.99438202247191
"IRF2",0.533707865168539,0.674157303370786,0.657303370786517
"IRF3",0.292134831460674,0.297752808988764,0.865168539325843
"IRF4",0.870786516853933,0.0617977528089888,0.0898876404494382
"JUN",0.876404494382023,0.735955056179775,0.623595505617977
"JUNB",0.646067415730337,0.269662921348315,0.741573033707865
