"","P1_2020Oct","P3_2023Jan"
"ATF3",0.329636610739611,-0.53869383703119
"BACH1",0.387556802449355,0.302609633003335
"BARX2",-0.436476278192095,0.499952240847766
"BATF",0.631832727021377,-0.308908999888135
"BCL11A",0.627507707660609,0.4301301758587
"BCL6",-0.692733675317596,0.439128571634265
"BHLHE40",0.614503426474516,-0.709913176137954
"CDX2",-0.451467730435838,0.675805484365899
"CEBPA",0.413039348953339,-0.557469477209602
"CEBPD",0.607665220187897,-0.533658262258581
"CLOCK",0.489720773295603,0.410903881128653
"CTCF",-0.60187904563768,-0.487231046602178
"E2F2",0.307164043925891,-0.548956024918947
"E2F4",-0.364821227701534,-0.35049657753351
"EGR2",-0.508949575588747,0.589113264204787
"EHF",-0.403103493665088,0.457752360822453
"ELK4",0.379198994765709,-0.33869138764831
"ESR1",0.38200441272945,-0.419701441723599
"ETV6",0.56120048516343,0.656383252874273
"ETV7",-0.606262511206026,0.363438200635875
"FOS",0.386913894165998,0.697329137625473
"FOSL1",0.614065079917682,-0.672239435305142
"FOXD2",0.785867707093052,0.519648783805605
"FOXH1",-0.606350180517393,0.350584749076221
"FOXO3",0.52025891675508,-0.680165077311056
"FOXP1",-0.519586785367933,0.386744878425827
"GATA2",0.731571180253141,0.626791903456639
"GFI1B",-0.610879761604684,-0.548402503567483
"GLI2",0.652113561050924,-0.477218678085435
"GLIS1",0.745043031099857,-0.334689379293036
"GMEB1",-0.504975233473447,0.530268556283246
"GMEB2",-0.623533365545309,0.532996975688248
"GRHL2",0.493256768854069,-0.56979389951299
"GTF2I",-0.32683119277587,0.606678994880442
"HES1",0.525139175087838,-0.528906795790264
"HEY1",0.367100629797074,-0.588917327443207
"HNF1B",0.430222533981255,-0.470419672458606
"HNF4A",0.630283902520562,0.515210816155815
"HNF4G",0.669764315739464,-0.365907003831784
"HOXA1",0.418153392116409,-0.570259249321743
"HOXA4",0.503689416906732,0.646992983575547
"HOXB13",-0.55781060512391,0.726513918262827
"HSF2",-0.607694443291686,0.3614200519916
"JUNB",0.671926825419848,0.524130837226749
"JUND",-0.392963076650315,0.641158966499499
"KLF1",0.61353906404948,-0.705901370944602
"KLF10",-0.45938719156265,0.497870412755977
"KLF4",-0.565788512458299,0.394817473002927
"LHX2",0.630722249077396,-0.357545402531354
"MAFF",0.527389354079589,0.768449283660007
"MAFK",0.563333771740025,-0.433759904366971
"MAX",-0.308946653257019,0.58032060202888
"MEF2C",-0.562369409314989,0.592052315628488
"MYC",-0.462864740913537,-0.715409202300276
"NANOG",0.369117023958513,-0.354919849926181
"NFATC1",-0.736539107897266,-0.416228462624592
"NFIC",-0.602317392194515,0.674448622291957
"NFYA",-0.511112085269131,0.601628724850716
"NKX2-1",0.565116381071153,-0.356531429790177
"NR2F2",0.442934584129458,-0.371990840278846
"NR3C1",-0.393313753895783,0.776502284560949
"NR5A2",-0.552813454375995,0.369282014550002
"PAX5",0.534665906923043,0.778133458101103
"PAX6",0.624497727970345,0.67796568716232
"PBX3",-0.392553953197269,0.300175118740703
"PGR",0.403658732637079,0.537229209738379
"POU2F1",0.362483379398416,0.647193818756166
"POU2F2",-0.306813366680424,0.569921258408017
"PRDM1",-0.393752100452617,0.408910224579575
"RBPJ",-0.370022940175971,0.439917217099625
"RELA",-0.302809801461334,0.327346649152822
"RUNX3",-0.513011587015414,0.333895835408637
"RXRA",0.577916100530723,0.318333558120138
"RXRG",0.315404959194382,-0.601143781365805
"SETDB1",0.370169055694916,-0.407994220219188
"SIX5",-0.445067870706053,0.39479298090773
"SMAD3",0.622598226224062,-0.316971797627156
"SP4",-0.355499057592852,0.479618903414792
"SPDEF",0.471865456880541,-0.408547741570652
"SPIB",-0.687181285597691,-0.593061389950626
"SREBF1",-0.350531129948727,-0.472119423865313
"SRF",-0.637794240194328,-0.790144381585963
"STAT5B",0.356901766574723,-0.520824404375085
"STAT6",-0.434547553342023,-0.649481380447614
"TAL1",-0.602434284609671,-0.617690640881244
"TCF3",-0.618068645136771,0.570156382521913
"TCF4",0.600768567693699,-0.580247125743288
"TEAD4",0.416020105539814,-0.583254755033542
"TFAP2A",-0.370724294666907,-0.621619172950925
"TFAP4",0.338900334640716,-0.647277091879838
"USF1",-0.311518286390448,0.552806182283996
"ZEB1",-0.661318838744451,0.56033995076675
