"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"FOXM1",-0.352348854245536,-0.404809104094062,-0.402637133505293
"GLIS1",0.407031764633764,0.362241203806866,0.474010996418141
"GMEB2",-0.406702332220727,0.568640313351007,0.404004707014178
"HNF4A",0.330441120415924,-0.499448543832195,0.552366913953469
"NR2F2",0.372681180407769,0.404821317998655,0.493498499161159
"PBX1",-0.398156223987847,-0.531525921464544,-0.458766343613396
"POU2F1",0.318353852924222,0.501758193190713,-0.503575433919002
"SP1",0.306761850231597,0.456513005016752,0.386174411211946
"TAL1",-0.379196479728529,0.316969145042801,-0.561853248365394
"ZKSCAN1",0.354578343112469,0.31862412911514,0.484267098137118
