"","P1_2020Oct","P3_2023Jan"
"ASCL2",0.534953449284072,-0.324934253687973
"CEBPA",0.319417745171176,0.405911504683249
"CEBPB",0.587145555975234,0.33124885983709
"E2F1",0.364544458281475,-0.376820044250877
"EHF",0.646900175753803,-0.368845232610525
"FOSL2",-0.535629360794531,-0.458781767976043
"FOXA2",-0.365489723832617,0.484086794831915
"GATA1",-0.379302572169988,0.378876368947038
"GATA3",-0.370017048314403,0.303071968745503
"HEY1",0.391381915425906,-0.355627666787326
"HNF4A",-0.653710207711681,-0.549399861385331
"HOXA1",0.41402164726099,0.33132458850862
"IRF1",-0.425381935718547,-0.406563936314892
"KLF3",0.445278765006587,-0.639779118215179
"MEIS1",0.428068868594799,0.437222397719693
"MYB",0.522519242768206,0.33473237872747
"NFE2",0.482606259963425,0.578240834673412
"PAX6",0.485409796320493,-0.530624976128316
"RXRA",0.334656654078918,0.367377261439328
"SRF",0.301056195047203,-0.460028378415075
"TCF21",-0.432434114238252,0.410892121156953
"TFAP2A",-0.353203603737387,-0.44958364702636
"ZEB1",-0.546855555249151,-0.550885308403804
