"","P1_2020Oct","P3_2023Jan"
"ARID3A",0.405650617731833,0.498379814021786
"E2F6",-0.30753882586179,-0.409020989901364
"ELK4",-0.473374161022665,-0.471694318700861
"ESR1",-0.364496478947421,-0.394644649112274
"FOS",0.651966060426685,0.38318116168568
"GMEB2",0.403619317693116,-0.502702112559683
"HIF1A",-0.704292349424041,-0.345126141949853
"IRF3",0.500674833543025,0.465116907882323
"MECOM",0.361449528889346,0.358938704668783
"SPI1",-0.357427554812685,-0.413719140486034
"TCF12",-0.33512388038757,0.302560897652744
"ZBTB7A",-0.497465379481852,-0.362415336101438
"ZNF263",-0.508475025691699,-0.309796049553135
