"","P1_2020Oct","P3_2023Jan"
"BACH1",0.325791010833983,0.418730137820129
"EGR2",-0.316947217895141,-0.463992234719749
"FOXA2",-0.319906250450702,0.564326932280483
"FOXP2",-0.397694530546226,0.564103966285904
"KLF3",0.362570994512323,-0.385508204627798
"MECOM",-0.424326286111941,-0.339577209744439
"NFAT5",0.351490234020144,-0.415608613896018
"RUNX3",-0.3867913952692,-0.368116857050604
"TCF7L2",-0.34184481478479,0.373691006915089
"ZBTB7A",0.352282146437703,-0.356968557321633
"ZBTB7B",-0.374162890063732,-0.345820257592663
"ZNF76",-0.518060129792787,-0.387291932584433
