"","P1_2020Oct","P3_2023Jan"
"BACH1",0.301979508097032,0.42056285948588
"EGR2",-0.336419931671847,-0.641570653338981
"FOXA2",-0.372495320439247,0.62414031165997
"FOXP2",-0.366286439296775,0.543245648995842
"FOXP3",0.358480141070762,0.47374774819876
"GLI2",-0.308569433012769,-0.374081948341851
"GLIS1",-0.335111774095017,-0.309053365924002
"NFAT5",0.30421570659123,-0.391065358182938
"SIX5",-0.301009747058504,0.33676313987525
"SOX17",-0.342507360906051,-0.329165298630553
"TCF7L2",-0.394948162533972,0.380115528153816
"ZBTB7A",0.379978055947816,-0.347936435823334
"ZNF76",-0.439663788393692,-0.386819505722667
