"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"EGR1",-0.302483973796069,-0.524632418904516,0.322008910875234
"GATA3",0.325702137046548,-0.440050666071672,-0.508159594188689
"GATA4",0.300247841061775,-0.410503440415399,-0.471658752289949
"GLI2",0.399118345416424,0.353664502511728,-0.449130042750074
"GRHL2",-0.300435926992697,0.30968199103865,-0.303343297362228
"GTF2I",0.544425176272032,-0.329756060377645,0.589104092247022
"MAFF",0.405450571757464,-0.439599563389897,-0.311611044933753
"NFAT5",0.586911698223629,0.417495531982914,0.508628942304103
"NKX2-1",0.36127127642757,-0.555307401265227,-0.434652458574609
"PAX5",-0.372660924466734,0.607860863692033,-0.509675949638488
"POU2F2",0.363758190403094,0.341259178762911,0.601776491363202
"RUNX1",-0.342922448944293,0.360656594079244,-0.375514596032437
"TEAD4",-0.439577719001418,-0.355920015920604,0.402917305232381
