"","P1_2020Oct","P3_2023Jan"
"AHR",0.435686318438047,0.351088006105137
"ARNT",0.353187530775874,0.533771629682115
"CEBPD",-0.333981926202583,0.327062616403946
"E2F1",-0.329520732680899,-0.445980740270846
"ELK3",-0.45691028015501,0.344817228290046
"ETV1",0.464442705783971,0.709126753884831
"ETV6",0.327360882459114,0.493880416593346
"FOS",0.489124924792463,-0.323209487866962
"IRF4",0.504481085328854,0.47831679936553
"SPIB",0.300377320150724,-0.518359115534182
"SREBF1",-0.646140625886782,-0.349954733006024
"TBP",-0.624804302019553,0.362798494795969
"TEAD4",0.301500941653387,0.485267541040089
"TFAP2A",-0.304185148576415,-0.341039651293003
"TFAP4",-0.36788200309403,0.337564280455724
"VDR",0.302791025600889,-0.605394489546042
"ZBTB7A",-0.498426013897838,0.456633507402506
"ZEB1",-0.312050499095054,-0.415533469674683
