"","P1_2020Oct","P2_2021Mar"
"ATF3",0.404298361596384,0.334810150908688
"E2F6",0.416981902208388,0.323230659064237
"EGR2",0.428455164128533,0.457932716536011
"ELK1",-0.436173785891174,-0.306760038112573
"ESRRA",0.467557745497083,-0.310191668768559
"GATA1",-0.427897670595954,-0.410384428149735
"GTF2B",-0.374433815723279,0.443144740492994
"JUN",0.351916479367019,0.402128009225229
"NR5A2",-0.321060000182918,-0.350177101543927
"PGR",-0.300307434740017,-0.459506803708616
"RXRA",-0.412098769085877,-0.479185908858846
"RXRG",0.639043656511765,0.371635347368175
"STAT4",-0.594975405966084,-0.425437767547521
"TCF21",0.474422494258276,-0.370453274242387
"TFAP2A",-0.409306799456365,0.446286883852868
"TFAP2C",0.583084961806215,0.382050859042845
"TP63",0.320189619970547,0.30937145476291
