"","P1_2020Oct","P2_2021Mar"
"EGR2",0.309469227499988,0.334652110220771
"GMEB2",-0.313306345011773,-0.487431988826692
"IRF2",-0.385214797209259,-0.341363882953744
"JUN",0.314529632474971,0.314222626669514
"JUND",0.347078379280857,0.500837524169024
"MEF2C",-0.318287997574961,-0.349618522942865
"PGR",-0.308473947019508,-0.359031814217732
"SPDEF",-0.335322519257457,-0.312559691922615
"STAT5A",-0.415648479241253,-0.411861510148106
"TBP",0.332155922280375,0.427356219829503
"TCF21",0.30708190438818,-0.441302058880215
