"","Celltype","Sample Names","Num of Samples","Protein","Num of TFs","Correlated TFs"
"1","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD11b","30","AHR,BACH2,BATF,BCL11A,FOSL1,FOSL2,FOXO3,FOXP3,GMEB2,HOXA4,KLF5,MAFF,MAFK,MECOM,MEF2A,MITF,MYBL2,NANOG,NFYA,POU2F2,RELA,REST,SMAD3,SPIB,TBX21,TFAP2A,TFAP2C,TFAP4,VDR,ZBTB33"
"2","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD81","14","ARID3A,ARNTL,ATF1,E2F7,ESR1,ETV4,GATA3,HOXA1,KLF9,KMT2A,MAF,PGR,POU2F1,TBX21"
"3","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD14","17","ARNT,BCL6,BHLHE40,E2F8,ELF1,ETV7,GMEB1,GTF2I,MAF,MXI1,PAX5,RARA,RARG,SP2,SPDEF,STAT3,ZNF384"
"4","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD195","21","ARNT,ARNTL,BCL6,CEBPD,E2F7,ELF1,ETV7,GATA2,HINFP,HOXA4,JUNB,MAF,RELA,SP2,SPDEF,TCF21,TCF3,USF1,VEZF1,XBP1,ZFX"
"5","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD273","5","ARNT,GATA3,SPDEF,XBP1,ZFX"
"6","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD39","6","ARNT,ETS2,JUNB,SP4,TCF7L2,ZFX"
"7","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD40","23","ARNT,ARNTL,ASCL2,BCL6,CEBPD,E2F6,E2F8,ELF1,ESR1,FOXP1,GATA2,GATA3,GATA4,GLIS1,KMT2A,LHX2,RARA,SP2,SPDEF,TBX21,TEAD4,USF1,YY1"
"8","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD107a","6","ARNT,EGR2,GMEB1,MXI1,PAX5,ZFX"
"9","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD274","6","ARNTL,ELF1,GATA3,SPDEF,ZFX,ZNF143"
"10","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD304","11","ARNTL,CEBPD,ELF1,ELK3,GATA3,GATA4,PGR,POU2F1,SPDEF,VEZF1,XBP1"
"11","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD206","10","ARNTL,E2F8,ELF1,FOXP1,GATA3,PGR,RARA,SPDEF,XBP1,ZFX"
"12","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","HLA.DR","16","ASCL2,CDX2,E2F6,E2F8,ELK4,FOXP1,HOXC6,KLF3,KLF9,MITF,MYB,NFE2,RUNX3,SP2,YY1,ZNF143"
"13","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD38","2","BACH2,PAX5"
"14","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD95","6","BACH2,MEF2A,MNT,PAX5,USF2,ZKSCAN1"
"15","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD62L","8","CDX2,FOSL1,MNT,PAX5,PBX3,USF2,ZBTB33,ZKSCAN1"
"16","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD123","2","ETV6,PBX3"
"17","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD20","1","ETV6"
"18","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD223","2","FOXP1,GATA3"
"19","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD278","1","FOXP1"
"20","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD28","1","FOXP1"
"21","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD197","1","GATA3"
"22","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD25","1","GATA3"
"23","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD254","1","GATA3"
"24","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD314","1","GATA3"
"25","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD66b","3","GATA3,SPDEF,XBP1"
"26","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","TIGIT","1","GATA3"
"27","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD141","3","JUNB,STAT3,TCF7L2"
