"","x"
"1","CD103"
"2","CD117"
"3","CD11b"
"4","CD11c"
"5","CD123"
"6","CD127"
"7","CD134"
"8","CD137"
"9","CD14"
"10","CD141"
"11","CD15"
"12","CD152"
"13","CD161"
"14","CD185"
"15","CD19"
"16","CD194"
"17","CD195"
"18","CD197"
"19","CD1c"
"20","CD20"
"21","CD223"
"22","CD25"
"23","CD254"
"24","CD27"
"25","CD273"
"26","CD274"
"27","CD278"
"28","CD279"
"29","CD28"
"30","CD30"
"31","CD314"
"32","CD357"
"33","CD366"
"34","CD38"
"35","CD39"
"36","CD4"
"37","CD40"
"38","CD56"
"39","CD62L"
"40","CD66b"
"41","CD69"
"42","CD95"
"43","HLA-DR"
"44","KLRG1"
"45","TCRVdelta2"
"46","TIGIT"
"47","CD45RA"
"48","CD133"
"49","CD81"
"50","CD304"
"51","CD206"
"52","CD107a"
