"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",0.798561151079137,0.503597122302158,0.589928057553957
"AR",0.719424460431655,0.402877697841727,0.352517985611511
"ARID3A",0.553956834532374,0.820143884892086,0.669064748201439
"ARNT",0.568345323741007,0.776978417266187,0.705035971223022
"ASCL2",0.00719424460431655,0.00719424460431655,0.0863309352517986
"ATF1",0.309352517985612,0.345323741007194,0.892086330935252
"ATF2",0.964028776978417,0.956834532374101,0.956834532374101
"ATF3",0.0143884892086331,0.0503597122302158,0.079136690647482
"BACH2",0.489208633093525,0.805755395683453,0.690647482014389
"BATF",0.62589928057554,0.553956834532374,0.805755395683453
"BCL11A",0.143884892086331,0.172661870503597,0.143884892086331
"BCL6",0.669064748201439,0.633093525179856,0.798561151079137
"BHLHE40",0.532374100719424,0.410071942446043,0.251798561151079
"CEBPA",0.834532374100719,0.884892086330935,0.928057553956835
"CEBPD",0.330935251798561,0.0359712230215827,0.316546762589928
"CLOCK",0.258992805755396,0.194244604316547,0.0647482014388489
"E2F2",0.115107913669065,0.18705035971223,0.165467625899281
"E2F3",0.244604316546763,0.0215827338129496,0.0431654676258993
"E2F6",0.877697841726619,0.935251798561151,0.863309352517986
"E2F7",0.20863309352518,0.467625899280576,0.0719424460431655
"E2F8",0.446043165467626,0.517985611510791,0.482014388489209
"EBF1",0.352517985611511,0.366906474820144,0.410071942446043
"EGR1",0.741007194244604,0.381294964028777,0.158273381294964
"EHF",0.928057553956835,0.913669064748201,0.935251798561151
"ELF1",0.0359712230215827,0.0431654676258993,0.00719424460431655
"ELK1",0.482014388489209,0.388489208633094,0.877697841726619
"ELK3",0.18705035971223,0.302158273381295,0.330935251798561
"ELK4",0.597122302158273,0.848920863309353,0.884892086330935
"ESR1",0.215827338129496,0.81294964028777,0.302158273381295
"ESR2",0.266187050359712,0.258992805755396,0.194244604316547
"ETS2",0.884892086330935,0.841726618705036,0.81294964028777
"ETV1",0.79136690647482,0.60431654676259,0.244604316546763
"ETV6",1,0.992805755395683,0.992805755395683
"FOS",0.949640287769784,0.863309352517986,0.683453237410072
"FOSL1",0.525179856115108,0.834532374100719,0.510791366906475
"FOSL2",0.438848920863309,0.244604316546763,0.489208633093525
"FOXA1",0.618705035971223,0.697841726618705,0.913669064748201
"FOXD2",0.561151079136691,0.647482014388489,0.467625899280576
"FOXM1",0.23021582733813,0.0863309352517986,0.23021582733813
"FOXP1",0.0863309352517986,0.0719424460431655,0.280575539568345
"FOXP2",0.575539568345324,0.143884892086331,0.366906474820144
"GATA1",0.366906474820144,0.712230215827338,0.568345323741007
"GATA2",0.467625899280576,0.151079136690647,0.496402877697842
"GATA3",0.122302158273381,0.215827338129496,0.215827338129496
"GATA4",0.726618705035971,0.129496402877698,0.62589928057554
"GMEB2",0.0431654676258993,0.115107913669065,0.0287769784172662
"GRHL2",0.251798561151079,0.079136690647482,0.151079136690647
"GTF2B",0.985611510791367,0.985611510791367,0.985611510791367
"GTF2I",0.316546762589928,0.438848920863309,0.561151079136691
"HEY1",0.194244604316547,0.0647482014388489,0.41726618705036
"HIF1A",0.676258992805755,0.748201438848921,0.661870503597122
"HINFP",0.503597122302158,0.79136690647482,0.20863309352518
"HNF1B",0.323741007194245,0.532374100719424,0.60431654676259
"HNF4A",0.827338129496403,0.640287769784173,0.676258992805755
"HNF4G",0.661870503597122,0.525179856115108,0.517985611510791
"HOXA1",0.913669064748201,0.920863309352518,0.848920863309353
"HOXB13",0.172661870503597,0.338129496402878,0.223021582733813
"HSF1",0.136690647482014,0.460431654676259,0.287769784172662
"IRF2",0.683453237410072,0.359712230215827,0.39568345323741
"IRF4",0.100719424460432,0.309352517985612,0.460431654676259
"JUN",0.280575539568345,0.431654676258993,0.532374100719424
"JUNB",0.870503597122302,0.683453237410072,0.942446043165468
"JUND",0.992805755395683,1,1
"KLF1",0.223021582733813,0.179856115107914,0.359712230215827
"KLF10",0.302158273381295,0.446043165467626,0.18705035971223
"KLF3",0.712230215827338,0.424460431654676,0.719424460431655
"KLF9",0.589928057553957,0.928057553956835,0.762589928057554
"MAFF",0.0719424460431655,0.100719424460432,0.100719424460432
"MAFK",0.0575539568345324,0.107913669064748,0.107913669064748
"MECOM",0.848920863309353,0.942446043165468,0.920863309352518
"MEF2A",0.755395683453237,0.705035971223022,0.546762589928058
"MITF",0.201438848920863,0.20863309352518,0.172661870503597
"MNT",0.273381294964029,0.589928057553957,0.237410071942446
"MXI1",0.733812949640288,0.474820143884892,0.338129496402878
"MYB",0.0935251798561151,0.158273381294964,0.381294964028777
"MYC",0.762589928057554,0.661870503597122,0.618705035971223
"NANOG",0.129496402877698,0.223021582733813,0.697841726618705
"NFAT5",0.647482014388489,0.266187050359712,0.525179856115108
"NFATC1",0.294964028776978,0.453237410071942,0.431654676258993
"NFE2",0.935251798561151,0.654676258992806,0.834532374100719
"NFIC",0.338129496402878,0.23021582733813,0.345323741007194
"NFYA",0.748201438848921,0.676258992805755,0.503597122302158
"NFYB",0.0647482014388489,0.0575539568345324,0.309352517985612
"NKX2-1",0.158273381294964,0.352517985611511,0.0215827338129496
"NR2F2",0.971223021582734,0.496402877697842,0.748201438848921
"PAX5",0.546762589928058,0.597122302158273,0.654676258992806
"PBX1",0.776978417266187,0.251798561151079,0.122302158273381
"PBX3",0.345323741007194,0.37410071942446,0.273381294964029
"PGR",0.611510791366906,0.784172661870504,0.647482014388489
"POU2F1",0.460431654676259,0.719424460431655,0.827338129496403
"POU2F2",0.39568345323741,0.330935251798561,0.258992805755396
"PPARG",0.892086330935252,0.899280575539568,0.964028776978417
"RARG",0.539568345323741,0.726618705035971,0.640287769784173
"RBPJ",0.899280575539568,0.906474820143885,0.597122302158273
"RELA",0.820143884892086,0.669064748201439,0.539568345323741
"RFX2",0.287769784172662,0.237410071942446,0.438848920863309
"RFX5",0.97841726618705,0.971223021582734,0.776978417266187
"RUNX1",0.0287769784172662,0.0143884892086331,0.0503597122302158
"RUNX2",0.165467625899281,0.41726618705036,0.0935251798561151
"RUNX3",0.690647482014389,0.690647482014389,0.870503597122302
"RXRA",0.453237410071942,0.201438848920863,0.136690647482014
"RXRG",0.863309352517986,0.964028776978417,0.741007194244604
"SETDB1",0.151079136690647,0.316546762589928,0.0575539568345324
"SIX5",0.41726618705036,0.877697841726619,0.899280575539568
"SMAD3",0.58273381294964,0.58273381294964,0.553956834532374
"SP1",0.81294964028777,0.827338129496403,0.856115107913669
"SP4",0.431654676258993,0.294964028776978,0.611510791366906
"SPI1",0.956834532374101,0.741007194244604,0.76978417266187
"SPIB",0.60431654676259,0.62589928057554,0.129496402877698
"SRF",0.0503597122302158,0.165467625899281,0.0143884892086331
"STAT1",0.474820143884892,0.273381294964029,0.755395683453237
"STAT2",0.510791366906475,0.892086330935252,0.446043165467626
"STAT4",0.37410071942446,0.122302158273381,0.474820143884892
"STAT5A",0.697841726618705,0.755395683453237,0.726618705035971
"STAT5B",0.640287769784173,0.482014388489209,0.79136690647482
"TBP",0.805755395683453,0.870503597122302,0.323741007194245
"TCF12",0.517985611510791,0.510791366906475,0.712230215827338
"TCF21",0.079136690647482,0.0287769784172662,0.179856115107914
"TCF3",0.942446043165468,0.949640287769784,0.784172661870504
"TEAD4",0.654676258992806,0.611510791366906,0.575539568345324
"TFAP2A",0.179856115107914,0.0935251798561151,0.115107913669065
"TFAP2C",0.841726618705036,0.762589928057554,0.949640287769784
"TFAP4",0.107913669064748,0.39568345323741,0.58273381294964
"TFDP1",0.0215827338129496,0.287769784172662,0.201438848920863
"THAP1",0.237410071942446,0.489208633093525,0.0359712230215827
"TP63",0.705035971223022,0.539568345323741,0.633093525179856
"USF1",0.920863309352518,0.856115107913669,0.906474820143885
"USF2",0.388489208633094,0.568345323741007,0.820143884892086
"VEZF1",0.496402877697842,0.733812949640288,0.294964028776978
"XBP1",0.633093525179856,0.136690647482014,0.453237410071942
"YY1",0.906474820143885,0.97841726618705,0.971223021582734
"ZBTB7A",0.784172661870504,0.561151079136691,0.97841726618705
"ZBTB7B",0.381294964028777,0.546762589928058,0.402877697841727
"ZEB1",0.410071942446043,0.280575539568345,0.733812949640288
"ZFX",0.856115107913669,0.618705035971223,0.841726618705036
"ZKSCAN1",0.402877697841727,0.798561151079137,0.266187050359712
"ZNF143",0.424460431654676,0.323741007194245,0.388489208633094
"ZNF263",0.359712230215827,0.76978417266187,0.37410071942446
"ZNF384",0.76978417266187,0.575539568345324,0.424460431654676
