"Cell Type","Sample Name","AHR","AR","ARID3A","ARNT","ASCL2","ATF1","ATF2","ATF3","BACH2","BATF","BCL11A","BCL6","BHLHE40","CEBPA","CEBPD","CLOCK","E2F2","E2F3","E2F6","E2F7","E2F8","EBF1","EGR1","EHF","ELF1","ELK1","ELK3","ELK4","ESR1","ESR2","ETS2","ETV1","ETV6","FOS","FOSL1","FOSL2","FOXA1","FOXD2","FOXM1","FOXP1","FOXP2","GATA1","GATA2","GATA3","GATA4","GMEB2","GRHL2","GTF2B","GTF2I","HEY1","HIF1A","HINFP","HNF1B","HNF4A","HNF4G","HOXA1","HOXB13","HSF1","IRF2","IRF4","JUN","JUNB","JUND","KLF1","KLF10","KLF3","KLF9","MAFF","MAFK","MECOM","MEF2A","MITF","MNT","MXI1","MYB","MYC","NANOG","NFAT5","NFATC1","NFE2","NFIC","NFYA","NFYB","NKX2-1","NR2F2","PAX5","PBX1","PBX3","PGR","POU2F1","POU2F2","PPARG","RARG","RBPJ","RELA","RFX2","RFX5","RUNX1","RUNX2","RUNX3","RXRA","RXRG","SETDB1","SIX5","SMAD3","SP1","SP4","SPI1","SPIB","SRF","STAT1","STAT2","STAT4","STAT5A","STAT5B","TBP","TCF12","TCF21","TCF3","TEAD4","TFAP2A","TFAP2C","TFAP4","TFDP1","THAP1","TP63","USF1","USF2","VEZF1","XBP1","YY1","ZBTB7A","ZBTB7B","ZEB1","ZFX","ZKSCAN1","ZNF143","ZNF263","ZNF384"
"M1_Macrophage","P1_2020Oct",0.798561151079137,0.719424460431655,0.553956834532374,0.568345323741007,0.00719424460431655,0.309352517985612,0.964028776978417,0.0143884892086331,0.489208633093525,0.62589928057554,0.143884892086331,0.669064748201439,0.532374100719424,0.834532374100719,0.330935251798561,0.258992805755396,0.115107913669065,0.244604316546763,0.877697841726619,0.20863309352518,0.446043165467626,0.352517985611511,0.741007194244604,0.928057553956835,0.0359712230215827,0.482014388489209,0.18705035971223,0.597122302158273,0.215827338129496,0.266187050359712,0.884892086330935,0.79136690647482,1,0.949640287769784,0.525179856115108,0.438848920863309,0.618705035971223,0.561151079136691,0.23021582733813,0.0863309352517986,0.575539568345324,0.366906474820144,0.467625899280576,0.122302158273381,0.726618705035971,0.0431654676258993,0.251798561151079,0.985611510791367,0.316546762589928,0.194244604316547,0.676258992805755,0.503597122302158,0.323741007194245,0.827338129496403,0.661870503597122,0.913669064748201,0.172661870503597,0.136690647482014,0.683453237410072,0.100719424460432,0.280575539568345,0.870503597122302,0.992805755395683,0.223021582733813,0.302158273381295,0.712230215827338,0.589928057553957,0.0719424460431655,0.0575539568345324,0.848920863309353,0.755395683453237,0.201438848920863,0.273381294964029,0.733812949640288,0.0935251798561151,0.762589928057554,0.129496402877698,0.647482014388489,0.294964028776978,0.935251798561151,0.338129496402878,0.748201438848921,0.0647482014388489,0.158273381294964,0.971223021582734,0.546762589928058,0.776978417266187,0.345323741007194,0.611510791366906,0.460431654676259,0.39568345323741,0.892086330935252,0.539568345323741,0.899280575539568,0.820143884892086,0.287769784172662,0.97841726618705,0.0287769784172662,0.165467625899281,0.690647482014389,0.453237410071942,0.863309352517986,0.151079136690647,0.41726618705036,0.58273381294964,0.81294964028777,0.431654676258993,0.956834532374101,0.60431654676259,0.0503597122302158,0.474820143884892,0.510791366906475,0.37410071942446,0.697841726618705,0.640287769784173,0.805755395683453,0.517985611510791,0.079136690647482,0.942446043165468,0.654676258992806,0.179856115107914,0.841726618705036,0.107913669064748,0.0215827338129496,0.237410071942446,0.705035971223022,0.920863309352518,0.388489208633094,0.496402877697842,0.633093525179856,0.906474820143885,0.784172661870504,0.381294964028777,0.410071942446043,0.856115107913669,0.402877697841727,0.424460431654676,0.359712230215827,0.76978417266187
"M1_Macrophage","P2_2021Mar",0.503597122302158,0.402877697841727,0.820143884892086,0.776978417266187,0.00719424460431655,0.345323741007194,0.956834532374101,0.0503597122302158,0.805755395683453,0.553956834532374,0.172661870503597,0.633093525179856,0.410071942446043,0.884892086330935,0.0359712230215827,0.194244604316547,0.18705035971223,0.0215827338129496,0.935251798561151,0.467625899280576,0.517985611510791,0.366906474820144,0.381294964028777,0.913669064748201,0.0431654676258993,0.388489208633094,0.302158273381295,0.848920863309353,0.81294964028777,0.258992805755396,0.841726618705036,0.60431654676259,0.992805755395683,0.863309352517986,0.834532374100719,0.244604316546763,0.697841726618705,0.647482014388489,0.0863309352517986,0.0719424460431655,0.143884892086331,0.712230215827338,0.151079136690647,0.215827338129496,0.129496402877698,0.115107913669065,0.079136690647482,0.985611510791367,0.438848920863309,0.0647482014388489,0.748201438848921,0.79136690647482,0.532374100719424,0.640287769784173,0.525179856115108,0.920863309352518,0.338129496402878,0.460431654676259,0.359712230215827,0.309352517985612,0.431654676258993,0.683453237410072,1,0.179856115107914,0.446043165467626,0.424460431654676,0.928057553956835,0.100719424460432,0.107913669064748,0.942446043165468,0.705035971223022,0.20863309352518,0.589928057553957,0.474820143884892,0.158273381294964,0.661870503597122,0.223021582733813,0.266187050359712,0.453237410071942,0.654676258992806,0.23021582733813,0.676258992805755,0.0575539568345324,0.352517985611511,0.496402877697842,0.597122302158273,0.251798561151079,0.37410071942446,0.784172661870504,0.719424460431655,0.330935251798561,0.899280575539568,0.726618705035971,0.906474820143885,0.669064748201439,0.237410071942446,0.971223021582734,0.0143884892086331,0.41726618705036,0.690647482014389,0.201438848920863,0.964028776978417,0.316546762589928,0.877697841726619,0.58273381294964,0.827338129496403,0.294964028776978,0.741007194244604,0.62589928057554,0.165467625899281,0.273381294964029,0.892086330935252,0.122302158273381,0.755395683453237,0.482014388489209,0.870503597122302,0.510791366906475,0.0287769784172662,0.949640287769784,0.611510791366906,0.0935251798561151,0.762589928057554,0.39568345323741,0.287769784172662,0.489208633093525,0.539568345323741,0.856115107913669,0.568345323741007,0.733812949640288,0.136690647482014,0.97841726618705,0.561151079136691,0.546762589928058,0.280575539568345,0.618705035971223,0.798561151079137,0.323741007194245,0.76978417266187,0.575539568345324
"M1_Macrophage","P3_2023Jan",0.589928057553957,0.352517985611511,0.669064748201439,0.705035971223022,0.0863309352517986,0.892086330935252,0.956834532374101,0.079136690647482,0.690647482014389,0.805755395683453,0.143884892086331,0.798561151079137,0.251798561151079,0.928057553956835,0.316546762589928,0.0647482014388489,0.165467625899281,0.0431654676258993,0.863309352517986,0.0719424460431655,0.482014388489209,0.410071942446043,0.158273381294964,0.935251798561151,0.00719424460431655,0.877697841726619,0.330935251798561,0.884892086330935,0.302158273381295,0.194244604316547,0.81294964028777,0.244604316546763,0.992805755395683,0.683453237410072,0.510791366906475,0.489208633093525,0.913669064748201,0.467625899280576,0.23021582733813,0.280575539568345,0.366906474820144,0.568345323741007,0.496402877697842,0.215827338129496,0.62589928057554,0.0287769784172662,0.151079136690647,0.985611510791367,0.561151079136691,0.41726618705036,0.661870503597122,0.20863309352518,0.60431654676259,0.676258992805755,0.517985611510791,0.848920863309353,0.223021582733813,0.287769784172662,0.39568345323741,0.460431654676259,0.532374100719424,0.942446043165468,1,0.359712230215827,0.18705035971223,0.719424460431655,0.762589928057554,0.100719424460432,0.107913669064748,0.920863309352518,0.546762589928058,0.172661870503597,0.237410071942446,0.338129496402878,0.381294964028777,0.618705035971223,0.697841726618705,0.525179856115108,0.431654676258993,0.834532374100719,0.345323741007194,0.503597122302158,0.309352517985612,0.0215827338129496,0.748201438848921,0.654676258992806,0.122302158273381,0.273381294964029,0.647482014388489,0.827338129496403,0.258992805755396,0.964028776978417,0.640287769784173,0.597122302158273,0.539568345323741,0.438848920863309,0.776978417266187,0.0503597122302158,0.0935251798561151,0.870503597122302,0.136690647482014,0.741007194244604,0.0575539568345324,0.899280575539568,0.553956834532374,0.856115107913669,0.611510791366906,0.76978417266187,0.129496402877698,0.0143884892086331,0.755395683453237,0.446043165467626,0.474820143884892,0.726618705035971,0.79136690647482,0.323741007194245,0.712230215827338,0.179856115107914,0.784172661870504,0.575539568345324,0.115107913669065,0.949640287769784,0.58273381294964,0.201438848920863,0.0359712230215827,0.633093525179856,0.906474820143885,0.820143884892086,0.294964028776978,0.453237410071942,0.971223021582734,0.97841726618705,0.402877697841727,0.733812949640288,0.841726618705036,0.266187050359712,0.388489208633094,0.37410071942446,0.424460431654676
"CD4Tcell","P1_2020Oct",0.611510791366906,0.381294964028777,0.201438848920863,0.244604316546763,0.122302158273381,0.517985611510791,0.79136690647482,0.0503597122302158,0.280575539568345,0.474820143884892,0.151079136690647,0.81294964028777,0.60431654676259,0.37410071942446,0.100719424460432,0.158273381294964,0.172661870503597,0.143884892086331,0.971223021582734,0.0143884892086331,0.654676258992806,0.870503597122302,0.460431654676259,0.719424460431655,0.39568345323741,0.834532374100719,0.0575539568345324,0.402877697841727,0.251798561151079,0.676258992805755,0.97841726618705,0.223021582733813,1,0.949640287769784,0.733812949640288,0.0359712230215827,0.690647482014389,0.510791366906475,0.467625899280576,0.755395683453237,0.877697841726619,0.705035971223022,0.776978417266187,0.107913669064748,0.438848920863309,0.0863309352517986,0.366906474820144,0.956834532374101,0.0719424460431655,0.302158273381295,0.41726618705036,0.410071942446043,0.0287769784172662,0.546762589928058,0.352517985611511,0.863309352517986,0.568345323741007,0.424460431654676,0.913669064748201,0.0215827338129496,0.58273381294964,0.345323741007194,0.985611510791367,0.266187050359712,0.388489208633094,0.920863309352518,0.287769784172662,0.215827338129496,0.165467625899281,0.453237410071942,0.892086330935252,0.115107913669065,0.18705035971223,0.00719424460431655,0.640287769784173,0.942446043165468,0.647482014388489,0.697841726618705,0.258992805755396,0.179856115107914,0.23021582733813,0.669064748201439,0.316546762589928,0.136690647482014,0.798561151079137,0.553956834532374,0.503597122302158,0.964028776978417,0.446043165467626,0.079136690647482,0.633093525179856,0.20863309352518,0.841726618705036,0.748201438848921,0.784172661870504,0.273381294964029,0.805755395683453,0.294964028776978,0.525179856115108,0.856115107913669,0.489208633093525,0.597122302158273,0.820143884892086,0.712230215827338,0.532374100719424,0.496402877697842,0.928057553956835,0.661870503597122,0.194244604316547,0.0935251798561151,0.62589928057554,0.618705035971223,0.539568345323741,0.237410071942446,0.431654676258993,0.935251798561151,0.762589928057554,0.827338129496403,0.992805755395683,0.741007194244604,0.575539568345324,0.899280575539568,0.0431654676258993,0.359712230215827,0.482014388489209,0.323741007194245,0.309352517985612,0.848920863309353,0.906474820143885,0.683453237410072,0.884892086330935,0.129496402877698,0.330935251798561,0.561151079136691,0.76978417266187,0.589928057553957,0.338129496402878,0.0647482014388489,0.726618705035971
"CD4Tcell","P2_2021Mar",0.669064748201439,0.438848920863309,0.115107913669065,0.453237410071942,0.280575539568345,0.107913669064748,0.762589928057554,0.0215827338129496,0.41726618705036,0.697841726618705,0.0863309352517986,0.848920863309353,0.381294964028777,0.316546762589928,0.0503597122302158,0.20863309352518,0.0575539568345324,0.165467625899281,0.705035971223022,0.079136690647482,0.942446043165468,0.956834532374101,0.309352517985612,0.899280575539568,0.748201438848921,0.446043165467626,0.143884892086331,0.834532374100719,0.352517985611511,0.690647482014389,0.964028776978417,0.633093525179856,1,0.97841726618705,0.129496402877698,0.0359712230215827,0.820143884892086,0.755395683453237,0.525179856115108,0.366906474820144,0.575539568345324,0.287769784172662,0.79136690647482,0.0719424460431655,0.345323741007194,0.172661870503597,0.39568345323741,0.971223021582734,0.266187050359712,0.215827338129496,0.546762589928058,0.510791366906475,0.00719424460431655,0.158273381294964,0.496402877697842,0.597122302158273,0.489208633093525,0.474820143884892,0.856115107913669,0.388489208633094,0.338129496402878,0.647482014388489,0.992805755395683,0.589928057553957,0.294964028776978,0.618705035971223,0.223021582733813,0.23021582733813,0.330935251798561,0.863309352517986,0.733812949640288,0.0287769784172662,0.611510791366906,0.122302158273381,0.258992805755396,0.913669064748201,0.798561151079137,0.517985611510791,0.776978417266187,0.179856115107914,0.539568345323741,0.726618705035971,0.151079136690647,0.503597122302158,0.884892086330935,0.661870503597122,0.359712230215827,0.561151079136691,0.741007194244604,0.37410071942446,0.60431654676259,0.251798561151079,0.58273381294964,0.870503597122302,0.402877697841727,0.194244604316547,0.676258992805755,0.0935251798561151,0.273381294964029,0.640287769784173,0.841726618705036,0.949640287769784,0.920863309352518,0.76978417266187,0.568345323741007,0.719424460431655,0.827338129496403,0.935251798561151,0.244604316546763,0.0431654676258993,0.323741007194245,0.877697841726619,0.532374100719424,0.410071942446043,0.62589928057554,0.81294964028777,0.712230215827338,0.460431654676259,0.985611510791367,0.683453237410072,0.100719424460432,0.906474820143885,0.0647482014388489,0.467625899280576,0.237410071942446,0.654676258992806,0.892086330935252,0.553956834532374,0.784172661870504,0.18705035971223,0.928057553956835,0.424460431654676,0.805755395683453,0.0143884892086331,0.482014388489209,0.302158273381295,0.201438848920863,0.136690647482014,0.431654676258993
"CD4Tcell","P3_2023Jan",0.712230215827338,0.446043165467626,0.0935251798561151,0.62589928057554,0.079136690647482,0.676258992805755,0.856115107913669,0.0503597122302158,0.402877697841727,0.309352517985612,0.647482014388489,0.618705035971223,0.302158273381295,0.0863309352517986,0.115107913669065,0.0287769784172662,0.172661870503597,0.0359712230215827,0.733812949640288,0.122302158273381,0.805755395683453,0.798561151079137,0.280575539568345,0.935251798561151,0.532374100719424,0.899280575539568,0.107913669064748,0.784172661870504,0.0431654676258993,0.81294964028777,0.942446043165468,0.287769784172662,1,0.956834532374101,0.237410071942446,0.0143884892086331,0.697841726618705,0.410071942446043,0.58273381294964,0.640287769784173,0.870503597122302,0.597122302158273,0.79136690647482,0.561151079136691,0.553956834532374,0.0575539568345324,0.776978417266187,0.97841726618705,0.294964028776978,0.482014388489209,0.568345323741007,0.316546762589928,0.0647482014388489,0.215827338129496,0.37410071942446,0.841726618705036,0.453237410071942,0.76978417266187,0.913669064748201,0.0719424460431655,0.748201438848921,0.489208633093525,0.992805755395683,0.20863309352518,0.158273381294964,0.705035971223022,0.467625899280576,0.0215827338129496,0.820143884892086,0.964028776978417,0.726618705035971,0.366906474820144,0.654676258992806,0.00719424460431655,0.136690647482014,0.971223021582734,0.690647482014389,0.611510791366906,0.460431654676259,0.194244604316547,0.23021582733813,0.848920863309353,0.359712230215827,0.338129496402878,0.661870503597122,0.438848920863309,0.100719424460432,0.60431654676259,0.827338129496403,0.496402877697842,0.589928057553957,0.143884892086331,0.834532374100719,0.517985611510791,0.669064748201439,0.503597122302158,0.920863309352518,0.18705035971223,0.431654676258993,0.906474820143885,0.352517985611511,0.719424460431655,0.762589928057554,0.892086330935252,0.39568345323741,0.539568345323741,0.877697841726619,0.884892086330935,0.223021582733813,0.151079136690647,0.388489208633094,0.741007194244604,0.546762589928058,0.330935251798561,0.575539568345324,0.165467625899281,0.928057553956835,0.273381294964029,0.985611510791367,0.510791366906475,0.179856115107914,0.633093525179856,0.266187050359712,0.258992805755396,0.863309352517986,0.129496402877698,0.251798561151079,0.683453237410072,0.755395683453237,0.424460431654676,0.949640287769784,0.201438848920863,0.244604316546763,0.474820143884892,0.41726618705036,0.381294964028777,0.525179856115108,0.345323741007194,0.323741007194245
"Bcell","P1_2020Oct",0.79136690647482,0.561151079136691,0.194244604316547,0.0287769784172662,0.323741007194245,0.640287769784173,0.928057553956835,0.503597122302158,0.18705035971223,0.431654676258993,0.884892086330935,0.568345323741007,0.352517985611511,0.553956834532374,0.589928057553957,0.58273381294964,0.079136690647482,0.776978417266187,0.841726618705036,0.201438848920863,0.424460431654676,0.892086330935252,0.532374100719424,0.20863309352518,0.266187050359712,0.798561151079137,0.474820143884892,0.309352517985612,0.158273381294964,0.338129496402878,0.741007194244604,0.237410071942446,1,0.726618705035971,0.712230215827338,0.453237410071942,0.913669064748201,0.179856115107914,0.97841726618705,0.949640287769784,0.446043165467626,0.906474820143885,0.899280575539568,0.438848920863309,0.359712230215827,0.37410071942446,0.41726618705036,0.992805755395683,0.215827338129496,0.0935251798561151,0.0575539568345324,0.597122302158273,0.834532374100719,0.482014388489209,0.345323741007194,0.942446043165468,0.805755395683453,0.690647482014389,0.848920863309353,0.81294964028777,0.402877697841727,0.388489208633094,0.956834532374101,0.115107913669065,0.985611510791367,0.517985611510791,0.129496402877698,0.00719424460431655,0.546762589928058,0.223021582733813,0.784172661870504,0.618705035971223,0.0503597122302158,0.647482014388489,0.669064748201439,0.525179856115108,0.62589928057554,0.611510791366906,0.0863309352517986,0.820143884892086,0.39568345323741,0.748201438848921,0.280575539568345,0.366906474820144,0.510791366906475,0.23021582733813,0.496402877697842,0.920863309352518,0.460431654676259,0.165467625899281,0.971223021582734,0.697841726618705,0.316546762589928,0.302158273381295,0.863309352517986,0.0431654676258993,0.755395683453237,0.122302158273381,0.0215827338129496,0.654676258992806,0.410071942446043,0.287769784172662,0.575539568345324,0.827338129496403,0.258992805755396,0.705035971223022,0.539568345323741,0.60431654676259,0.151079136690647,0.381294964028777,0.76978417266187,0.0359712230215827,0.0143884892086331,0.633093525179856,0.100719424460432,0.172661870503597,0.251798561151079,0.0647482014388489,0.877697841726619,0.107913669064748,0.762589928057554,0.964028776978417,0.676258992805755,0.136690647482014,0.661870503597122,0.294964028776978,0.870503597122302,0.733812949640288,0.143884892086331,0.330935251798561,0.273381294964029,0.683453237410072,0.489208633093525,0.0719424460431655,0.856115107913669,0.244604316546763,0.719424460431655,0.467625899280576,0.935251798561151
"Bcell","P3_2023Jan",0.345323741007194,0.0863309352517986,0.0719424460431655,0.964028776978417,0.618705035971223,0.834532374100719,0.827338129496403,0.503597122302158,0.258992805755396,0.79136690647482,0.273381294964029,0.37410071942446,0.60431654676259,0.0431654676258993,0.115107913669065,0.172661870503597,0.0143884892086331,0.122302158273381,0.971223021582734,0.20863309352518,0.877697841726619,0.755395683453237,0.460431654676259,0.151079136690647,0.129496402877698,0.690647482014389,0.446043165467626,0.942446043165468,0.81294964028777,0.352517985611511,0.58273381294964,0.438848920863309,0.97841726618705,0.899280575539568,0.956834532374101,0.920863309352518,0.985611510791367,0.863309352517986,0.482014388489209,0.589928057553957,0.705035971223022,0.676258992805755,0.76978417266187,0.510791366906475,0.640287769784173,0.553956834532374,0.906474820143885,0.856115107913669,0.474820143884892,0.41726618705036,0.280575539568345,0.712230215827338,0.143884892086331,0.194244604316547,0.525179856115108,0.848920863309353,0.949640287769784,0.079136690647482,0.611510791366906,0.532374100719424,0.913669064748201,0.39568345323741,1,0.223021582733813,0.338129496402878,0.661870503597122,0.100719424460432,0.0287769784172662,0.741007194244604,0.136690647482014,0.561151079136691,0.805755395683453,0.316546762589928,0.669064748201439,0.215827338129496,0.870503597122302,0.251798561151079,0.330935251798561,0.201438848920863,0.266187050359712,0.762589928057554,0.165467625899281,0.467625899280576,0.748201438848921,0.992805755395683,0.0935251798561151,0.798561151079137,0.431654676258993,0.654676258992806,0.179856115107914,0.402877697841727,0.62589928057554,0.18705035971223,0.697841726618705,0.683453237410072,0.287769784172662,0.633093525179856,0.244604316546763,0.0647482014388489,0.726618705035971,0.733812949640288,0.0575539568345324,0.496402877697842,0.892086330935252,0.323741007194245,0.784172661870504,0.568345323741007,0.546762589928058,0.928057553956835,0.0359712230215827,0.539568345323741,0.647482014388489,0.0215827338129496,0.820143884892086,0.366906474820144,0.107913669064748,0.517985611510791,0.158273381294964,0.935251798561151,0.381294964028777,0.388489208633094,0.410071942446043,0.575539568345324,0.453237410071942,0.776978417266187,0.302158273381295,0.841726618705036,0.294964028776978,0.237410071942446,0.884892086330935,0.719424460431655,0.597122302158273,0.359712230215827,0.309352517985612,0.0503597122302158,0.23021582733813,0.489208633093525,0.424460431654676,0.00719424460431655
"Malignant_epithelial","P1_2020Oct",0.561151079136691,0.553956834532374,0.251798561151079,0.81294964028777,0.273381294964029,0.0719424460431655,0.60431654676259,0.913669064748201,0.517985611510791,0.76978417266187,0.20863309352518,0.956834532374101,0.302158273381295,0.611510791366906,0.201438848920863,0.258992805755396,0.266187050359712,0.115107913669065,0.079136690647482,0.179856115107914,0.597122302158273,0.316546762589928,0.446043165467626,0.661870503597122,0.431654676258993,0.330935251798561,0.460431654676259,0.870503597122302,0.338129496402878,0.172661870503597,0.820143884892086,0.79136690647482,1,0.935251798561151,0.0647482014388489,0.143884892086331,0.482014388489209,0.654676258992806,0.748201438848921,0.381294964028777,0.741007194244604,0.733812949640288,0.633093525179856,0.00719424460431655,0.669064748201439,0.525179856115108,0.244604316546763,0.992805755395683,0.194244604316547,0.41726618705036,0.0431654676258993,0.712230215827338,0.618705035971223,0.489208633093525,0.726618705035971,0.510791366906475,0.0215827338129496,0.784172661870504,0.546762589928058,0.0935251798561151,0.539568345323741,0.410071942446043,0.97841726618705,0.0503597122302158,0.841726618705036,0.366906474820144,0.971223021582734,0.345323741007194,0.402877697841727,0.848920863309353,0.834532374100719,0.388489208633094,0.856115107913669,0.676258992805755,0.575539568345324,0.776978417266187,0.474820143884892,0.39568345323741,0.424460431654676,0.503597122302158,0.165467625899281,0.453237410071942,0.107913669064748,0.532374100719424,0.0143884892086331,0.589928057553957,0.18705035971223,0.323741007194245,0.762589928057554,0.467625899280576,0.705035971223022,0.798561151079137,0.496402877697842,0.755395683453237,0.215827338129496,0.100719424460432,0.697841726618705,0.37410071942446,0.122302158273381,0.920863309352518,0.942446043165468,0.647482014388489,0.223021582733813,0.58273381294964,0.62589928057554,0.438848920863309,0.805755395683453,0.949640287769784,0.309352517985612,0.719424460431655,0.237410071942446,0.877697841726619,0.0359712230215827,0.23021582733813,0.280575539568345,0.928057553956835,0.899280575539568,0.352517985611511,0.964028776978417,0.827338129496403,0.136690647482014,0.863309352517986,0.0575539568345324,0.906474820143885,0.294964028776978,0.129496402877698,0.0287769784172662,0.640287769784173,0.892086330935252,0.359712230215827,0.158273381294964,0.690647482014389,0.884892086330935,0.151079136690647,0.683453237410072,0.568345323741007,0.287769784172662,0.985611510791367,0.0863309352517986
"Malignant_epithelial","P2_2021Mar",0.474820143884892,0.532374100719424,0.553956834532374,0.848920863309353,0.107913669064748,0.158273381294964,0.920863309352518,0.863309352517986,0.503597122302158,0.359712230215827,0.37410071942446,0.39568345323741,0.446043165467626,0.712230215827338,0.201438848920863,0.0863309352517986,0.330935251798561,0.316546762589928,0.00719424460431655,0.136690647482014,0.798561151079137,0.539568345323741,0.402877697841727,0.899280575539568,0.23021582733813,0.467625899280576,0.654676258992806,0.60431654676259,0.575539568345324,0.179856115107914,0.62589928057554,0.906474820143885,1,0.935251798561151,0.129496402877698,0.0287769784172662,0.489208633093525,0.41726618705036,0.877697841726619,0.683453237410072,0.690647482014389,0.81294964028777,0.431654676258993,0.0359712230215827,0.762589928057554,0.568345323741007,0.20863309352518,0.992805755395683,0.172661870503597,0.438848920863309,0.460431654676259,0.618705035971223,0.0431654676258993,0.115107913669065,0.597122302158273,0.223021582733813,0.215827338129496,0.805755395683453,0.856115107913669,0.194244604316547,0.294964028776978,0.165467625899281,0.97841726618705,0.0143884892086331,0.424460431654676,0.841726618705036,0.956834532374101,0.517985611510791,0.0935251798561151,0.776978417266187,0.410071942446043,0.266187050359712,0.647482014388489,0.122302158273381,0.352517985611511,0.784172661870504,0.453237410071942,0.143884892086331,0.589928057553957,0.561151079136691,0.0719424460431655,0.913669064748201,0.0215827338129496,0.741007194244604,0.237410071942446,0.892086330935252,0.719424460431655,0.611510791366906,0.388489208633094,0.755395683453237,0.302158273381295,0.949640287769784,0.676258992805755,0.748201438848921,0.18705035971223,0.0503597122302158,0.834532374100719,0.251798561151079,0.151079136690647,0.366906474820144,0.705035971223022,0.726618705035971,0.244604316546763,0.820143884892086,0.76978417266187,0.733812949640288,0.258992805755396,0.971223021582734,0.381294964028777,0.510791366906475,0.287769784172662,0.661870503597122,0.345323741007194,0.323741007194245,0.482014388489209,0.697841726618705,0.942446043165468,0.525179856115108,0.985611510791367,0.964028776978417,0.280575539568345,0.273381294964029,0.0575539568345324,0.884892086330935,0.58273381294964,0.079136690647482,0.0647482014388489,0.79136690647482,0.640287769784173,0.338129496402878,0.633093525179856,0.928057553956835,0.870503597122302,0.669064748201439,0.546762589928058,0.496402877697842,0.309352517985612,0.827338129496403,0.100719424460432
