"","P1_2020Oct","P3_2023Jan"
"ARNTL",-0.544609104172568,-0.356738328961801
"ATF1",-0.409217618840176,0.301687421089831
"ATF3",0.411119595617052,0.365174459523218
"BACH2",-0.379371214033814,0.30152046623588
"BHLHE40",0.584258004675137,0.340710662982485
"CEBPA",0.398595810070853,0.308586584907521
"ESR2",0.308617677934025,-0.309828925438393
"ETV5",-0.450241794858333,0.397548969879109
"FOSL1",0.467213279944304,0.329141673691043
"FOSL2",0.531295266734435,-0.371135729896652
"FOXD2",0.500249153499582,-0.408715303346316
"GATA1",-0.615304117909991,-0.344825609088694
"GMEB2",-0.521639076944142,-0.307579945346932
"HES1",-0.40061483157246,0.3236714470057
"HINFP",-0.647315850123874,-0.30136333225569
"MAFK",0.420044255877778,0.336890343089131
"MEIS1",0.388120307207443,0.309043255537446
"MXI1",0.370622120860184,0.380087456330565
"MYB",-0.504696853039353,0.315839300180636
"NANOG",0.502004824370544,0.358029773861482
"NFYA",-0.484009197943179,-0.374499379160081
"PBX1",0.33287519713449,0.301775808953687
"POU2F1",0.559854179568759,-0.304275221326075
"PPARG",0.492699768754443,0.389034272327598
"RELA",-0.353065412150559,-0.325061100643
"STAT4",0.34800322780595,0.318756099687901
"TCF12",-0.466715839864198,-0.312485471790969
"TFAP2C",0.309963692268429,0.404890073016081
"ZEB1",-0.303438448864685,-0.326656992629298
"ZNF143",0.482575400065226,0.428911930237532
