"","P1_2020Oct","P3_2023Jan"
"ELK1",0.337728890766912,-0.476471397170148
"ESRRA",-0.522617824207815,-0.412371249207937
"FOXH1",-0.333748378664971,0.389294608001638
"IRF4",-0.372704714015587,-0.388608678114402
"NFATC1",-0.382451114971075,-0.458568627113286
"NFE2",-0.338226454779654,-0.443385079109396
"NFYB",0.342645993951663,0.43910781631256
"RUNX1",0.341124033442097,-0.318095085706533
"RXRA",0.386138942359638,-0.343596979014132
"SREBF1",-0.35587534299635,-0.42349311237955
"STAT5A",0.328919080894233,0.367638821561756
"STAT5B",-0.312645810830414,-0.448642241745141
